customer_id,plan,industry,region,acquisition_channel,signup_date,churn_date,status,tenure_days,cohort,mrr_bwp,logins_per_week,features_adopted,sessions_per_month,onboarding_complete,support_tickets,nps_score,failed_payments,has_upgraded,has_downgraded,churn_probability,risk_level
TP-00028,Free,Logistics,Francistown,Partnership,2020-12-22,2021-01-29,Churned,38,2020,0,1.31,2,6.2,1,1,38.0,0,0,0,0.95,Critical
TP-00029,Professional,Construction,Gaborone,Referral,2022-11-15,2022-12-27,Churned,42,2022,798,1.97,5,5.6,0,0,,0,0,0,0.4381,Medium
TP-00030,Professional,Healthcare,Lobatse,Organic Search,2021-03-03,,Active,1489,2021,798,6.26,5,33.6,1,0,,1,0,0,0.0653,Low
TP-00031,Free,Construction,Maun,Referral,2024-04-08,2024-05-08,Churned,30,2024,0,0.86,2,5.0,0,0,9.0,0,0,0,0.95,Critical
TP-00032,Starter,Healthcare,Gaborone,Social Media,2024-09-27,,Active,185,2024,245,3.87,3,20.3,1,0,,2,1,0,0.3566,Medium
TP-00033,Starter,Professional Services,Gaborone,Event,2021-04-02,,Active,1459,2021,245,5.44,4,23.8,0,3,,0,0,0,0.3539,Medium
TP-00034,Professional,Retail,Palapye,Referral,2024-03-28,,Active,368,2024,798,5.43,6,27.5,1,5,100.0,0,0,0,0.0547,Low
TP-00035,Starter,NGO,Maun,Referral,2021-04-29,,Active,1432,2021,245,3.05,2,12.9,0,1,,0,0,1,0.777,Critical
TP-00036,Professional,Construction,Gaborone,Event,2021-01-08,,Active,1543,2021,798,3.54,5,21.0,1,1,20.0,0,0,0,0.0642,Low
TP-00037,Professional,Education,Gaborone,Referral,2021-08-31,,Active,1308,2021,798,5.72,8,40.4,1,4,21.0,0,1,0,0.02,Low
TP-00038,Starter,Agriculture,Maun,Partnership,2022-04-10,,Active,1086,2022,245,4.08,2,27.7,0,0,16.0,0,0,0,0.4014,Medium
TP-00039,Free,Professional Services,Francistown,Social Media,2024-07-02,2024-08-01,Churned,30,2024,0,0.62,2,3.8,0,0,71.0,0,0,0,0.95,Critical
TP-00040,Free,Agriculture,Gaborone,Partnership,2024-04-07,2024-05-07,Churned,30,2024,0,2.64,1,6.3,0,1,,0,0,0,0.907,Critical
TP-00041,Free,Education,Francistown,Event,2021-02-11,2021-03-13,Churned,30,2021,0,1.93,2,5.6,0,0,16.0,0,0,0,0.95,Critical
TP-00042,Free,Agriculture,Maun,Direct Sales,2024-03-19,2024-04-18,Churned,30,2024,0,1.1,0,7.4,0,0,-17.0,0,0,0,0.95,Critical
TP-00043,Professional,Healthcare,Gaborone,Direct Sales,2024-10-27,,Active,155,2024,798,7.09,3,42.9,1,1,,0,0,0,0.0441,Low
TP-00044,Professional,Hospitality,Maun,Social Media,2023-04-22,,Active,709,2023,798,4.52,5,19.8,1,4,,0,1,0,0.02,Low
TP-00045,Free,Healthcare,Gaborone,Referral,2021-03-29,2021-04-28,Churned,30,2021,0,2.22,2,11.0,1,1,15.0,0,0,0,0.7591,Critical
TP-00046,Starter,Construction,Maun,Direct Sales,2023-03-10,,Active,752,2023,245,3.22,2,12.8,1,1,15.0,1,0,0,0.6374,High
TP-00047,Professional,Agriculture,Gaborone,Event,2023-04-27,,Active,704,2023,798,5.14,4,29.1,1,3,,1,0,0,0.2055,Low
TP-00048,Starter,Finance,Francistown,Direct Sales,2023-11-07,2024-09-22,Churned,320,2023,245,3.26,3,14.6,0,1,,0,0,0,0.4948,High
TP-00049,Free,Logistics,Francistown,Referral,2023-12-28,2024-04-10,Churned,104,2023,0,1.14,3,6.3,0,0,,0,0,0,0.8829,Critical
TP-00050,Free,Education,Gaborone,Partnership,2020-11-13,,Active,1599,2020,0,2.38,3,10.3,1,0,12.0,0,0,0,0.643,High
TP-00051,Free,Agriculture,Gaborone,Direct Sales,2022-09-30,2022-11-13,Churned,44,2022,0,2.42,1,8.2,1,2,,0,0,0,0.762,Critical
TP-00052,Professional,NGO,Gaborone,Organic Search,2022-05-22,,Active,1044,2022,798,1.27,5,7.8,1,3,8.0,0,0,0,0.1841,Low
TP-00053,Starter,Finance,Serowe,Referral,2023-02-25,2023-08-16,Churned,172,2023,245,2.91,2,16.8,1,1,24.0,0,1,0,0.4125,Medium
TP-00054,Starter,Hospitality,Lobatse,Partnership,2020-07-26,2020-08-25,Churned,30,2020,245,1.57,3,7.3,0,0,,1,0,1,0.8933,Critical
TP-00055,Professional,Hospitality,Gaborone,Direct Sales,2022-04-02,,Active,1094,2022,798,3.59,3,7.9,1,5,45.0,0,0,0,0.2516,Medium
TP-00056,Free,Professional Services,Francistown,Event,2023-06-10,2023-07-10,Churned,30,2023,0,3.17,1,13.6,1,0,,0,0,0,0.796,Critical
TP-00057,Enterprise,Retail,Serowe,Referral,2021-07-14,,Active,1356,2021,2299,8.74,9,44.1,1,3,,1,1,0,0.02,Low
TP-00058,Starter,Healthcare,Serowe,Referral,2023-10-24,,Active,524,2023,245,2.93,3,16.9,0,1,,0,1,0,0.3833,Medium
TP-00059,Free,Retail,Palapye,Partnership,2024-03-19,2024-05-02,Churned,44,2024,0,1.43,2,9.3,0,0,41.0,0,0,0,0.95,Critical
TP-00060,Free,Healthcare,Palapye,Partnership,2024-12-06,2025-01-05,Churned,30,2024,0,2.45,2,18.6,1,0,,0,0,0,0.8008,Critical
TP-00061,Starter,Education,Gaborone,Event,2022-04-30,2022-11-17,Churned,201,2022,245,1.59,0,5.6,1,1,36.0,0,0,0,0.6554,Critical
TP-00062,Free,Hospitality,Maun,Event,2021-12-06,2022-01-17,Churned,42,2021,0,3.65,1,18.4,0,3,,0,0,0,0.9142,Critical
TP-00063,Professional,NGO,Gaborone,Referral,2020-11-25,,Active,1587,2020,798,5.76,5,24.1,1,2,30.0,0,0,0,0.02,Low
TP-00064,Starter,Education,Gaborone,Referral,2022-05-28,2022-06-27,Churned,30,2022,245,3.31,3,15.6,0,1,34.0,0,0,0,0.4548,High
TP-00065,Free,Construction,Gaborone,Event,2022-09-11,2022-10-11,Churned,30,2022,0,1.71,2,11.3,0,2,,0,0,0,0.95,Critical
TP-00066,Free,Construction,Gaborone,Referral,2022-02-18,2022-04-09,Churned,50,2022,0,1.77,0,9.1,0,1,-2.0,0,0,0,0.95,Critical
TP-00067,Enterprise,Finance,Gaborone,Event,2022-12-17,,Active,835,2022,2299,5.59,10,25.0,1,6,92.0,0,1,0,0.02,Low
TP-00068,Professional,Hospitality,Gaborone,Event,2023-02-17,,Active,773,2023,798,6.08,7,10.1,1,3,,0,0,0,0.02,Low
TP-00069,Enterprise,Construction,Gaborone,Social Media,2021-06-03,,Active,1397,2021,2299,5.23,10,30.2,1,4,,0,1,0,0.02,Low
TP-00070,Enterprise,Logistics,Gaborone,Organic Search,2023-08-20,,Active,589,2023,2299,6.86,8,33.7,1,3,27.0,0,1,0,0.02,Low
TP-00071,Free,Logistics,Gaborone,Organic Search,2022-08-30,2022-09-29,Churned,30,2022,0,1.99,2,11.4,0,0,,0,0,0,0.95,Critical
TP-00072,Free,Construction,Gaborone,Direct Sales,2023-10-25,2023-11-24,Churned,30,2023,0,0.76,1,3.2,0,0,,0,0,0,0.95,Critical
TP-00073,Professional,Healthcare,Palapye,Direct Sales,2022-02-16,,Active,1139,2022,798,2.64,8,11.5,1,0,50.0,0,0,0,0.1551,Low
TP-00074,Free,Professional Services,Gaborone,Referral,2023-07-06,2023-08-05,Churned,30,2023,0,2.85,1,11.3,1,1,4.0,0,0,0,0.7896,Critical
TP-00075,Free,Construction,Gaborone,Social Media,2024-05-10,2024-06-09,Churned,30,2024,0,0.71,3,2.7,0,0,59.0,0,0,0,0.8735,Critical
TP-00076,Professional,Construction,Gaborone,Partnership,2021-09-04,,Active,1304,2021,798,4.05,6,11.4,1,3,,0,0,0,0.0205,Low
TP-00077,Free,Healthcare,Francistown,Partnership,2022-01-13,2022-02-12,Churned,30,2022,0,0.0,2,0.0,0,0,-17.0,0,0,0,0.95,Critical
TP-00078,Starter,NGO,Gaborone,Direct Sales,2024-07-14,,Active,260,2024,245,1.83,2,12.5,1,2,50.0,0,1,0,0.6283,High
TP-00079,Starter,Retail,Lobatse,Event,2021-12-04,,Active,1213,2021,245,5.08,4,14.0,0,0,,0,1,0,0.1998,Low
TP-00080,Starter,Logistics,Lobatse,Direct Sales,2022-05-14,,Active,1052,2022,245,2.51,4,18.0,1,2,18.0,0,1,0,0.2915,Medium
TP-00081,Starter,Agriculture,Serowe,Partnership,2020-08-15,,Active,1689,2020,245,2.44,2,8.7,1,0,7.0,1,1,0,0.5104,High
TP-00082,Starter,Finance,Francistown,Organic Search,2021-06-20,2022-08-12,Churned,418,2021,245,1.98,0,10.6,0,1,,0,0,0,0.8372,Critical
TP-00083,Free,Hospitality,Palapye,Direct Sales,2024-05-01,2024-08-28,Churned,119,2024,0,1.68,2,5.4,0,0,4.0,0,0,0,0.95,Critical
TP-00084,Free,Agriculture,Gaborone,Organic Search,2023-01-02,,Active,819,2023,0,3.85,3,22.0,0,0,,0,0,0,0.6401,High
TP-00085,Free,Healthcare,Gaborone,Direct Sales,2023-01-24,2023-02-23,Churned,30,2023,0,0.49,1,0.8,1,0,,0,0,0,0.95,Critical
TP-00086,Professional,Healthcare,Serowe,Direct Sales,2022-04-28,,Active,1068,2022,798,4.97,4,26.1,0,1,-3.0,0,0,0,0.2475,Low
TP-00087,Free,NGO,Francistown,Event,2023-02-28,2023-04-09,Churned,40,2023,0,1.22,1,4.2,0,1,37.0,0,0,0,0.95,Critical
TP-00088,Enterprise,Construction,Lobatse,Referral,2023-08-16,,Active,593,2023,2299,1.26,7,6.5,1,5,,0,0,0,0.279,Medium
TP-00089,Starter,Agriculture,Gaborone,Event,2024-11-09,,Active,142,2024,245,2.5,3,16.6,0,1,,1,0,1,0.6966,Critical
TP-00090,Professional,Logistics,Gaborone,Direct Sales,2020-07-02,2020-10-14,Churned,104,2020,798,3.93,5,20.1,0,3,63.0,1,0,0,0.3192,Medium
TP-00091,Starter,Healthcare,Gaborone,Event,2022-08-24,2022-11-26,Churned,94,2022,245,0.0,2,0.0,0,0,,1,0,0,0.9046,Critical
TP-00092,Professional,Finance,Gaborone,Organic Search,2021-09-24,,Active,1284,2021,798,7.52,6,41.0,1,0,,1,0,0,0.0939,Low
TP-00093,Starter,Professional Services,Serowe,Event,2020-12-23,2021-01-26,Churned,34,2020,245,1.49,2,7.5,1,3,,0,0,1,0.8695,Critical
TP-00094,Free,Finance,Gaborone,Event,2024-11-10,2024-12-10,Churned,30,2024,0,2.9,3,14.2,1,1,50.0,0,0,0,0.5681,High
TP-00095,Starter,Logistics,Palapye,Referral,2021-09-19,,Active,1289,2021,245,2.13,4,6.2,1,3,8.0,0,1,1,0.459,High
TP-00096,Free,Logistics,Lobatse,Partnership,2022-02-03,2022-03-05,Churned,30,2022,0,0.0,2,0.0,0,0,34.0,0,0,0,0.949,Critical
TP-00097,Free,Agriculture,Palapye,Organic Search,2021-09-29,2021-11-21,Churned,53,2021,0,1.33,2,11.0,0,0,20.0,0,0,0,0.95,Critical
TP-00098,Free,Retail,Francistown,Event,2024-10-11,2024-11-10,Churned,30,2024,0,2.27,2,11.3,0,0,65.0,0,0,0,0.842,Critical
TP-00099,Professional,Healthcare,Serowe,Referral,2023-10-27,,Active,521,2023,798,6.92,6,30.8,0,2,39.0,0,1,0,0.02,Low
TP-00100,Starter,Hospitality,Francistown,Event,2024-01-15,2024-03-03,Churned,48,2024,245,4.44,2,18.2,1,1,,0,1,0,0.3471,Medium
TP-00101,Professional,Education,Maun,Referral,2021-07-17,,Active,1353,2021,798,6.03,2,23.9,1,2,53.0,0,0,0,0.1332,Low
TP-00102,Free,Logistics,Lobatse,Social Media,2024-08-07,2024-11-25,Churned,110,2024,0,0.05,1,0.2,0,0,,0,0,0,0.95,Critical
TP-00103,Professional,Construction,Palapye,Event,2024-03-13,2024-04-25,Churned,43,2024,798,2.13,7,3.3,0,1,,0,0,0,0.153,Low
TP-00104,Starter,Logistics,Gaborone,Event,2024-03-08,2024-12-06,Churned,273,2024,245,1.6,3,6.9,1,1,31.0,1,0,0,0.7328,Critical
TP-00105,Starter,NGO,Palapye,Partnership,2022-04-03,2022-07-01,Churned,89,2022,245,1.94,2,8.2,0,1,14.0,1,1,0,0.8586,Critical
TP-00106,Free,Retail,Gaborone,Direct Sales,2021-01-24,2021-04-23,Churned,89,2021,0,0.0,0,0.0,1,0,,0,0,0,0.9117,Critical
TP-00107,Starter,Finance,Gaborone,Event,2024-06-28,2024-07-28,Churned,30,2024,245,3.11,3,15.8,1,0,0.0,0,1,0,0.1975,Low
TP-00108,Free,Logistics,Gaborone,Referral,2022-06-13,,Active,1022,2022,0,3.5,2,21.7,1,0,,0,0,0,0.8037,Critical
TP-00109,Free,Agriculture,Gaborone,Organic Search,2022-12-19,2023-02-04,Churned,47,2022,0,0.55,1,2.5,1,0,14.0,0,0,0,0.9427,Critical
TP-00110,Enterprise,NGO,Gaborone,Partnership,2021-07-30,,Active,1340,2021,2299,5.5,8,30.4,1,5,,0,1,0,0.02,Low
TP-00111,Professional,NGO,Gaborone,Referral,2021-02-22,,Active,1498,2021,798,2.81,6,6.8,1,3,,0,1,0,0.02,Low
TP-00112,Professional,NGO,Gaborone,Referral,2021-11-26,,Active,1221,2021,798,6.87,3,37.3,1,2,,0,0,0,0.0542,Low
TP-00113,Starter,Education,Francistown,Organic Search,2022-12-13,2023-03-16,Churned,93,2022,245,0.68,4,2.9,0,2,,0,1,0,0.5926,High
TP-00114,Enterprise,Retail,Lobatse,Direct Sales,2022-10-22,,Active,891,2022,2299,3.5,9,16.0,1,3,50.0,0,0,0,0.02,Low
TP-00115,Free,NGO,Gaborone,Referral,2021-12-16,2022-01-15,Churned,30,2021,0,0.0,2,0.0,0,1,,0,0,0,0.95,Critical
TP-00116,Starter,Agriculture,Gaborone,Event,2021-01-21,2021-03-19,Churned,57,2021,245,3.88,3,22.4,0,2,,1,0,0,0.6367,High
TP-00117,Starter,Construction,Gaborone,Direct Sales,2022-08-26,,Active,948,2022,245,1.86,3,9.5,1,0,9.0,0,0,0,0.5438,High
TP-00118,Free,Professional Services,Gaborone,Organic Search,2024-08-03,2024-09-09,Churned,37,2024,0,0.67,0,1.9,0,1,,0,0,0,0.95,Critical
TP-00119,Starter,Education,Maun,Direct Sales,2022-05-26,2022-07-01,Churned,36,2022,245,0.77,5,3.0,0,2,,0,0,0,0.5712,High
TP-00120,Free,Finance,Gaborone,Event,2023-02-13,2023-04-20,Churned,66,2023,0,0.71,2,5.8,1,0,15.0,0,0,0,0.9405,Critical
TP-00121,Professional,NGO,Gaborone,Direct Sales,2023-07-24,,Active,616,2023,798,4.44,8,14.9,0,3,,0,0,0,0.0442,Low
TP-00122,Professional,Healthcare,Gaborone,Social Media,2024-05-10,2025-03-30,Churned,324,2024,798,7.76,3,46.7,0,0,,1,0,0,0.2828,Medium
TP-00123,Free,Agriculture,Gaborone,Event,2023-12-19,2024-02-05,Churned,48,2023,0,0.0,1,0.0,0,1,20.0,0,0,0,0.95,Critical
TP-00124,Free,Education,Serowe,Partnership,2023-10-05,2024-04-19,Churned,197,2023,0,2.4,2,10.1,1,0,-23.0,0,0,0,0.8809,Critical
TP-00125,Starter,Healthcare,Gaborone,Direct Sales,2023-02-20,,Active,770,2023,245,3.44,3,16.2,0,1,-3.0,1,1,0,0.5891,High
TP-00126,Starter,Finance,Maun,Organic Search,2021-08-26,2021-12-12,Churned,108,2021,245,2.74,4,11.9,1,1,,0,1,0,0.296,Medium
TP-00127,Free,Healthcare,Gaborone,Organic Search,2020-06-16,2020-08-13,Churned,58,2020,0,1.44,1,5.5,0,0,-8.0,0,0,0,0.95,Critical
TP-00128,Starter,Education,Gaborone,Event,2020-08-26,,Active,1678,2020,245,4.72,3,17.2,1,2,49.0,1,1,0,0.2441,Low
TP-00129,Starter,Agriculture,Gaborone,Direct Sales,2020-07-13,2020-11-08,Churned,118,2020,245,3.22,4,14.1,0,2,15.0,0,0,0,0.466,High
TP-00130,Free,Agriculture,Francistown,Partnership,2020-11-09,2020-12-09,Churned,30,2020,0,3.09,1,20.0,0,0,-3.0,0,0,0,0.9148,Critical
TP-00131,Free,Finance,Francistown,Partnership,2023-04-11,2023-05-11,Churned,30,2023,0,2.35,0,6.9,1,0,,0,0,0,0.8056,Critical
TP-00132,Free,Healthcare,Gaborone,Partnership,2021-04-10,2021-08-22,Churned,134,2021,0,1.36,2,9.0,0,0,,0,0,0,0.95,Critical
TP-00133,Starter,NGO,Serowe,Direct Sales,2024-03-26,2025-03-30,Churned,369,2024,245,1.3,4,5.2,0,2,,0,0,0,0.697,Critical
TP-00134,Free,Logistics,Francistown,Social Media,2023-09-25,2023-10-25,Churned,30,2023,0,2.8,3,5.4,1,0,19.0,0,0,0,0.5577,High
TP-00135,Free,Healthcare,Gaborone,Organic Search,2023-11-12,2023-12-12,Churned,30,2023,0,2.07,1,7.3,0,4,13.0,0,0,0,0.95,Critical
TP-00136,Professional,NGO,Maun,Social Media,2023-10-23,,Active,525,2023,798,5.93,7,28.6,1,1,28.0,0,1,0,0.02,Low
TP-00137,Professional,Education,Lobatse,Organic Search,2023-03-31,,Active,731,2023,798,7.29,8,24.6,1,6,28.0,0,0,0,0.0787,Low
TP-00138,Free,Healthcare,Gaborone,Social Media,2024-03-22,2024-04-21,Churned,30,2024,0,0.0,1,0.0,0,0,,0,0,0,0.95,Critical
TP-00139,Free,Agriculture,Gaborone,Event,2024-02-05,,Active,420,2024,0,3.55,1,16.5,0,1,,0,0,0,0.9015,Critical
TP-00140,Free,Agriculture,Gaborone,Event,2020-11-21,,Active,1591,2020,0,4.43,1,15.8,0,1,44.0,0,0,0,0.7289,Critical
TP-00141,Starter,Finance,Gaborone,Event,2022-10-16,2022-11-15,Churned,30,2022,245,3.68,2,19.1,0,5,55.0,1,1,0,0.6928,Critical
TP-00142,Enterprise,Hospitality,Gaborone,Organic Search,2023-04-06,,Active,725,2023,2299,5.46,7,17.8,1,3,,0,0,0,0.02,Low
TP-00143,Free,NGO,Gaborone,Direct Sales,2021-04-12,2021-05-12,Churned,30,2021,0,1.99,2,8.7,1,0,,0,0,0,0.9387,Critical
TP-00144,Starter,Construction,Lobatse,Partnership,2022-01-05,,Active,1181,2022,245,3.77,5,14.5,0,3,,1,1,0,0.3576,Medium
TP-00145,Professional,Construction,Gaborone,Partnership,2022-11-20,,Active,862,2022,798,4.89,5,22.5,1,2,-7.0,0,0,0,0.02,Low
TP-00146,Professional,Hospitality,Palapye,Organic Search,2024-01-05,,Active,451,2024,798,6.24,5,30.3,1,1,77.0,0,0,0,0.02,Low
TP-00147,Starter,Professional Services,Gaborone,Referral,2021-12-11,,Active,1206,2021,245,2.7,1,10.0,1,2,39.0,1,0,1,0.8623,Critical
TP-00148,Enterprise,Agriculture,Gaborone,Partnership,2022-07-06,,Active,999,2022,2299,5.2,8,17.9,1,3,,0,0,0,0.02,Low
TP-00149,Enterprise,Education,Serowe,Referral,2020-08-18,,Active,1686,2020,2299,5.97,9,14.7,1,4,,0,0,0,0.02,Low
TP-00150,Free,Professional Services,Gaborone,Referral,2021-04-03,2021-07-01,Churned,89,2021,0,3.39,2,13.4,0,0,,0,0,0,0.8979,Critical
TP-00151,Free,Healthcare,Gaborone,Referral,2022-10-08,2022-12-30,Churned,83,2022,0,2.01,2,9.4,0,1,,0,0,1,0.95,Critical
TP-00152,Starter,NGO,Gaborone,Referral,2022-01-18,,Active,1168,2022,245,2.45,4,15.5,1,0,,0,1,0,0.2397,Low
TP-00153,Free,Education,Gaborone,Partnership,2023-06-20,2023-07-20,Churned,30,2023,0,1.64,2,6.8,0,0,,0,0,0,0.95,Critical
TP-00154,Enterprise,Healthcare,Maun,Social Media,2024-11-01,,Active,150,2024,2299,9.08,7,63.6,1,2,15.0,0,0,0,0.02,Low
TP-00155,Starter,Education,Gaborone,Social Media,2023-06-24,2023-08-22,Churned,59,2023,245,3.65,2,5.3,1,0,,0,0,0,0.5753,High
TP-00156,Free,Logistics,Gaborone,Referral,2020-08-29,2020-09-28,Churned,30,2020,0,4.37,1,25.5,0,2,,0,0,0,0.6945,Critical
TP-00157,Free,Finance,Francistown,Organic Search,2024-08-21,2024-10-14,Churned,54,2024,0,0.09,1,0.3,0,1,78.0,0,0,0,0.95,Critical
TP-00158,Professional,Agriculture,Palapye,Event,2022-11-18,,Active,864,2022,798,4.46,5,19.4,0,2,31.0,0,0,0,0.0673,Low
TP-00159,Starter,Finance,Gaborone,Organic Search,2024-06-29,2025-03-30,Churned,274,2024,245,2.67,2,10.4,1,3,62.0,0,0,0,0.5249,High
TP-00160,Free,Logistics,Francistown,Direct Sales,2021-05-08,2021-06-07,Churned,30,2021,0,2.51,2,8.4,0,1,40.0,0,0,1,0.95,Critical
TP-00161,Free,Agriculture,Gaborone,Organic Search,2020-11-01,2020-12-30,Churned,59,2020,0,2.16,2,12.4,0,1,28.0,0,0,0,0.85,Critical
TP-00162,Professional,Logistics,Gaborone,Organic Search,2021-09-27,,Active,1281,2021,798,8.43,4,30.1,0,3,51.0,0,0,0,0.1464,Low
TP-00163,Starter,Logistics,Lobatse,Social Media,2022-11-27,2023-04-12,Churned,136,2022,245,1.94,5,8.1,0,1,,3,0,0,0.6421,High
TP-00164,Professional,Logistics,Francistown,Partnership,2021-01-28,,Active,1523,2021,798,4.04,3,19.8,1,2,54.0,0,0,0,0.0455,Low
TP-00165,Free,Logistics,Gaborone,Referral,2020-10-30,2021-01-31,Churned,93,2020,0,1.67,3,11.4,0,0,,0,0,0,0.9316,Critical
TP-00166,Free,Education,Maun,Partnership,2023-06-16,2023-07-16,Churned,30,2023,0,0.85,1,4.8,0,0,38.0,0,0,0,0.95,Critical
TP-00167,Starter,Hospitality,Serowe,Partnership,2021-09-03,,Active,1305,2021,245,3.07,5,19.5,1,1,40.0,0,1,0,0.2101,Low
TP-00168,Professional,Finance,Gaborone,Organic Search,2020-10-13,,Active,1630,2020,798,4.97,6,19.2,1,1,,1,0,0,0.0784,Low
TP-00169,Professional,NGO,Gaborone,Social Media,2024-01-07,,Active,449,2024,798,0.48,6,1.2,1,2,45.0,0,0,0,0.332,Medium
TP-00170,Starter,Hospitality,Gaborone,Organic Search,2021-02-10,2021-05-09,Churned,88,2021,245,4.46,2,8.8,0,0,21.0,0,1,0,0.4343,Medium
TP-00171,Enterprise,Finance,Palapye,Organic Search,2021-10-27,,Active,1251,2021,2299,8.19,8,16.1,1,3,,0,1,0,0.02,Low
TP-00172,Starter,NGO,Lobatse,Referral,2021-05-17,,Active,1414,2021,245,2.16,4,13.2,0,3,,1,0,0,0.5609,High
TP-00173,Professional,Retail,Gaborone,Event,2024-09-27,,Active,185,2024,798,3.91,5,17.1,1,1,,0,0,0,0.0506,Low
TP-00174,Starter,Healthcare,Francistown,Social Media,2023-02-15,,Active,775,2023,245,1.77,4,7.4,1,1,,0,0,0,0.5886,High
TP-00175,Free,Agriculture,Francistown,Referral,2022-04-28,,Active,1068,2022,0,1.57,2,6.4,0,0,45.0,0,0,0,0.95,Critical
TP-00176,Free,Education,Francistown,Organic Search,2022-03-16,2022-05-05,Churned,50,2022,0,3.91,1,23.3,1,0,-7.0,0,0,0,0.771,Critical
