date,day_of_week,shift,department,patients_arrived,staff_on_duty,wait_time_min
2025-07-12,Saturday,Afternoon (3pm-11pm),Emergency,71,10,30.3
2025-07-12,Saturday,Night (11pm-7am),Emergency,40,7,14.9
2025-07-12,Saturday,Morning (7am-3pm),Outpatient,31,8,19.3
2025-07-12,Saturday,Afternoon (3pm-11pm),Outpatient,19,3,10.7
2025-07-12,Saturday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-12,Saturday,Morning (7am-3pm),Surgery,8,2,13.1
2025-07-12,Saturday,Afternoon (3pm-11pm),Surgery,4,1,5.0
2025-07-12,Saturday,Night (11pm-7am),Surgery,1,1,10.7
2025-07-12,Saturday,Morning (7am-3pm),Maternity,9,1,18.8
2025-07-12,Saturday,Afternoon (3pm-11pm),Maternity,18,5,19.0
2025-07-12,Saturday,Night (11pm-7am),Maternity,9,3,6.6
2025-07-12,Saturday,Morning (7am-3pm),Pediatrics,30,6,7.8
2025-07-12,Saturday,Afternoon (3pm-11pm),Pediatrics,24,5,11.8
2025-07-12,Saturday,Night (11pm-7am),Pediatrics,12,2,31.1
2025-07-12,Saturday,Morning (7am-3pm),ICU,10,6,17.5
2025-07-12,Saturday,Afternoon (3pm-11pm),ICU,9,3,5.0
2025-07-12,Saturday,Night (11pm-7am),ICU,6,4,9.6
2025-07-13,Sunday,Morning (7am-3pm),Emergency,56,10,31.2
2025-07-13,Sunday,Afternoon (3pm-11pm),Emergency,72,13,7.8
2025-07-13,Sunday,Night (11pm-7am),Emergency,40,5,20.1
2025-07-13,Sunday,Morning (7am-3pm),Outpatient,32,8,9.0
2025-07-13,Sunday,Afternoon (3pm-11pm),Outpatient,24,7,19.2
2025-07-13,Sunday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-13,Sunday,Morning (7am-3pm),Surgery,8,1,19.9
2025-07-13,Sunday,Afternoon (3pm-11pm),Surgery,5,1,19.9
2025-07-13,Sunday,Night (11pm-7am),Surgery,2,1,5.0
2025-07-13,Sunday,Morning (7am-3pm),Maternity,9,1,23.7
2025-07-13,Sunday,Afternoon (3pm-11pm),Maternity,18,4,20.0
2025-07-13,Sunday,Night (11pm-7am),Maternity,8,2,10.0
2025-07-13,Sunday,Morning (7am-3pm),Pediatrics,26,4,12.1
2025-07-13,Sunday,Afternoon (3pm-11pm),Pediatrics,27,6,16.6
2025-07-13,Sunday,Night (11pm-7am),Pediatrics,15,3,26.8
2025-07-13,Sunday,Morning (7am-3pm),ICU,6,3,7.6
2025-07-13,Sunday,Afternoon (3pm-11pm),ICU,9,4,6.5
2025-07-13,Sunday,Night (11pm-7am),ICU,7,3,5.0
2025-07-14,Monday,Morning (7am-3pm),Emergency,46,7,32.4
2025-07-14,Monday,Afternoon (3pm-11pm),Emergency,62,11,23.7
2025-07-14,Monday,Night (11pm-7am),Emergency,36,6,23.1
2025-07-14,Monday,Morning (7am-3pm),Outpatient,77,20,22.1
2025-07-14,Monday,Afternoon (3pm-11pm),Outpatient,39,8,5.0
2025-07-14,Monday,Night (11pm-7am),Outpatient,0,1,7.3
2025-07-14,Monday,Morning (7am-3pm),Surgery,9,3,9.9
2025-07-14,Monday,Afternoon (3pm-11pm),Surgery,6,2,9.8
2025-07-14,Monday,Night (11pm-7am),Surgery,1,1,5.0
2025-07-14,Monday,Morning (7am-3pm),Maternity,12,3,12.8
2025-07-14,Monday,Afternoon (3pm-11pm),Maternity,12,2,19.6
2025-07-14,Monday,Night (11pm-7am),Maternity,11,2,15.2
2025-07-14,Monday,Morning (7am-3pm),Pediatrics,31,6,17.4
2025-07-14,Monday,Afternoon (3pm-11pm),Pediatrics,29,4,26.8
2025-07-14,Monday,Night (11pm-7am),Pediatrics,17,3,28.9
2025-07-14,Monday,Morning (7am-3pm),ICU,8,5,7.9
2025-07-14,Monday,Afternoon (3pm-11pm),ICU,8,5,5.0
2025-07-14,Monday,Night (11pm-7am),ICU,8,4,15.6
2025-07-15,Tuesday,Morning (7am-3pm),Emergency,49,9,12.7
2025-07-15,Tuesday,Afternoon (3pm-11pm),Emergency,62,11,16.5
2025-07-15,Tuesday,Night (11pm-7am),Emergency,47,6,31.0
2025-07-15,Tuesday,Morning (7am-3pm),Outpatient,87,20,11.3
2025-07-15,Tuesday,Afternoon (3pm-11pm),Outpatient,59,13,16.9
2025-07-15,Tuesday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-15,Tuesday,Morning (7am-3pm),Surgery,6,2,15.7
2025-07-15,Tuesday,Afternoon (3pm-11pm),Surgery,5,2,13.1
2025-07-15,Tuesday,Night (11pm-7am),Surgery,1,1,18.5
2025-07-15,Tuesday,Morning (7am-3pm),Maternity,10,3,5.0
2025-07-15,Tuesday,Afternoon (3pm-11pm),Maternity,11,1,25.3
2025-07-15,Tuesday,Night (11pm-7am),Maternity,8,3,12.5
2025-07-15,Tuesday,Morning (7am-3pm),Pediatrics,32,5,24.3
2025-07-15,Tuesday,Afternoon (3pm-11pm),Pediatrics,27,5,18.3
2025-07-15,Tuesday,Night (11pm-7am),Pediatrics,11,2,8.1
2025-07-15,Tuesday,Morning (7am-3pm),ICU,6,3,9.4
2025-07-15,Tuesday,Afternoon (3pm-11pm),ICU,7,4,5.0
2025-07-15,Tuesday,Night (11pm-7am),ICU,6,4,5.0
2025-07-16,Wednesday,Morning (7am-3pm),Emergency,51,8,21.2
2025-07-16,Wednesday,Afternoon (3pm-11pm),Emergency,53,7,21.6
2025-07-16,Wednesday,Night (11pm-7am),Emergency,44,8,12.9
2025-07-16,Wednesday,Morning (7am-3pm),Outpatient,77,20,10.7
2025-07-16,Wednesday,Afternoon (3pm-11pm),Outpatient,65,15,5.0
2025-07-16,Wednesday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-16,Wednesday,Morning (7am-3pm),Surgery,8,3,17.6
2025-07-16,Wednesday,Afternoon (3pm-11pm),Surgery,6,2,5.0
2025-07-16,Wednesday,Night (11pm-7am),Surgery,1,1,8.9
2025-07-16,Wednesday,Morning (7am-3pm),Maternity,12,3,14.9
2025-07-16,Wednesday,Afternoon (3pm-11pm),Maternity,14,3,7.8
2025-07-16,Wednesday,Night (11pm-7am),Maternity,10,2,5.7
2025-07-16,Wednesday,Morning (7am-3pm),Pediatrics,32,5,22.4
2025-07-16,Wednesday,Afternoon (3pm-11pm),Pediatrics,28,6,12.5
2025-07-16,Wednesday,Night (11pm-7am),Pediatrics,15,4,10.9
2025-07-16,Wednesday,Morning (7am-3pm),ICU,7,4,5.9
2025-07-16,Wednesday,Afternoon (3pm-11pm),ICU,6,4,14.8
2025-07-16,Wednesday,Night (11pm-7am),ICU,7,3,7.9
2025-07-17,Thursday,Morning (7am-3pm),Emergency,30,5,12.4
2025-07-17,Thursday,Afternoon (3pm-11pm),Emergency,61,9,14.1
2025-07-17,Thursday,Night (11pm-7am),Emergency,42,6,19.2
2025-07-17,Thursday,Morning (7am-3pm),Outpatient,77,18,6.2
2025-07-17,Thursday,Afternoon (3pm-11pm),Outpatient,56,13,11.8
2025-07-17,Thursday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-17,Thursday,Morning (7am-3pm),Surgery,6,3,6.1
2025-07-17,Thursday,Afternoon (3pm-11pm),Surgery,5,1,7.0
2025-07-17,Thursday,Night (11pm-7am),Surgery,2,1,5.3
2025-07-17,Thursday,Morning (7am-3pm),Maternity,12,4,13.1
2025-07-17,Thursday,Afternoon (3pm-11pm),Maternity,10,1,29.1
2025-07-17,Thursday,Night (11pm-7am),Maternity,9,2,27.4
2025-07-17,Thursday,Morning (7am-3pm),Pediatrics,25,5,26.9
2025-07-17,Thursday,Afternoon (3pm-11pm),Pediatrics,26,5,9.7
2025-07-17,Thursday,Night (11pm-7am),Pediatrics,16,4,5.0
2025-07-17,Thursday,Morning (7am-3pm),ICU,7,4,5.5
2025-07-17,Thursday,Afternoon (3pm-11pm),ICU,6,4,5.2
2025-07-17,Thursday,Night (11pm-7am),ICU,6,2,22.0
2025-07-18,Friday,Morning (7am-3pm),Emergency,49,8,17.7
2025-07-18,Friday,Afternoon (3pm-11pm),Emergency,56,8,34.8
2025-07-18,Friday,Night (11pm-7am),Emergency,32,5,27.4
2025-07-18,Friday,Morning (7am-3pm),Outpatient,66,17,19.4
2025-07-18,Friday,Afternoon (3pm-11pm),Outpatient,70,16,12.0
2025-07-18,Friday,Night (11pm-7am),Outpatient,0,1,14.8
2025-07-18,Friday,Morning (7am-3pm),Surgery,9,3,5.0
2025-07-18,Friday,Afternoon (3pm-11pm),Surgery,7,1,31.3
2025-07-18,Friday,Night (11pm-7am),Surgery,1,1,5.0
2025-07-18,Friday,Morning (7am-3pm),Maternity,12,3,11.4
2025-07-18,Friday,Afternoon (3pm-11pm),Maternity,13,4,20.2
2025-07-18,Friday,Night (11pm-7am),Maternity,11,3,14.5
2025-07-18,Friday,Morning (7am-3pm),Pediatrics,32,6,10.0
2025-07-18,Friday,Afternoon (3pm-11pm),Pediatrics,19,3,7.0
2025-07-18,Friday,Night (11pm-7am),Pediatrics,15,2,20.9
2025-07-18,Friday,Morning (7am-3pm),ICU,8,4,18.1
2025-07-18,Friday,Afternoon (3pm-11pm),ICU,9,4,6.5
2025-07-18,Friday,Night (11pm-7am),ICU,10,6,5.0
2025-07-19,Saturday,Morning (7am-3pm),Emergency,64,11,11.2
2025-07-19,Saturday,Afternoon (3pm-11pm),Emergency,70,11,20.9
2025-07-19,Saturday,Night (11pm-7am),Emergency,46,7,13.3
2025-07-19,Saturday,Morning (7am-3pm),Outpatient,28,7,14.5
2025-07-19,Saturday,Afternoon (3pm-11pm),Outpatient,18,3,12.3
2025-07-19,Saturday,Night (11pm-7am),Outpatient,0,1,9.8
2025-07-19,Saturday,Morning (7am-3pm),Surgery,7,3,5.0
2025-07-19,Saturday,Afternoon (3pm-11pm),Surgery,6,2,16.0
2025-07-19,Saturday,Night (11pm-7am),Surgery,1,1,6.0
2025-07-19,Saturday,Morning (7am-3pm),Maternity,14,2,14.0
2025-07-19,Saturday,Afternoon (3pm-11pm),Maternity,19,5,20.0
2025-07-19,Saturday,Night (11pm-7am),Maternity,8,3,27.5
2025-07-19,Saturday,Morning (7am-3pm),Pediatrics,29,4,37.2
2025-07-19,Saturday,Afternoon (3pm-11pm),Pediatrics,32,5,19.1
2025-07-19,Saturday,Night (11pm-7am),Pediatrics,15,4,21.6
2025-07-19,Saturday,Morning (7am-3pm),ICU,7,2,22.4
2025-07-19,Saturday,Afternoon (3pm-11pm),ICU,9,4,5.1
2025-07-19,Saturday,Night (11pm-7am),ICU,10,6,5.8
2025-07-20,Sunday,Morning (7am-3pm),Emergency,76,13,14.6
2025-07-20,Sunday,Afternoon (3pm-11pm),Emergency,47,7,20.5
2025-07-20,Sunday,Night (11pm-7am),Emergency,45,7,13.6
2025-07-20,Sunday,Morning (7am-3pm),Outpatient,32,8,17.1
2025-07-20,Sunday,Afternoon (3pm-11pm),Outpatient,21,6,5.0
2025-07-20,Sunday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-20,Sunday,Morning (7am-3pm),Surgery,9,3,5.0
2025-07-20,Sunday,Afternoon (3pm-11pm),Surgery,6,2,7.0
2025-07-20,Sunday,Night (11pm-7am),Surgery,1,1,5.0
2025-07-20,Sunday,Morning (7am-3pm),Maternity,11,1,40.3
2025-07-20,Sunday,Afternoon (3pm-11pm),Maternity,16,4,19.4
2025-07-20,Sunday,Night (11pm-7am),Maternity,6,1,14.6
2025-07-20,Sunday,Morning (7am-3pm),Pediatrics,29,5,32.3
2025-07-20,Sunday,Afternoon (3pm-11pm),Pediatrics,28,5,15.4
2025-07-20,Sunday,Night (11pm-7am),Pediatrics,15,2,14.0
2025-07-20,Sunday,Morning (7am-3pm),ICU,9,5,21.5
2025-07-20,Sunday,Afternoon (3pm-11pm),ICU,7,4,5.0
2025-07-20,Sunday,Night (11pm-7am),ICU,6,2,19.6
2025-07-21,Monday,Morning (7am-3pm),Emergency,44,7,22.9
2025-07-21,Monday,Afternoon (3pm-11pm),Emergency,49,9,5.8
2025-07-21,Monday,Night (11pm-7am),Emergency,29,4,29.5
2025-07-21,Monday,Morning (7am-3pm),Outpatient,86,20,16.6
2025-07-21,Monday,Afternoon (3pm-11pm),Outpatient,44,11,5.0
2025-07-21,Monday,Night (11pm-7am),Outpatient,0,1,5.0
2025-07-21,Monday,Morning (7am-3pm),Surgery,7,3,5.0
2025-07-21,Monday,Afternoon (3pm-11pm),Surgery,5,1,22.8
2025-07-21,Monday,Night (11pm-7am),Surgery,2,1,6.6
2025-07-21,Monday,Morning (7am-3pm),Maternity,12,4,12.9
2025-07-21,Monday,Afternoon (3pm-11pm),Maternity,16,5,16.2
2025-07-21,Monday,Night (11pm-7am),Maternity,12,4,5.1
2025-07-21,Monday,Morning (7am-3pm),Pediatrics,23,3,29.4
2025-07-21,Monday,Afternoon (3pm-11pm),Pediatrics,29,5,9.7
2025-07-21,Monday,Night (11pm-7am),Pediatrics,11,2,5.0
2025-07-21,Monday,Morning (7am-3pm),ICU,9,4,8.3
