customer_id,branch,loan_officer,loan_type,age,occupation,monthly_income_bwp,loan_amount_bwp,interest_rate_pct,loan_term_months,monthly_payment_bwp,months_active,outstanding_balance,disburse_date,dti_ratio,credit_score,existing_loans,employment_tenure_yrs,prev_defaults,has_collateral,collateral_value_bwp,payment_status,days_late,missed_payments,collection_action,expected_loss_bwp,will_default
TCU-00033,Francistown,LO014,Vehicle Loan,34,Government Employee,17438.0,174100.0,19.53,48,5254.0,17,97143.0,2024-01-18,0.3013,814,0,17.7,0,1,265216.0,Current,0,0,None,0.0,0
TCU-00034,Maun,LO008,Personal Loan,39,Self-Employed,29966.0,372700.0,23.24,72,9641.0,11,277468.0,2024-07-08,0.3217,850,2,8.7,0,0,0.0,Current,0,0,None,0.0,0
TCU-00035,Maun,LO006,Home Loan,40,Private Sector,6340.0,57900.0,23.6,60,1652.0,8,47902.0,2024-10-26,0.2606,784,1,26.2,0,1,89675.0,Current,0,0,None,0.0,0
TCU-00036,Gaborone Main,LO013,Vehicle Loan,52,Government Employee,9259.0,21900.0,10.81,60,474.0,7,16690.0,2024-11-07,0.0512,838,0,17.0,0,0,0.0,Current,0,0,None,0.0,0
TCU-00037,Lobatse,LO014,Home Loan,50,Self-Employed,24471.0,333100.0,10.04,84,5537.0,11,273219.0,2024-07-31,0.2263,850,0,16.8,0,1,656850.0,Current,0,0,None,0.0,0
TCU-00038,Selebi-Phikwe,LO003,Agriculture Loan,40,Student,2317.0,40500.0,17.64,84,843.0,11,32161.0,2024-07-21,0.3638,683,1,19.6,2,0,0.0,Defaulted,174,7,Legal Notice,21476.0,1
TCU-00039,Gaborone Main,LO015,Agriculture Loan,40,Farmer,6649.0,51600.0,16.87,48,1485.0,15,33336.0,2024-03-23,0.2233,777,1,1.3,0,0,0.0,Early (1–29 days),25,1,None,0.0,0
TCU-00040,Lobatse,LO002,Business Loan,65,Self-Employed,20938.0,458500.0,11.31,60,10040.0,3,411713.0,2025-03-22,0.4795,832,1,3.2,0,1,889136.0,Current,0,0,None,0.0,0
TCU-00041,Selebi-Phikwe,LO018,Personal Loan,40,Student,3092.0,26700.0,23.54,48,864.0,18,15831.0,2024-01-02,0.2794,607,0,11.2,1,0,0.0,Current,0,0,None,0.0,0
TCU-00042,Selebi-Phikwe,LO004,Personal Loan,40,Farmer,14678.0,122900.0,10.95,60,2669.0,17,82163.0,2024-01-15,0.1818,766,0,29.8,2,1,122862.0,Current,0,0,None,0.0,0
TCU-00043,Maun,LO014,Vehicle Loan,54,Student,4931.0,58700.0,14.45,60,1380.0,13,45044.0,2024-05-19,0.2799,695,1,28.1,0,0,0.0,Current,0,0,None,0.0,0
TCU-00044,Francistown,LO015,Education Loan,64,Farmer,8812.0,162300.0,14.35,36,5575.0,11,112383.0,2024-07-12,0.6327,850,0,11.8,1,1,217628.0,Current,0,0,None,0.0,0
TCU-00045,Francistown,LO016,Personal Loan,64,Student,1942.0,33500.0,10.06,84,557.0,3,27941.0,2025-03-26,0.2868,712,0,26.2,3,1,71308.0,Current,0,0,None,0.0,0
TCU-00046,Lobatse,LO013,Home Loan,27,Self-Employed,26565.0,246500.0,16.89,60,6112.0,15,163654.0,2024-03-11,0.2301,850,1,9.0,0,1,607172.0,Current,0,0,None,0.0,0
TCU-00047,Maun,LO001,Personal Loan,32,Student,2635.0,16500.0,15.18,24,801.0,4,12855.0,2025-02-25,0.304,656,0,26.2,0,1,38805.0,Current,0,0,None,0.0,0
TCU-00048,Gaborone Main,LO015,Home Loan,38,Student,3872.0,33000.0,13.86,60,765.0,8,27051.0,2024-11-02,0.1976,635,1,7.9,1,1,47981.0,Current,0,0,None,0.0,0
TCU-00049,Maun,LO001,Agriculture Loan,58,Self-Employed,18249.0,194700.0,20.56,12,18088.0,1,174000.0,2025-05-23,0.9912,850,0,24.2,0,1,238715.0,Current,0,0,None,0.0,0
TCU-00050,Gaborone Main,LO002,Home Loan,30,Student,4260.0,23700.0,10.54,36,771.0,7,18369.0,2024-11-30,0.181,599,0,4.4,0,0,0.0,Current,0,0,None,0.0,0
TCU-00051,Maun,LO011,Personal Loan,38,Farmer,8620.0,96900.0,12.0,72,1894.0,4,91067.0,2025-02-10,0.2197,737,2,0.9,0,1,188355.0,Current,0,0,None,0.0,0
TCU-00052,Francistown,LO016,Personal Loan,45,Government Employee,18532.0,167400.0,17.96,72,3814.0,16,123079.0,2024-03-05,0.2058,777,1,21.2,0,1,146825.0,Current,0,0,None,0.0,0
TCU-00053,Francistown,LO013,Vehicle Loan,37,Pensioner,6226.0,201800.0,16.87,60,5001.0,12,158665.0,2024-06-07,0.8032,628,1,28.2,0,0,0.0,Current,0,0,None,0.0,0
TCU-00054,Maun,LO018,Agriculture Loan,45,Government Employee,14097.0,74500.0,10.39,84,1252.0,2,62817.0,2025-04-10,0.0888,693,0,19.4,3,1,101839.0,Current,0,0,None,0.0,0
TCU-00055,Lobatse,LO007,Business Loan,57,Private Sector,13885.0,217000.0,8.54,84,3441.0,13,183074.0,2024-05-28,0.2478,704,0,26.1,0,1,464452.0,Late (30–89 days),46,1,Home Visit,24109.0,1
TCU-00056,Gaborone Main,LO016,Vehicle Loan,55,Government Employee,21226.0,59000.0,16.31,60,1445.0,16,41496.0,2024-02-14,0.0681,850,3,19.9,0,0,0.0,Current,0,0,None,0.0,0
TCU-00057,Gaborone Main,LO016,Agriculture Loan,49,Student,4684.0,10100.0,17.93,12,926.0,12,0.0,2024-05-09,0.1977,650,0,29.8,0,1,18475.0,Current,0,0,None,0.0,0
TCU-00058,Francistown,LO014,Vehicle Loan,63,Pensioner,9329.0,208500.0,14.68,72,4373.0,14,150639.0,2024-04-07,0.4688,719,0,8.0,2,0,0.0,Late (30–89 days),35,1,None,31328.0,1
TCU-00059,Lobatse,LO002,Education Loan,45,Private Sector,28959.0,336700.0,14.87,84,6473.0,3,318251.0,2025-03-09,0.2235,850,1,10.9,0,1,645269.0,Current,0,0,None,0.0,0
TCU-00060,Maun,LO019,Business Loan,45,Government Employee,21723.0,487400.0,21.19,60,13238.0,17,328816.0,2024-01-27,0.6094,708,1,21.0,0,1,1021637.0,Current,0,0,None,0.0,0
TCU-00061,Selebi-Phikwe,LO003,Business Loan,31,Pensioner,8446.0,41000.0,16.72,48,1177.0,3,35287.0,2025-03-05,0.1394,730,0,28.3,0,0,0.0,Early (1–29 days),3,1,None,0.0,0
TCU-00062,Selebi-Phikwe,LO016,Education Loan,39,Farmer,8305.0,138100.0,10.26,48,3520.0,14,87304.0,2024-04-23,0.4238,760,1,14.9,0,1,203276.0,Late (30–89 days),49,1,Letter Sent,25479.0,1
TCU-00063,Gaborone Main,LO001,Vehicle Loan,40,Self-Employed,30893.0,193200.0,19.41,60,5055.0,6,149678.0,2024-12-28,0.1636,850,0,27.7,1,0,0.0,Current,0,0,None,0.0,0
TCU-00064,Gaborone Main,LO011,Business Loan,29,Farmer,12616.0,360400.0,22.76,12,33863.0,3,263995.0,2025-03-23,2.6841,726,0,17.9,0,1,478419.0,Late (30–89 days),40,1,SMS Sent,60091.0,1
TCU-00065,Francistown,LO012,Home Loan,55,Pensioner,8364.0,283700.0,12.16,24,13376.0,9,155962.0,2024-09-19,1.5992,668,1,5.7,1,1,590822.0,Late (30–89 days),89,2,None,49294.0,1
TCU-00066,Selebi-Phikwe,LO003,Vehicle Loan,42,Private Sector,16613.0,108100.0,9.37,60,2263.0,15,72689.0,2024-03-16,0.1362,745,1,2.2,1,1,245303.0,Current,0,0,None,0.0,0
TCU-00067,Lobatse,LO002,Vehicle Loan,51,Pensioner,9454.0,62000.0,17.88,60,1570.0,13,48259.0,2024-06-03,0.1661,648,2,29.5,0,0,0.0,Current,0,0,None,0.0,0
TCU-00068,Lobatse,LO006,Home Loan,55,Pensioner,6237.0,59500.0,13.74,60,1376.0,16,42254.0,2024-02-23,0.2206,761,1,2.4,0,0,0.0,Current,0,0,None,0.0,0
TCU-00069,Maun,LO003,Education Loan,60,Private Sector,21927.0,158600.0,18.67,72,3678.0,4,130218.0,2025-02-05,0.1677,850,1,19.5,0,1,316377.0,Current,0,0,None,0.0,0
TCU-00070,Selebi-Phikwe,LO017,Home Loan,27,Student,1564.0,34600.0,13.8,84,645.0,1,30045.0,2025-05-12,0.4124,601,4,5.1,0,0,0.0,Current,0,0,None,0.0,0
TCU-00071,Maun,LO020,Business Loan,55,Government Employee,18153.0,61700.0,19.24,60,1609.0,12,47296.0,2024-06-18,0.0886,850,2,29.1,0,0,0.0,Current,0,0,None,0.0,0
TCU-00072,Maun,LO019,Vehicle Loan,52,Private Sector,17080.0,147500.0,16.68,24,7270.0,11,77514.0,2024-07-23,0.4256,846,0,7.9,0,0,0.0,Current,0,0,None,0.0,0
TCU-00073,Gaborone Main,LO006,Home Loan,29,Self-Employed,20175.0,416400.0,9.92,24,19199.0,2,375094.0,2025-04-06,0.9516,850,0,11.5,0,1,492066.0,Late (30–89 days),75,2,Called,111720.0,1
TCU-00074,Selebi-Phikwe,LO005,Agriculture Loan,24,Self-Employed,20888.0,453400.0,8.79,24,20670.0,13,193744.0,2024-06-02,0.9896,786,2,16.1,0,1,594841.0,Defaulted,304,12,SMS Sent,117351.0,1
TCU-00075,Lobatse,LO001,Agriculture Loan,53,Pensioner,7092.0,25400.0,15.15,60,606.0,6,20256.0,2024-12-27,0.0854,656,0,29.3,0,1,42226.0,Current,0,0,None,0.0,0
TCU-00076,Selebi-Phikwe,LO012,Home Loan,52,Government Employee,20704.0,38400.0,12.24,72,756.0,14,29873.0,2024-04-16,0.0365,850,2,10.3,0,1,83826.0,Current,0,0,None,0.0,0
TCU-00077,Francistown,LO005,Personal Loan,66,Farmer,11593.0,23300.0,11.62,84,407.0,11,19902.0,2024-07-23,0.0351,783,0,24.6,0,1,44264.0,Early (1–29 days),21,1,None,0.0,0
TCU-00078,Gaborone Main,LO012,Vehicle Loan,43,Self-Employed,36022.0,447800.0,14.49,24,21604.0,1,409320.0,2025-05-23,0.5997,850,0,24.0,0,1,681395.0,Current,0,0,None,0.0,0
TCU-00079,Gaborone Main,LO003,Home Loan,40,Self-Employed,27793.0,303300.0,15.1,72,6430.0,3,262390.0,2025-03-30,0.2314,850,0,29.9,0,0,0.0,Current,0,0,None,0.0,0
TCU-00080,Francistown,LO001,Business Loan,45,Pensioner,9092.0,147900.0,10.46,24,6856.0,5,105885.0,2025-01-10,0.7541,768,3,1.5,0,1,211592.0,Late (30–89 days),38,2,None,21125.0,1
TCU-00081,Gaborone Main,LO001,Agriculture Loan,39,Private Sector,10465.0,293300.0,10.33,84,4919.0,9,250249.0,2024-09-23,0.47,756,1,30.0,0,1,271563.0,Current,0,0,None,0.0,0
TCU-00082,Maun,LO003,Education Loan,65,Self-Employed,23518.0,426400.0,19.53,72,10098.0,12,344337.0,2024-06-27,0.4294,850,1,4.1,0,1,914046.0,Current,0,0,None,0.0,0
TCU-00083,Lobatse,LO003,Personal Loan,57,Private Sector,13423.0,360800.0,16.65,84,7300.0,4,334513.0,2025-02-23,0.5438,850,1,13.8,0,1,827146.0,Current,0,0,None,0.0,0
TCU-00084,Lobatse,LO002,Personal Loan,30,Farmer,9217.0,38400.0,22.99,24,2011.0,6,28573.0,2024-12-20,0.2182,780,1,8.9,0,1,93151.0,Current,0,0,None,0.0,0
TCU-00085,Francistown,LO019,Education Loan,27,Pensioner,4925.0,128200.0,17.88,84,2685.0,16,101060.0,2024-02-12,0.5452,677,1,17.5,0,0,0.0,Current,0,0,None,0.0,0
TCU-00086,Maun,LO010,Vehicle Loan,62,Pensioner,5469.0,94200.0,15.53,72,2019.0,16,64014.0,2024-03-02,0.3692,737,1,14.2,0,1,213318.0,Current,0,0,None,0.0,0
TCU-00087,Maun,LO017,Education Loan,47,Private Sector,8548.0,26100.0,15.47,24,1271.0,14,9326.0,2024-04-09,0.1487,848,1,28.9,2,0,0.0,Current,0,0,None,0.0,0
TCU-00088,Lobatse,LO015,Vehicle Loan,32,Farmer,13549.0,41000.0,14.6,48,1133.0,10,28637.0,2024-09-03,0.0836,715,0,2.0,0,0,0.0,Current,0,0,None,0.0,0
TCU-00089,Francistown,LO009,Agriculture Loan,28,Farmer,7389.0,13600.0,9.29,60,284.0,11,10045.0,2024-07-18,0.0384,671,1,16.7,1,0,0.0,Late (30–89 days),36,2,Letter Sent,1942.0,1
TCU-00090,Francistown,LO007,Education Loan,57,Self-Employed,22328.0,27400.0,10.62,36,892.0,2,24012.0,2025-04-30,0.0399,850,0,26.8,0,0,0.0,Current,0,0,None,0.0,0
TCU-00091,Maun,LO017,Education Loan,41,Pensioner,7194.0,84400.0,21.14,36,3186.0,6,66892.0,2024-12-05,0.4429,788,2,21.9,0,1,135614.0,Current,0,0,None,0.0,0
TCU-00092,Gaborone Main,LO019,Vehicle Loan,58,Private Sector,10092.0,218600.0,21.54,24,11291.0,9,116778.0,2024-09-05,1.1188,762,3,3.7,0,1,231155.0,Late (30–89 days),79,2,None,37159.0,1
TCU-00093,Francistown,LO017,Business Loan,68,Government Employee,17535.0,241800.0,14.34,24,11648.0,2,218728.0,2025-04-15,0.6643,836,2,21.8,0,0,0.0,Late (30–89 days),45,2,Called,52390.0,1
TCU-00094,Francistown,LO016,Home Loan,41,Self-Employed,21273.0,467600.0,19.69,36,17304.0,14,267473.0,2024-05-04,0.8134,850,1,26.9,0,1,988604.0,Late (30–89 days),75,1,Home Visit,49908.0,1
TCU-00095,Selebi-Phikwe,LO007,Business Loan,63,Self-Employed,33806.0,283200.0,12.71,12,25256.0,10,41837.0,2024-09-02,0.7471,850,1,2.0,0,0,0.0,Defaulted,160,3,Called,34893.0,1
TCU-00096,Selebi-Phikwe,LO016,Agriculture Loan,48,Student,2198.0,36400.0,18.51,84,776.0,15,28341.0,2024-04-01,0.353,609,0,22.3,1,1,86141.0,Current,0,0,None,0.0,0
TCU-00097,Selebi-Phikwe,LO006,Agriculture Loan,24,Farmer,14546.0,439000.0,8.64,60,9036.0,14,332955.0,2024-04-19,0.6212,715,1,16.0,2,1,727494.0,Current,0,0,None,0.0,0
TCU-00098,Maun,LO006,Personal Loan,68,Farmer,11839.0,274200.0,20.24,24,13988.0,4,222570.0,2025-02-19,1.1815,850,1,3.1,0,1,284905.0,Late (30–89 days),46,2,Letter Sent,35362.0,1
TCU-00099,Lobatse,LO019,Personal Loan,43,Self-Employed,13416.0,82900.0,18.85,48,2472.0,7,61885.0,2024-11-10,0.1843,723,3,23.2,0,0,0.0,Current,0,0,None,0.0,0
TCU-00100,Francistown,LO015,Agriculture Loan,30,Farmer,14866.0,267100.0,22.65,84,6365.0,10,226897.0,2024-08-11,0.4282,639,1,18.1,1,1,453508.0,Current,0,0,None,0.0,0
TCU-00101,Francistown,LO019,Education Loan,57,Pensioner,4899.0,63100.0,10.3,24,2920.0,1,52225.0,2025-05-15,0.596,610,1,15.6,0,1,100079.0,Current,0,0,None,0.0,0
TCU-00102,Francistown,LO019,Personal Loan,22,Student,1659.0,7300.0,23.91,12,690.0,2,5200.0,2025-04-28,0.4159,609,1,23.2,1,0,0.0,Current,0,0,None,0.0,0
TCU-00103,Selebi-Phikwe,LO013,Personal Loan,46,Farmer,11193.0,218600.0,18.63,36,7972.0,14,117127.0,2024-05-01,0.7122,688,2,7.1,0,1,285758.0,Current,0,0,None,0.0,0
TCU-00104,Selebi-Phikwe,LO012,Business Loan,36,Private Sector,12616.0,363900.0,10.25,84,6088.0,3,330635.0,2025-03-05,0.4826,737,3,26.7,0,1,658552.0,Current,0,0,None,0.0,0
TCU-00105,Gaborone Main,LO013,Vehicle Loan,37,Student,2320.0,40400.0,9.37,60,846.0,8,30991.0,2024-10-23,0.3647,721,1,23.3,1,1,92501.0,Current,0,0,None,0.0,0
TCU-00106,Lobatse,LO019,Agriculture Loan,39,Government Employee,23497.0,216500.0,16.18,36,7631.0,5,180441.0,2025-01-25,0.3248,829,0,12.8,0,1,450863.0,Current,0,0,None,0.0,0
TCU-00107,Selebi-Phikwe,LO002,Education Loan,67,Private Sector,15904.0,229900.0,14.52,36,7916.0,11,143614.0,2024-07-27,0.4977,850,0,16.3,1,1,331329.0,Late (30–89 days),34,1,Legal Notice,43251.0,1
TCU-00108,Lobatse,LO007,Vehicle Loan,68,Student,2231.0,33700.0,22.59,24,1758.0,11,18150.0,2024-07-13,0.788,745,0,30.0,0,1,61586.0,Current,0,0,None,0.0,0
TCU-00109,Selebi-Phikwe,LO018,Agriculture Loan,40,Farmer,7311.0,82700.0,16.21,12,7512.0,2,66453.0,2025-04-25,1.0275,691,0,1.8,1,0,0.0,Defaulted,303,7,Letter Sent,31139.0,1
TCU-00110,Lobatse,LO008,Vehicle Loan,36,Farmer,9608.0,152400.0,20.33,48,4664.0,1,137156.0,2025-05-17,0.4854,760,2,10.9,0,1,169603.0,Current,0,0,None,0.0,0
TCU-00111,Gaborone Main,LO002,Personal Loan,55,Government Employee,15011.0,119600.0,19.46,12,11048.0,10,18455.0,2024-08-11,0.736,757,1,18.7,0,1,97024.0,Late (30–89 days),63,2,Letter Sent,4317.0,1
TCU-00112,Selebi-Phikwe,LO006,Personal Loan,23,Pensioner,9508.0,74500.0,18.11,36,2697.0,6,55260.0,2024-12-28,0.2837,756,0,11.5,0,0,0.0,Current,0,0,None,0.0,0
TCU-00113,Gaborone Main,LO003,Vehicle Loan,27,Student,2827.0,9800.0,8.65,24,446.0,15,3399.0,2024-03-25,0.1578,542,1,25.8,0,1,8549.0,Current,0,0,None,0.0,0
TCU-00114,Gaborone Main,LO003,Agriculture Loan,52,Self-Employed,37321.0,283900.0,9.01,84,4569.0,7,221817.0,2024-11-18,0.1224,850,0,4.8,1,0,0.0,Current,0,0,None,0.0,0
TCU-00115,Lobatse,LO011,Vehicle Loan,58,Farmer,12067.0,203300.0,19.72,60,5355.0,6,156998.0,2024-12-20,0.4438,686,0,23.2,2,1,429988.0,Defaulted,229,10,Letter Sent,97460.0,1
TCU-00116,Selebi-Phikwe,LO006,Agriculture Loan,57,Farmer,10031.0,200100.0,13.08,24,9521.0,15,64705.0,2024-03-16,0.9492,814,0,21.5,0,0,0.0,Late (30–89 days),30,2,Letter Sent,13665.0,1
TCU-00117,Gaborone Main,LO006,Vehicle Loan,28,Private Sector,16772.0,207000.0,8.91,36,6574.0,15,113449.0,2024-04-05,0.392,805,0,12.7,1,0,0.0,Current,0,0,None,0.0,0
TCU-00118,Selebi-Phikwe,LO006,Business Loan,55,Private Sector,12454.0,43600.0,11.09,36,1429.0,3,35769.0,2025-03-07,0.1147,673,2,11.2,2,0,0.0,Current,0,0,None,0.0,0
TCU-00119,Gaborone Main,LO013,Home Loan,30,Self-Employed,34298.0,431800.0,15.32,48,12087.0,13,281815.0,2024-05-19,0.3524,850,1,5.7,0,1,884882.0,Current,0,0,None,0.0,0
TCU-00120,Maun,LO013,Home Loan,42,Farmer,4367.0,85600.0,16.96,72,1902.0,17,64928.0,2024-01-28,0.4355,627,1,21.4,0,1,169301.0,Current,0,0,None,0.0,0
TCU-00121,Maun,LO008,Home Loan,53,Private Sector,21808.0,395600.0,9.65,60,8337.0,1,364630.0,2025-05-05,0.3823,747,3,12.8,0,0,0.0,Current,0,0,None,0.0,0
TCU-00122,Francistown,LO012,Business Loan,27,Government Employee,18999.0,254100.0,19.0,48,7598.0,6,221194.0,2024-12-05,0.3999,770,1,0.8,0,1,427385.0,Current,0,0,None,0.0,0
TCU-00123,Lobatse,LO017,Business Loan,47,Farmer,7140.0,14100.0,14.95,12,1272.0,12,0.0,2024-04-28,0.1782,714,0,23.6,0,1,13620.0,Early (1–29 days),2,1,None,0.0,0
TCU-00124,Gaborone Main,LO011,Agriculture Loan,67,Government Employee,9859.0,374400.0,19.98,60,9915.0,12,279388.0,2024-06-27,1.0057,733,0,13.1,0,0,0.0,Late (30–89 days),72,2,None,55569.0,1
TCU-00125,Selebi-Phikwe,LO019,Vehicle Loan,61,Private Sector,15332.0,106900.0,20.16,84,2384.0,16,81052.0,2024-03-05,0.1555,850,0,6.3,0,0,0.0,Current,0,0,None,0.0,0
TCU-00126,Selebi-Phikwe,LO019,Personal Loan,46,Pensioner,6088.0,161400.0,21.11,72,3971.0,8,141717.0,2024-10-31,0.6523,638,1,20.3,0,1,161208.0,Current,0,0,None,0.0,0
TCU-00127,Lobatse,LO013,Vehicle Loan,60,Private Sector,10458.0,254500.0,18.5,24,12767.0,12,117509.0,2024-06-19,1.2208,813,1,2.1,0,1,262672.0,Current,0,0,None,0.0,0
