customer_id,branch,loan_officer,loan_type,age,occupation,monthly_income_bwp,loan_amount_bwp,interest_rate_pct,loan_term_months,monthly_payment_bwp,months_active,outstanding_balance,disburse_date,dti_ratio,credit_score,existing_loans,employment_tenure_yrs,prev_defaults,has_collateral,collateral_value_bwp,payment_status,days_late,missed_payments,collection_action,expected_loss_bwp,will_default,credit_risk_cat,dti_high,income_low,loan_large,tenure_short,collateral_ratio,payment_burden,loan_income_ratio,branch_enc,ltype_enc,occ_enc,default_probability,risk_level
TCU-00035,Maun,LO006,Home Loan,40,Private Sector,6340.0,57900.0,23.6,60,1652.0,8,47902.0,2024-10-26,0.2606,784,1,26.2,0,1,89675.0,Current,0,0,,0.0,0,1,0,0,0,0,1.548791018998273,0.2605678233438486,9.132492113564668,3,3,3,0.11318787050377113,Low Risk
TCU-00036,Gaborone Main,LO013,Vehicle Loan,52,Government Employee,9259.0,21900.0,10.81,60,474.0,7,16690.0,2024-11-07,0.0512,838,0,17.0,0,0,0.0,Current,0,0,,0.0,0,0,0,0,0,0,0.0,0.05119343341613565,2.3652662274543688,1,5,1,0.06726726167525122,Low Risk
TCU-00037,Lobatse,LO014,Home Loan,50,Self-Employed,24471.0,333100.0,10.04,84,5537.0,11,273219.0,2024-07-31,0.2263,850,0,16.8,0,1,656850.0,Current,0,0,,0.0,0,0,0,0,1,0,1.9719303512458721,0.22626782722406114,13.612030566793347,2,3,4,0.04150787264674477,Low Risk
TCU-00038,Selebi-Phikwe,LO003,Agriculture Loan,40,Student,2317.0,40500.0,17.64,84,843.0,11,32161.0,2024-07-21,0.3638,683,1,19.6,2,0,0.0,Defaulted,174,7,Legal Notice,21476.0,1,2,0,1,0,0,0.0,0.3638325420802762,17.479499352611136,4,0,5,0.6574998424124295,High Risk
TCU-00039,Gaborone Main,LO015,Agriculture Loan,40,Farmer,6649.0,51600.0,16.87,48,1485.0,15,33336.0,2024-03-23,0.2233,777,1,1.3,0,0,0.0,Early (1–29 days),25,1,,0.0,0,1,0,0,0,1,0.0,0.22334185591818317,7.760565498571213,1,0,0,0.10952591560167017,Low Risk
TCU-00040,Lobatse,LO002,Business Loan,65,Self-Employed,20938.0,458500.0,11.31,60,10040.0,3,411713.0,2025-03-22,0.4795,832,1,3.2,0,1,889136.0,Current,0,0,,0.0,0,0,1,0,1,0,1.939227917121047,0.4795109370522495,21.897984525742668,2,1,4,0.15127771251802655,Low Risk
TCU-00041,Selebi-Phikwe,LO018,Personal Loan,40,Student,3092.0,26700.0,23.54,48,864.0,18,15831.0,2024-01-02,0.2794,607,0,11.2,1,0,0.0,Current,0,0,,0.0,0,3,0,1,0,0,0.0,0.2794307891332471,8.635187580853817,4,4,5,0.1617567366567915,Low Risk
TCU-00042,Selebi-Phikwe,LO004,Personal Loan,40,Farmer,14678.0,122900.0,10.95,60,2669.0,17,82163.0,2024-01-15,0.1818,766,0,29.8,2,1,122862.0,Current,0,0,,0.0,0,1,0,0,0,0,0.9996908055329536,0.18183676250170322,8.373075350865241,4,4,0,0.2226813621141783,Medium Risk
TCU-00043,Maun,LO014,Vehicle Loan,54,Student,4931.0,58700.0,14.45,60,1380.0,13,45044.0,2024-05-19,0.2799,695,1,28.1,0,0,0.0,Current,0,0,,0.0,0,2,0,1,0,0,0.0,0.27986209693774083,11.904279050902455,3,5,5,0.09574881689355438,Low Risk
TCU-00044,Francistown,LO015,Education Loan,64,Farmer,8812.0,162300.0,14.35,36,5575.0,11,112383.0,2024-07-12,0.6327,850,0,11.8,1,1,217628.0,Current,0,0,,0.0,0,0,1,0,0,0,1.3408995686999383,0.6326600090785293,18.418066273263733,0,2,0,0.500992769066348,High Risk
TCU-00045,Francistown,LO016,Personal Loan,64,Student,1942.0,33500.0,10.06,84,557.0,3,27941.0,2025-03-26,0.2868,712,0,26.2,3,1,71308.0,Current,0,0,,0.0,0,2,0,1,0,0,2.128597014925373,0.28681771369721937,17.25025746652935,0,4,5,0.3924639720547897,Medium Risk
TCU-00046,Lobatse,LO013,Home Loan,27,Self-Employed,26565.0,246500.0,16.89,60,6112.0,15,163654.0,2024-03-11,0.2301,850,1,9.0,0,1,607172.0,Current,0,0,,0.0,0,0,0,0,1,0,2.4631724137931035,0.230077169207604,9.279126670431019,2,3,4,0.08315778549906992,Low Risk
TCU-00047,Maun,LO001,Personal Loan,32,Student,2635.0,16500.0,15.18,24,801.0,4,12855.0,2025-02-25,0.304,656,0,26.2,0,1,38805.0,Current,0,0,,0.0,0,3,0,1,0,0,2.351818181818182,0.3039848197343453,6.261859582542694,3,4,5,0.17115816050565005,Low Risk
TCU-00048,Gaborone Main,LO015,Home Loan,38,Student,3872.0,33000.0,13.86,60,765.0,8,27051.0,2024-11-02,0.1976,635,1,7.9,1,1,47981.0,Current,0,0,,0.0,0,3,0,1,0,0,1.453969696969697,0.19757231404958678,8.522727272727273,1,3,5,0.23244278683649952,Medium Risk
TCU-00049,Maun,LO001,Agriculture Loan,58,Self-Employed,18249.0,194700.0,20.56,12,18088.0,1,174000.0,2025-05-23,0.9912,850,0,24.2,0,1,238715.0,Current,0,0,,0.0,0,0,1,0,0,0,1.226065742167437,0.9911775987725355,10.669077757685352,3,0,4,0.31223141289303996,Medium Risk
TCU-00050,Gaborone Main,LO002,Home Loan,30,Student,4260.0,23700.0,10.54,36,771.0,7,18369.0,2024-11-30,0.181,599,0,4.4,0,0,0.0,Current,0,0,,0.0,0,3,0,1,0,0,0.0,0.18098591549295776,5.563380281690141,1,3,5,0.1939369475990561,Low Risk
TCU-00051,Maun,LO011,Personal Loan,38,Farmer,8620.0,96900.0,12.0,72,1894.0,4,91067.0,2025-02-10,0.2197,737,2,0.9,0,1,188355.0,Current,0,0,,0.0,0,2,0,0,0,1,1.9438080495356038,0.2197215777262181,11.241299303944315,3,4,0,0.1813995402593042,Low Risk
TCU-00052,Francistown,LO016,Personal Loan,45,Government Employee,18532.0,167400.0,17.96,72,3814.0,16,123079.0,2024-03-05,0.2058,777,1,21.2,0,1,146825.0,Current,0,0,,0.0,0,1,0,0,0,0,0.8770908004778972,0.20580617310597885,9.03302395855817,0,4,1,0.07814785435403747,Low Risk
TCU-00053,Francistown,LO013,Vehicle Loan,37,Pensioner,6226.0,201800.0,16.87,60,5001.0,12,158665.0,2024-06-07,0.8032,628,1,28.2,0,0,0.0,Current,0,0,,0.0,0,3,1,0,0,0,0.0,0.8032444587214905,32.41246386122711,0,5,2,0.2747547379779386,Medium Risk
TCU-00054,Maun,LO018,Agriculture Loan,45,Government Employee,14097.0,74500.0,10.39,84,1252.0,2,62817.0,2025-04-10,0.0888,693,0,19.4,3,1,101839.0,Current,0,0,,0.0,0,2,0,0,0,0,1.3669664429530202,0.08881322267149039,5.284812371426544,3,0,1,0.26490456930952666,Medium Risk
TCU-00055,Lobatse,LO007,Business Loan,57,Private Sector,13885.0,217000.0,8.54,84,3441.0,13,183074.0,2024-05-28,0.2478,704,0,26.1,0,1,464452.0,Late (30–89 days),46,1,Home Visit,24109.0,1,2,0,0,0,0,2.140331797235023,0.24782138998919698,15.628375945264674,2,1,3,0.13040480125839737,Low Risk
TCU-00056,Gaborone Main,LO016,Vehicle Loan,55,Government Employee,21226.0,59000.0,16.31,60,1445.0,16,41496.0,2024-02-14,0.0681,850,3,19.9,0,0,0.0,Current,0,0,,0.0,0,0,0,0,0,0,0.0,0.06807688683689814,2.77960991237162,1,5,1,0.11064582484926717,Low Risk
TCU-00057,Gaborone Main,LO016,Agriculture Loan,49,Student,4684.0,10100.0,17.93,12,926.0,12,0.0,2024-05-09,0.1977,650,0,29.8,0,1,18475.0,Current,0,0,,0.0,0,3,0,1,0,0,1.8292079207920793,0.19769427839453457,2.1562766865926557,1,0,5,0.23287492763686352,Medium Risk
TCU-00058,Francistown,LO014,Vehicle Loan,63,Pensioner,9329.0,208500.0,14.68,72,4373.0,14,150639.0,2024-04-07,0.4688,719,0,8.0,2,0,0.0,Late (30–89 days),35,1,,31328.0,1,2,1,0,0,0,0.0,0.46875334976953587,22.349662343230786,0,5,2,0.7228734934040546,Critical
TCU-00059,Lobatse,LO002,Education Loan,45,Private Sector,28959.0,336700.0,14.87,84,6473.0,3,318251.0,2025-03-09,0.2235,850,1,10.9,0,1,645269.0,Current,0,0,,0.0,0,0,0,0,1,0,1.9164508464508465,0.22352291170275218,11.62678269277254,2,2,3,0.07310077170833079,Low Risk
TCU-00060,Maun,LO019,Business Loan,45,Government Employee,21723.0,487400.0,21.19,60,13238.0,17,328816.0,2024-01-27,0.6094,708,1,21.0,0,1,1021637.0,Current,0,0,,0.0,0,2,1,0,1,0,2.0960956093557654,0.6094001749297979,22.437048289831054,3,1,1,0.10024437565496867,Low Risk
TCU-00061,Selebi-Phikwe,LO003,Business Loan,31,Pensioner,8446.0,41000.0,16.72,48,1177.0,3,35287.0,2025-03-05,0.1394,730,0,28.3,0,0,0.0,Early (1–29 days),3,1,,0.0,0,2,0,0,0,0,0.0,0.139355908122188,4.854368932038835,4,1,2,0.1133927926025032,Low Risk
TCU-00062,Selebi-Phikwe,LO016,Education Loan,39,Farmer,8305.0,138100.0,10.26,48,3520.0,14,87304.0,2024-04-23,0.4238,760,1,14.9,0,1,203276.0,Late (30–89 days),49,1,Letter Sent,25479.0,1,1,0,0,0,0,1.4719478638667631,0.423841059602649,16.62853702588802,4,2,0,0.10367561901126447,Low Risk
TCU-00063,Gaborone Main,LO001,Vehicle Loan,40,Self-Employed,30893.0,193200.0,19.41,60,5055.0,6,149678.0,2024-12-28,0.1636,850,0,27.7,1,0,0.0,Current,0,0,,0.0,0,0,0,0,0,0,0.0,0.1636293011361797,6.2538439128605186,1,5,4,0.13852437776281973,Low Risk
TCU-00064,Gaborone Main,LO011,Business Loan,29,Farmer,12616.0,360400.0,22.76,12,33863.0,3,263995.0,2025-03-23,2.6841,726,0,17.9,0,1,478419.0,Late (30–89 days),40,1,SMS Sent,60091.0,1,2,1,0,1,0,1.3274667036625971,2.0,28.56689917564997,1,1,0,0.9743325710361332,Critical
TCU-00065,Francistown,LO012,Home Loan,55,Pensioner,8364.0,283700.0,12.16,24,13376.0,9,155962.0,2024-09-19,1.5992,668,1,5.7,1,1,590822.0,Late (30–89 days),89,2,,49294.0,1,3,1,0,1,0,2.082559041240747,1.5992348158775704,33.91917742706839,0,3,2,0.9257136706291934,Critical
TCU-00066,Selebi-Phikwe,LO003,Vehicle Loan,42,Private Sector,16613.0,108100.0,9.37,60,2263.0,15,72689.0,2024-03-16,0.1362,745,1,2.2,1,1,245303.0,Current,0,0,,0.0,0,1,0,0,0,0,2.269222941720629,0.13621862396918077,6.506952386685126,4,5,3,0.13894705816144876,Low Risk
TCU-00067,Lobatse,LO002,Vehicle Loan,51,Pensioner,9454.0,62000.0,17.88,60,1570.0,13,48259.0,2024-06-03,0.1661,648,2,29.5,0,0,0.0,Current,0,0,,0.0,0,3,0,0,0,0,0.0,0.1660672731119103,6.558070657922572,2,5,2,0.13137520258091057,Low Risk
TCU-00068,Lobatse,LO006,Home Loan,55,Pensioner,6237.0,59500.0,13.74,60,1376.0,16,42254.0,2024-02-23,0.2206,761,1,2.4,0,0,0.0,Current,0,0,,0.0,0,1,0,0,0,0,0.0,0.22061888728555396,9.539842873176207,2,3,2,0.12407573939193921,Low Risk
TCU-00069,Maun,LO003,Education Loan,60,Private Sector,21927.0,158600.0,18.67,72,3678.0,4,130218.0,2025-02-05,0.1677,850,1,19.5,0,1,316377.0,Current,0,0,,0.0,0,0,0,0,0,0,1.9948108448928121,0.1677384047065262,7.23309162220094,3,2,3,0.09427225958241117,Low Risk
TCU-00070,Selebi-Phikwe,LO017,Home Loan,27,Student,1564.0,34600.0,13.8,84,645.0,1,30045.0,2025-05-12,0.4124,601,4,5.1,0,0,0.0,Current,0,0,,0.0,0,3,0,1,0,0,0.0,0.4124040920716113,22.122762148337596,4,3,5,0.18185080203385817,Low Risk
TCU-00071,Maun,LO020,Business Loan,55,Government Employee,18153.0,61700.0,19.24,60,1609.0,12,47296.0,2024-06-18,0.0886,850,2,29.1,0,0,0.0,Current,0,0,,0.0,0,0,0,0,0,0,0.0,0.08863548724728695,3.3988872362694873,3,1,1,0.10885085756494835,Low Risk
TCU-00072,Maun,LO019,Vehicle Loan,52,Private Sector,17080.0,147500.0,16.68,24,7270.0,11,77514.0,2024-07-23,0.4256,846,0,7.9,0,0,0.0,Current,0,0,,0.0,0,0,0,0,0,0,0.0,0.42564402810304447,8.635831381733022,3,5,3,0.08720897550480972,Low Risk
TCU-00073,Gaborone Main,LO006,Home Loan,29,Self-Employed,20175.0,416400.0,9.92,24,19199.0,2,375094.0,2025-04-06,0.9516,850,0,11.5,0,1,492066.0,Late (30–89 days),75,2,Called,111720.0,1,0,1,0,1,0,1.1817146974063402,0.9516232961586122,20.639405204460967,1,3,4,0.6828891671493629,High Risk
TCU-00074,Selebi-Phikwe,LO005,Agriculture Loan,24,Self-Employed,20888.0,453400.0,8.79,24,20670.0,13,193744.0,2024-06-02,0.9896,786,2,16.1,0,1,594841.0,Defaulted,304,12,SMS Sent,117351.0,1,1,1,0,1,0,1.3119563299514778,0.9895633856759862,21.706242818843354,4,0,4,0.7975276296322038,Critical
TCU-00075,Lobatse,LO001,Agriculture Loan,53,Pensioner,7092.0,25400.0,15.15,60,606.0,6,20256.0,2024-12-27,0.0854,656,0,29.3,0,1,42226.0,Current,0,0,,0.0,0,3,0,0,0,0,1.6624409448818898,0.08544839255499154,3.5815002820078963,2,0,2,0.0716134107708496,Low Risk
TCU-00076,Selebi-Phikwe,LO012,Home Loan,52,Government Employee,20704.0,38400.0,12.24,72,756.0,14,29873.0,2024-04-16,0.0365,850,2,10.3,0,1,83826.0,Current,0,0,,0.0,0,0,0,0,0,0,2.18296875,0.03651468315301391,1.8547140649149922,4,3,1,0.07948436036596233,Low Risk
TCU-00077,Francistown,LO005,Personal Loan,66,Farmer,11593.0,23300.0,11.62,84,407.0,11,19902.0,2024-07-23,0.0351,783,0,24.6,0,1,44264.0,Early (1–29 days),21,1,,0.0,0,1,0,0,0,0,1.8997424892703862,0.035107392391960666,2.0098335202277235,0,4,0,0.060422011113693254,Low Risk
TCU-00078,Gaborone Main,LO012,Vehicle Loan,43,Self-Employed,36022.0,447800.0,14.49,24,21604.0,1,409320.0,2025-05-23,0.5997,850,0,24.0,0,1,681395.0,Current,0,0,,0.0,0,0,1,0,1,0,1.5216502903081732,0.5997446005219033,12.431291988229415,1,5,4,0.0617536882710151,Low Risk
TCU-00079,Gaborone Main,LO003,Home Loan,40,Self-Employed,27793.0,303300.0,15.1,72,6430.0,3,262390.0,2025-03-30,0.2314,850,0,29.9,0,0,0.0,Current,0,0,,0.0,0,0,0,0,1,0,0.0,0.23135321843629691,10.91281977476343,1,3,4,0.05647284460050305,Low Risk
TCU-00080,Francistown,LO001,Business Loan,45,Pensioner,9092.0,147900.0,10.46,24,6856.0,5,105885.0,2025-01-10,0.7541,768,3,1.5,0,1,211592.0,Late (30–89 days),38,2,,21125.0,1,1,1,0,0,1,1.4306423258958756,0.7540695116586009,16.26704795424549,0,1,2,0.7006873879617244,Critical
TCU-00081,Gaborone Main,LO001,Agriculture Loan,39,Private Sector,10465.0,293300.0,10.33,84,4919.0,9,250249.0,2024-09-23,0.47,756,1,30.0,0,1,271563.0,Current,0,0,,0.0,0,1,1,0,1,0,0.9258881691101262,0.4700430004777831,28.02675585284281,1,0,3,0.05075274663822791,Low Risk
TCU-00082,Maun,LO003,Education Loan,65,Self-Employed,23518.0,426400.0,19.53,72,10098.0,12,344337.0,2024-06-27,0.4294,850,1,4.1,0,1,914046.0,Current,0,0,,0.0,0,0,0,0,1,0,2.143635084427767,0.4293732460243218,18.130793434815885,3,2,4,0.1745352269891962,Low Risk
TCU-00083,Lobatse,LO003,Personal Loan,57,Private Sector,13423.0,360800.0,16.65,84,7300.0,4,334513.0,2025-02-23,0.5438,850,1,13.8,0,1,827146.0,Current,0,0,,0.0,0,0,1,0,1,0,2.2925332594235033,0.5438426581241154,26.87923713029874,2,4,3,0.10183493160518176,Low Risk
TCU-00084,Lobatse,LO002,Personal Loan,30,Farmer,9217.0,38400.0,22.99,24,2011.0,6,28573.0,2024-12-20,0.2182,780,1,8.9,0,1,93151.0,Current,0,0,,0.0,0,1,0,0,0,0,2.4258072916666666,0.21818379082130845,4.166214603450147,2,4,0,0.11701075790104447,Low Risk
