matter_id,practice_area,partner,associate,client_id,client_type,office,open_date,close_date,status,duration_days,actual_hours,recorded_hours,recording_rate,hourly_rate,potential_fees_bwp,billed_fees_bwp,disbursements_bwp,outstanding_bwp,leakage_bwp,satisfaction,year
MLA-0033,Mining & Resources,Partner_Thapelo,Associate_12,CLT-006,Large Corporate,Gaborone,2018-02-27,2019-02-04,Completed,342,184.6,158.9,0.861,3800,701567.0,603730.0,33759.0,0.0,97837.0,4.8,2018
MLA-0034,Regulatory & Compliance,Partner_Mmolawa,Associate_04,CLT-100,High-Net-Worth Individual,Gaborone,2024-06-09,2024-08-29,Completed,81,53.2,36.7,0.691,2600,138344.0,95532.0,9008.0,95532.0,42813.0,3.1,2024
MLA-0035,Mining & Resources,Partner_Thapelo,Associate_03,CLT-025,Large Corporate,Francistown,2018-10-31,2019-10-05,Completed,339,264.1,218.4,0.827,3800,1003497.0,830033.0,57874.0,207508.0,173464.0,,2018
MLA-0036,Commercial Law,Partner_Molao,Associate_18,CLT-083,Large Corporate,Gaborone,2024-10-19,2025-02-04,Completed,108,69.2,59.6,0.861,3200,221567.0,190853.0,28788.0,0.0,30714.0,,2024
MLA-0037,Litigation,Partner_Setlhabi,Associate_14,CLT-010,Mining Company,Gaborone,2024-12-18,,Active,103,144.8,97.1,0.671,2800,405319.0,271895.0,47531.0,0.0,133424.0,,2024
MLA-0038,Mining & Resources,Partner_Thapelo,Associate_09,CLT-066,Mining Company,Gaborone,2019-10-06,2020-06-22,Completed,260,150.9,111.8,0.741,3800,573254.0,424876.0,29890.0,0.0,148378.0,,2019
MLA-0039,Property & Conveyancing,Partner_Gaobuse,Associate_10,CLT-074,SME,Gaborone,2023-02-03,2023-02-27,Completed,24,24.2,18.1,0.747,1800,43483.0,32501.0,2743.0,8125.0,10982.0,3.3,2023
MLA-0040,Mining & Resources,Partner_Thapelo,Associate_04,CLT-048,Large Corporate,Francistown,2019-09-03,2020-06-29,Active,300,218.3,199.0,0.912,3800,829441.0,756155.0,44827.0,0.0,73285.0,,2019
MLA-0041,Litigation,Partner_Setlhabi,Associate_19,CLT-108,SME,Gaborone,2022-12-04,2023-03-18,Completed,104,128.5,88.2,0.687,2800,359815.0,247045.0,34825.0,123523.0,112769.0,3.2,2022
MLA-0042,Property & Conveyancing,Partner_Gaobuse,Associate_02,CLT-103,Government / Parastatal,Gaborone,2021-08-13,2021-09-21,Completed,39,24.6,22.0,0.893,1800,44355.0,39600.0,3159.0,9900.0,4754.0,,2021
MLA-0043,Property & Conveyancing,Partner_Gaobuse,Associate_09,CLT-053,Mining Company,Francistown,2019-12-19,2020-02-24,Completed,67,26.4,22.6,0.856,1800,47555.0,40728.0,6887.0,0.0,6827.0,4.7,2019
MLA-0044,Employment Law,Partner_Mmolawa,Associate_03,CLT-036,Large Corporate,Francistown,2022-07-31,2022-10-27,Completed,88,58.4,41.0,0.702,2200,128393.0,90131.0,14557.0,0.0,38262.0,,2022
MLA-0045,Litigation,Partner_Thapelo,Associate_02,CLT-033,Large Corporate,Gaborone,2021-07-12,2021-09-05,Completed,55,136.4,101.5,0.744,2800,381786.0,284187.0,42751.0,142093.0,97599.0,,2021
MLA-0046,Commercial Law,Partner_Mmolawa,Associate_14,CLT-002,Large Corporate,Francistown,2023-10-25,2024-01-25,Completed,92,84.2,59.7,0.709,3200,269476.0,190966.0,25074.0,47741.0,78510.0,5.0,2023
MLA-0047,Property & Conveyancing,Partner_Mmolawa,Associate_16,CLT-004,Government / Parastatal,Gaborone,2025-01-24,2025-03-15,Completed,50,26.1,20.0,0.766,1800,47007.0,36030.0,2543.0,0.0,10977.0,3.8,2025
MLA-0048,Commercial Law,Partner_Molao,Associate_15,CLT-112,Large Corporate,Francistown,2019-09-23,2020-02-01,Completed,131,50.2,42.0,0.836,3200,160742.0,134311.0,15601.0,0.0,26431.0,,2019
MLA-0049,Regulatory & Compliance,Partner_Setlhabi,Associate_15,CLT-049,SME,Francistown,2022-04-21,2022-09-25,Completed,157,82.1,57.7,0.703,2600,213477.0,150051.0,22060.0,0.0,63426.0,2.9,2022
MLA-0050,Mining & Resources,Partner_Gaobuse,Associate_17,CLT-009,Government / Parastatal,Gaborone,2018-01-11,2018-07-01,Completed,171,298.2,240.1,0.805,3800,1133143.0,912424.0,115241.0,912424.0,220719.0,3.8,2018
MLA-0051,Commercial Law,Partner_Molao,Associate_12,CLT-014,Government / Parastatal,Francistown,2024-02-04,2024-03-29,Active,54,150.2,120.7,0.804,3200,480531.0,386147.0,62961.0,386147.0,94384.0,,2024
MLA-0052,Litigation,Partner_Setlhabi,Associate_14,CLT-002,Large Corporate,Francistown,2023-04-22,2023-12-27,Active,249,112.3,93.1,0.829,2800,314304.0,260711.0,26121.0,65178.0,53593.0,,2023
MLA-0053,Mining & Resources,Partner_Mmolawa,Associate_02,CLT-005,Large Corporate,Gaborone,2024-08-14,2024-12-05,Completed,113,164.8,115.6,0.702,3800,626075.0,439309.0,70226.0,0.0,186767.0,,2024
MLA-0054,Commercial Law,Partner_Molao,Associate_05,CLT-003,Mining Company,Gaborone,2020-12-21,2021-02-10,Completed,51,87.0,69.1,0.793,3200,278527.0,220978.0,29717.0,110489.0,57549.0,,2020
MLA-0055,Mining & Resources,Partner_Thapelo,Associate_11,CLT-061,Large Corporate,Gaborone,2023-06-22,2023-12-28,Completed,189,233.2,210.4,0.902,3800,885976.0,799555.0,47090.0,0.0,86420.0,,2023
MLA-0056,Regulatory & Compliance,Partner_Molao,Associate_14,CLT-117,Large Corporate,Francistown,2019-02-16,2019-05-09,Completed,82,100.3,82.3,0.821,2600,260679.0,214051.0,35842.0,0.0,46627.0,,2019
MLA-0057,Litigation,Partner_Setlhabi,Associate_05,CLT-008,Large Corporate,Francistown,2022-08-15,2023-06-29,Completed,318,124.2,98.8,0.795,2800,347813.0,276587.0,19941.0,0.0,71226.0,,2022
MLA-0058,Employment Law,Partner_Mmolawa,Associate_19,CLT-005,Large Corporate,Gaborone,2023-03-04,2023-05-30,Completed,87,31.3,24.2,0.773,2200,68873.0,53257.0,7280.0,26629.0,15616.0,4.7,2023
MLA-0059,Litigation,Partner_Setlhabi,Associate_03,CLT-031,Large Corporate,Gaborone,2021-11-16,2022-07-31,Completed,257,61.2,55.0,0.899,2800,171453.0,154130.0,26983.0,38533.0,17323.0,4.0,2021
MLA-0060,Litigation,Partner_Mmolawa,Associate_04,CLT-008,Large Corporate,Francistown,2024-05-31,2024-09-29,Completed,121,178.3,126.2,0.708,2800,499266.0,353479.0,49807.0,0.0,145787.0,,2024
MLA-0061,Litigation,Partner_Setlhabi,Associate_02,CLT-106,Government / Parastatal,Gaborone,2023-07-28,2024-05-13,Active,290,75.3,64.8,0.861,2800,210833.0,181502.0,27379.0,0.0,29331.0,,2023
MLA-0062,Mining & Resources,Partner_Thapelo,Associate_07,CLT-060,Large Corporate,Gaborone,2019-07-15,2020-06-09,Active,330,220.8,185.5,0.84,3800,838998.0,704929.0,94478.0,0.0,134069.0,,2019
MLA-0063,Property & Conveyancing,Partner_Gaobuse,Associate_05,CLT-003,Mining Company,Gaborone,2021-04-23,2021-06-04,Completed,42,31.4,25.7,0.817,1800,56511.0,46181.0,3515.0,11545.0,10331.0,,2021
MLA-0064,Litigation,Partner_Setlhabi,Associate_09,CLT-093,Large Corporate,Gaborone,2020-11-18,2021-08-13,Active,268,151.4,133.3,0.881,2800,423865.0,373364.0,65622.0,0.0,50501.0,,2020
MLA-0065,Regulatory & Compliance,Partner_Molao,Associate_15,CLT-115,SME,Francistown,2019-07-31,2020-02-25,Completed,209,48.7,44.0,0.903,2600,126746.0,114464.0,15787.0,28616.0,12282.0,4.1,2019
MLA-0066,Mining & Resources,Partner_Thapelo,Associate_03,CLT-087,Mining Company,Gaborone,2018-02-27,2019-03-12,Completed,378,116.6,87.2,0.747,3800,443113.0,331199.0,32430.0,82800.0,111914.0,2.8,2018
MLA-0067,Litigation,Partner_Setlhabi,Associate_12,CLT-004,Government / Parastatal,Gaborone,2020-08-15,2021-08-01,Completed,351,178.6,137.9,0.772,2800,499988.0,385982.0,66625.0,0.0,114006.0,,2020
MLA-0068,Employment Law,Partner_Mmolawa,Associate_15,CLT-106,Government / Parastatal,Gaborone,2021-05-22,2021-09-09,Completed,110,39.2,30.4,0.776,2200,86244.0,66919.0,3740.0,0.0,19325.0,,2021
MLA-0069,Commercial Law,Partner_Molao,Associate_18,CLT-005,Large Corporate,Gaborone,2023-02-02,2023-06-01,Active,119,97.3,78.0,0.802,3200,311297.0,249644.0,35086.0,0.0,61653.0,,2023
MLA-0070,Property & Conveyancing,Partner_Gaobuse,Associate_14,CLT-065,Mining Company,Gaborone,2023-06-28,2023-08-19,Active,52,46.6,41.7,0.896,1800,83859.0,75144.0,6490.0,18786.0,8715.0,,2023
MLA-0071,Commercial Law,Partner_Molao,Associate_08,CLT-097,Financial Institution,Gaborone,2019-02-11,2019-04-09,Completed,57,62.6,60.3,0.963,3200,200244.0,192828.0,32245.0,0.0,7416.0,3.2,2019
MLA-0072,Litigation,Partner_Mmolawa,Associate_03,CLT-067,Large Corporate,Gaborone,2024-09-11,,Active,201,136.2,116.0,0.851,2800,381422.0,324680.0,18369.0,0.0,56742.0,,2024
MLA-0073,Regulatory & Compliance,Partner_Thapelo,Associate_07,CLT-003,Mining Company,Gaborone,2024-03-20,2024-08-26,Completed,159,71.3,52.2,0.733,2600,185366.0,135841.0,22150.0,0.0,49525.0,3.5,2024
MLA-0074,Regulatory & Compliance,Partner_Molao,Associate_09,CLT-098,High-Net-Worth Individual,Maun,2019-08-16,2019-12-01,Completed,107,98.1,94.6,0.965,2600,254977.0,245978.0,37833.0,0.0,8999.0,,2019
MLA-0075,Commercial Law,Partner_Molao,Associate_08,CLT-055,Financial Institution,Gaborone,2018-03-06,2018-06-26,Completed,112,165.9,124.4,0.75,3200,530960.0,398221.0,58309.0,0.0,132739.0,,2018
MLA-0076,Property & Conveyancing,Partner_Thapelo,Associate_19,CLT-004,Government / Parastatal,Gaborone,2023-08-26,2023-09-20,Completed,25,19.6,14.4,0.736,1800,35280.0,25983.0,3756.0,12992.0,9296.0,,2023
MLA-0077,Litigation,Partner_Setlhabi,Associate_01,CLT-002,Large Corporate,Francistown,2023-05-16,2023-12-20,Completed,218,163.6,141.5,0.864,2800,458195.0,396080.0,25363.0,99020.0,62115.0,4.3,2023
MLA-0078,Regulatory & Compliance,Partner_Gaobuse,Associate_20,CLT-005,Large Corporate,Gaborone,2019-06-01,2019-10-30,Completed,151,75.8,60.8,0.803,2600,196992.0,158200.0,19188.0,0.0,38792.0,,2019
MLA-0079,Property & Conveyancing,Partner_Gaobuse,Associate_20,CLT-029,Mining Company,Francistown,2019-04-14,2019-05-07,Completed,23,19.7,18.9,0.961,1800,35463.0,34073.0,5110.0,8518.0,1390.0,3.1,2019
MLA-0080,Property & Conveyancing,Partner_Gaobuse,Associate_11,CLT-093,Large Corporate,Gaborone,2022-06-22,2022-08-24,Completed,63,36.4,30.6,0.842,1800,65507.0,55128.0,5815.0,13782.0,10379.0,2.5,2022
MLA-0081,Commercial Law,Partner_Molao,Associate_03,CLT-094,Large Corporate,Francistown,2019-01-17,2019-04-30,Completed,103,90.2,73.7,0.818,3200,288487.0,235987.0,23231.0,0.0,52500.0,3.2,2019
MLA-0082,Regulatory & Compliance,Partner_Thapelo,Associate_11,CLT-068,Large Corporate,Gaborone,2022-08-10,2022-12-10,Completed,122,68.5,52.8,0.77,2600,178093.0,137161.0,20236.0,68581.0,40932.0,,2022
MLA-0083,Regulatory & Compliance,Partner_Thapelo,Associate_10,CLT-017,SME,Francistown,2024-06-25,2024-11-09,Completed,137,39.0,31.6,0.809,2600,101393.0,82067.0,9248.0,20517.0,19327.0,4.2,2024
MLA-0084,Property & Conveyancing,Partner_Gaobuse,Associate_09,CLT-052,Government / Parastatal,Maun,2022-10-24,2023-01-15,On Hold,83,38.6,37.0,0.959,1800,69505.0,66636.0,10422.0,0.0,2869.0,,2022
MLA-0085,Employment Law,Partner_Mmolawa,Associate_09,CLT-001,Financial Institution,Francistown,2021-01-24,2021-03-14,Completed,49,28.5,22.5,0.788,2200,62656.0,49400.0,4652.0,0.0,13256.0,,2021
MLA-0086,Property & Conveyancing,Partner_Gaobuse,Associate_05,CLT-079,SME,Francistown,2018-05-06,2018-07-15,Completed,70,33.0,24.9,0.753,1800,59485.0,44795.0,4430.0,0.0,14690.0,3.8,2018
MLA-0087,Litigation,Partner_Setlhabi,Associate_19,CLT-056,Large Corporate,Gaborone,2018-08-04,2019-05-25,Completed,294,328.8,228.3,0.694,2800,920595.0,639144.0,36092.0,0.0,281451.0,4.3,2018
MLA-0088,Property & Conveyancing,Partner_Gaobuse,Associate_14,CLT-009,Government / Parastatal,Gaborone,2023-09-30,2023-12-12,Completed,73,37.3,28.4,0.759,1800,67229.0,51031.0,4431.0,12758.0,16197.0,3.2,2023
MLA-0089,Employment Law,Partner_Mmolawa,Associate_13,CLT-118,Government / Parastatal,Gaborone,2018-08-13,2018-10-07,Completed,55,69.6,43.6,0.626,2200,153142.0,95836.0,7424.0,0.0,57306.0,3.3,2018
MLA-0090,Litigation,Partner_Setlhabi,Associate_14,CLT-006,Large Corporate,Gaborone,2022-04-07,2022-12-10,Completed,247,116.2,91.5,0.787,2800,325408.0,256101.0,31407.0,64025.0,69307.0,5.0,2022
MLA-0091,Litigation,Partner_Setlhabi,Associate_14,CLT-001,Financial Institution,Francistown,2018-11-15,2019-09-16,Completed,305,48.5,42.1,0.868,2800,135811.0,117895.0,14683.0,29474.0,17916.0,2.7,2018
MLA-0092,Commercial Law,Partner_Molao,Associate_11,CLT-006,Large Corporate,Gaborone,2024-12-06,,Active,115,71.0,58.6,0.825,3200,227072.0,187440.0,26176.0,0.0,39632.0,,2024
MLA-0093,Property & Conveyancing,Partner_Gaobuse,Associate_14,CLT-055,Financial Institution,Gaborone,2023-11-17,2023-12-20,Active,33,28.6,21.5,0.749,1800,51534.0,38623.0,5676.0,0.0,12911.0,,2023
MLA-0094,Mining & Resources,Partner_Thapelo,Associate_04,CLT-045,Financial Institution,Maun,2020-03-05,2021-03-21,Completed,381,149.9,136.6,0.911,3800,569729.0,519029.0,75030.0,129757.0,50700.0,,2020
MLA-0095,Litigation,Partner_Setlhabi,Associate_07,CLT-006,Large Corporate,Gaborone,2019-09-19,2020-06-05,Completed,260,104.2,87.9,0.843,2800,291794.0,245986.0,17964.0,61496.0,45808.0,3.8,2019
MLA-0096,Mining & Resources,Partner_Mmolawa,Associate_19,CLT-063,Large Corporate,Francistown,2025-01-02,,Active,88,154.4,108.0,0.7,3800,586674.0,410455.0,72333.0,0.0,176219.0,,2025
MLA-0097,Property & Conveyancing,Partner_Gaobuse,Associate_10,CLT-088,SME,Francistown,2024-08-19,2024-09-02,Completed,14,34.2,25.4,0.743,1800,61582.0,45776.0,4136.0,0.0,15806.0,3.2,2024
MLA-0098,Mining & Resources,Partner_Thapelo,Associate_03,CLT-059,SME,Gaborone,2023-09-08,2024-10-14,Completed,402,153.7,119.6,0.778,3800,583965.0,454350.0,79080.0,113587.0,129615.0,3.2,2023
MLA-0099,Regulatory & Compliance,Partner_Thapelo,Associate_07,CLT-012,High-Net-Worth Individual,Gaborone,2023-05-03,2023-09-24,On Hold,144,62.4,50.4,0.808,2600,162213.0,131044.0,14227.0,32761.0,31170.0,,2023
MLA-0100,Mining & Resources,Partner_Molao,Associate_17,CLT-064,Government / Parastatal,Gaborone,2018-06-10,2018-11-12,Completed,155,260.6,200.5,0.769,3800,990291.0,761934.0,81622.0,0.0,228357.0,3.6,2018
MLA-0101,Litigation,Partner_Setlhabi,Associate_14,CLT-084,Large Corporate,Gaborone,2024-09-14,2025-03-10,Completed,177,116.7,78.1,0.669,2800,326838.0,218616.0,20442.0,0.0,108222.0,4.7,2024
MLA-0102,Litigation,Partner_Setlhabi,Associate_20,CLT-100,High-Net-Worth Individual,Gaborone,2021-09-27,2022-01-23,Completed,118,159.8,108.1,0.676,2800,447563.0,302575.0,51189.0,0.0,144988.0,,2021
MLA-0103,Employment Law,Partner_Mmolawa,Associate_03,CLT-010,Mining Company,Gaborone,2022-03-23,2022-08-17,Completed,147,72.7,56.3,0.775,2200,159871.0,123833.0,8249.0,30958.0,36039.0,,2022
MLA-0104,Regulatory & Compliance,Partner_Thapelo,Associate_03,CLT-064,Government / Parastatal,Gaborone,2022-10-01,2022-11-17,Completed,47,88.5,71.6,0.81,2600,230070.0,186280.0,16794.0,186280.0,43791.0,3.5,2022
MLA-0105,Mining & Resources,Partner_Thapelo,Associate_05,CLT-005,Large Corporate,Gaborone,2021-04-26,2021-11-27,Completed,215,288.7,258.5,0.895,3800,1096998.0,982175.0,147536.0,245544.0,114824.0,,2021
MLA-0106,Commercial Law,Partner_Molao,Associate_20,CLT-005,Large Corporate,Gaborone,2022-03-24,2022-07-19,Completed,117,98.2,73.1,0.745,3200,314252.0,234030.0,32781.0,0.0,80221.0,,2022
MLA-0107,Employment Law,Partner_Mmolawa,Associate_12,CLT-069,SME,Francistown,2020-08-30,2020-11-16,Completed,78,37.2,31.6,0.851,2200,81744.0,69555.0,10281.0,17389.0,12189.0,1.5,2020
MLA-0108,Litigation,Partner_Mmolawa,Associate_07,CLT-019,Government / Parastatal,Gaborone,2024-05-25,2024-12-26,Completed,215,89.8,76.7,0.854,2800,251454.0,214832.0,18611.0,0.0,36622.0,2.9,2024
MLA-0109,Regulatory & Compliance,Partner_Setlhabi,Associate_20,CLT-005,Large Corporate,Gaborone,2020-10-21,2020-12-11,Completed,51,102.1,68.3,0.669,2600,265557.0,177614.0,17452.0,88807.0,87943.0,,2020
MLA-0110,Property & Conveyancing,Partner_Gaobuse,Associate_03,CLT-083,Large Corporate,Gaborone,2021-01-22,2021-03-24,Completed,61,23.7,20.2,0.851,1800,42638.0,36270.0,5732.0,0.0,6367.0,,2021
MLA-0111,Mining & Resources,Partner_Molao,Associate_14,CLT-002,Large Corporate,Francistown,2023-08-19,2023-12-24,Completed,127,300.9,241.5,0.803,3800,1143379.0,917820.0,55628.0,0.0,225559.0,4.6,2023
MLA-0112,Commercial Law,Partner_Molao,Associate_11,CLT-087,Mining Company,Gaborone,2019-07-18,2019-09-10,Active,54,85.3,60.9,0.714,3200,272974.0,194934.0,21719.0,48734.0,78040.0,,2019
MLA-0113,Mining & Resources,Partner_Thapelo,Associate_20,CLT-001,Financial Institution,Francistown,2018-11-21,2019-10-10,Completed,323,232.3,159.1,0.685,3800,882920.0,604664.0,41986.0,302332.0,278256.0,,2018
MLA-0114,Property & Conveyancing,Partner_Setlhabi,Associate_10,CLT-004,Government / Parastatal,Gaborone,2020-09-03,2020-10-19,Completed,46,22.1,16.8,0.759,1800,39812.0,30228.0,3308.0,0.0,9584.0,,2020
MLA-0115,Property & Conveyancing,Partner_Gaobuse,Associate_17,CLT-053,Mining Company,Francistown,2019-08-12,2019-10-12,Completed,61,24.2,19.6,0.808,1800,43603.0,35210.0,3375.0,0.0,8393.0,3.9,2019
MLA-0116,Employment Law,Partner_Mmolawa,Associate_12,CLT-003,Mining Company,Gaborone,2023-11-25,2024-01-04,Completed,40,85.5,64.3,0.751,2200,188168.0,141373.0,16398.0,0.0,46794.0,,2023
MLA-0117,Commercial Law,Partner_Molao,Associate_12,CLT-009,Government / Parastatal,Gaborone,2018-03-08,2018-03-27,Completed,19,148.5,118.5,0.798,3200,475065.0,379231.0,30849.0,94808.0,95833.0,3.7,2018
MLA-0118,Property & Conveyancing,Partner_Setlhabi,Associate_02,CLT-017,SME,Francistown,2021-10-18,2021-12-07,Completed,50,33.8,28.9,0.856,1800,60778.0,52033.0,7872.0,0.0,8745.0,,2021
MLA-0119,Employment Law,Partner_Molao,Associate_15,CLT-002,Large Corporate,Francistown,2020-04-05,2020-06-17,Completed,73,43.0,30.8,0.716,2200,94629.0,67713.0,3755.0,33856.0,26916.0,3.2,2020
MLA-0120,Regulatory & Compliance,Partner_Thapelo,Associate_16,CLT-009,Government / Parastatal,Gaborone,2020-02-22,2020-07-31,Active,160,51.6,38.8,0.753,2600,134139.0,101001.0,5678.0,25250.0,33138.0,,2020
