date,day_of_week,rooms_occupied,role,optimal_staff,actual_staff,daily_cost_bwp,overstaffed
2025-01-14,Tuesday,53,Housekeeping,5,5,900,0
2025-01-14,Tuesday,53,Restaurant,4,4,880,0
2025-01-14,Tuesday,53,Maintenance,2,3,600,0
2025-01-14,Tuesday,53,Security,2,2,300,0
2025-01-15,Wednesday,53,Front Desk,3,4,1000,0
2025-01-15,Wednesday,53,Housekeeping,5,7,1260,1
2025-01-15,Wednesday,53,Restaurant,4,4,880,0
2025-01-15,Wednesday,53,Maintenance,2,2,400,0
2025-01-15,Wednesday,53,Security,2,2,300,0
2025-01-16,Thursday,57,Front Desk,3,4,1000,0
2025-01-16,Thursday,57,Housekeeping,5,6,1080,0
2025-01-16,Thursday,57,Restaurant,4,4,880,0
2025-01-16,Thursday,57,Maintenance,2,3,600,0
2025-01-16,Thursday,57,Security,2,3,450,0
2025-01-17,Friday,58,Front Desk,3,4,1000,0
2025-01-17,Friday,58,Housekeeping,5,5,900,0
2025-01-17,Friday,58,Restaurant,4,4,880,0
2025-01-17,Friday,58,Maintenance,2,2,400,0
2025-01-17,Friday,58,Security,2,2,300,0
2025-01-18,Saturday,65,Front Desk,3,5,1250,1
2025-01-18,Saturday,65,Housekeeping,5,6,1080,0
2025-01-18,Saturday,65,Restaurant,4,4,880,0
2025-01-18,Saturday,65,Maintenance,2,3,600,0
2025-01-18,Saturday,65,Security,2,2,300,0
2025-01-19,Sunday,71,Front Desk,3,5,1250,1
2025-01-19,Sunday,71,Housekeeping,5,5,900,0
2025-01-19,Sunday,71,Restaurant,4,4,880,0
2025-01-19,Sunday,71,Maintenance,2,3,600,0
2025-01-19,Sunday,71,Security,2,2,300,0
2025-01-20,Monday,59,Front Desk,3,3,750,0
2025-01-20,Monday,59,Housekeeping,5,5,900,0
2025-01-20,Monday,59,Restaurant,4,6,1320,1
2025-01-20,Monday,59,Maintenance,2,4,800,1
2025-01-20,Monday,59,Security,2,4,600,1
2025-01-21,Tuesday,59,Front Desk,3,3,750,0
2025-01-21,Tuesday,59,Housekeeping,5,7,1260,1
2025-01-21,Tuesday,59,Restaurant,4,4,880,0
2025-01-21,Tuesday,59,Maintenance,2,2,400,0
2025-01-21,Tuesday,59,Security,2,3,450,0
2025-01-22,Wednesday,53,Front Desk,3,3,750,0
2025-01-22,Wednesday,53,Housekeeping,5,6,1080,0
2025-01-22,Wednesday,53,Restaurant,4,4,880,0
2025-01-22,Wednesday,53,Maintenance,2,2,400,0
2025-01-22,Wednesday,53,Security,2,2,300,0
2025-01-23,Thursday,56,Front Desk,3,5,1250,1
2025-01-23,Thursday,56,Housekeeping,5,7,1260,1
2025-01-23,Thursday,56,Restaurant,4,6,1320,1
2025-01-23,Thursday,56,Maintenance,2,3,600,0
2025-01-23,Thursday,56,Security,2,4,600,1
2025-01-24,Friday,59,Front Desk,3,3,750,0
2025-01-24,Friday,59,Housekeeping,5,7,1260,1
2025-01-24,Friday,59,Restaurant,4,6,1320,1
2025-01-24,Friday,59,Maintenance,2,4,800,1
2025-01-24,Friday,59,Security,2,3,450,0
2025-01-25,Saturday,66,Front Desk,3,3,750,0
2025-01-25,Saturday,66,Housekeeping,5,7,1260,1
2025-01-25,Saturday,66,Restaurant,4,4,880,0
2025-01-25,Saturday,66,Maintenance,2,3,600,0
2025-01-25,Saturday,66,Security,2,4,600,1
2025-01-26,Sunday,72,Front Desk,3,5,1250,1
2025-01-26,Sunday,72,Housekeeping,5,6,1080,0
2025-01-26,Sunday,72,Restaurant,4,4,880,0
2025-01-26,Sunday,72,Maintenance,2,2,400,0
2025-01-26,Sunday,72,Security,2,3,450,0
2025-01-27,Monday,62,Front Desk,3,5,1250,1
2025-01-27,Monday,62,Housekeeping,5,6,1080,0
2025-01-27,Monday,62,Restaurant,4,5,1100,0
2025-01-27,Monday,62,Maintenance,2,3,600,0
2025-01-27,Monday,62,Security,2,3,450,0
2025-01-28,Tuesday,64,Front Desk,3,3,750,0
2025-01-28,Tuesday,64,Housekeeping,5,6,1080,0
2025-01-28,Tuesday,64,Restaurant,4,6,1320,1
2025-01-28,Tuesday,64,Maintenance,2,4,800,1
2025-01-28,Tuesday,64,Security,2,2,300,0
2025-01-29,Wednesday,58,Front Desk,3,3,750,0
2025-01-29,Wednesday,58,Housekeeping,5,6,1080,0
2025-01-29,Wednesday,58,Restaurant,4,4,880,0
2025-01-29,Wednesday,58,Maintenance,2,3,600,0
2025-01-29,Wednesday,58,Security,2,2,300,0
2025-01-30,Thursday,61,Front Desk,3,3,750,0
2025-01-30,Thursday,61,Housekeeping,5,5,900,0
2025-01-30,Thursday,61,Restaurant,4,4,880,0
2025-01-30,Thursday,61,Maintenance,2,4,800,1
2025-01-30,Thursday,61,Security,2,2,300,0
2025-01-31,Friday,57,Front Desk,3,3,750,0
2025-01-31,Friday,57,Housekeeping,5,7,1260,1
2025-01-31,Friday,57,Restaurant,4,5,1100,0
2025-01-31,Friday,57,Maintenance,2,2,400,0
2025-01-31,Friday,57,Security,2,3,450,0
2025-02-01,Saturday,63,Front Desk,3,4,1000,0
2025-02-01,Saturday,63,Housekeeping,5,5,900,0
2025-02-01,Saturday,63,Restaurant,4,4,880,0
2025-02-01,Saturday,63,Maintenance,2,2,400,0
2025-02-01,Saturday,63,Security,2,2,300,0
2025-02-02,Sunday,72,Front Desk,3,3,750,0
2025-02-02,Sunday,72,Housekeeping,5,5,900,0
2025-02-02,Sunday,72,Restaurant,4,4,880,0
2025-02-02,Sunday,72,Maintenance,2,2,400,0
2025-02-02,Sunday,72,Security,2,2,300,0
2025-02-03,Monday,55,Front Desk,3,3,750,0
2025-02-03,Monday,55,Housekeeping,5,7,1260,1
2025-02-03,Monday,55,Restaurant,4,4,880,0
2025-02-03,Monday,55,Maintenance,2,2,400,0
2025-02-03,Monday,55,Security,2,2,300,0
2025-02-04,Tuesday,57,Front Desk,3,4,1000,0
2025-02-04,Tuesday,57,Housekeeping,5,6,1080,0
2025-02-04,Tuesday,57,Restaurant,4,6,1320,1
2025-02-04,Tuesday,57,Maintenance,2,2,400,0
2025-02-04,Tuesday,57,Security,2,4,600,1
2025-02-05,Wednesday,57,Front Desk,3,4,1000,0
2025-02-05,Wednesday,57,Housekeeping,5,7,1260,1
2025-02-05,Wednesday,57,Restaurant,4,5,1100,0
2025-02-05,Wednesday,57,Maintenance,2,3,600,0
2025-02-05,Wednesday,57,Security,2,2,300,0
2025-02-06,Thursday,58,Front Desk,3,3,750,0
2025-02-06,Thursday,58,Housekeeping,5,6,1080,0
2025-02-06,Thursday,58,Restaurant,4,4,880,0
2025-02-06,Thursday,58,Maintenance,2,4,800,1
2025-02-06,Thursday,58,Security,2,4,600,1
2025-02-07,Friday,58,Front Desk,3,4,1000,0
2025-02-07,Friday,58,Housekeeping,5,5,900,0
2025-02-07,Friday,58,Restaurant,4,5,1100,0
2025-02-07,Friday,58,Maintenance,2,3,600,0
2025-02-07,Friday,58,Security,2,2,300,0
2025-02-08,Saturday,72,Front Desk,3,5,1250,1
2025-02-08,Saturday,72,Housekeeping,5,5,900,0
2025-02-08,Saturday,72,Restaurant,4,6,1320,1
2025-02-08,Saturday,72,Maintenance,2,2,400,0
2025-02-08,Saturday,72,Security,2,4,600,1
2025-02-09,Sunday,61,Front Desk,3,3,750,0
2025-02-09,Sunday,61,Housekeeping,5,7,1260,1
2025-02-09,Sunday,61,Restaurant,4,4,880,0
2025-02-09,Sunday,61,Maintenance,2,2,400,0
2025-02-09,Sunday,61,Security,2,4,600,1
2025-02-10,Monday,63,Front Desk,3,3,750,0
2025-02-10,Monday,63,Housekeeping,5,5,900,0
2025-02-10,Monday,63,Restaurant,4,6,1320,1
2025-02-10,Monday,63,Maintenance,2,3,600,0
2025-02-10,Monday,63,Security,2,2,300,0
2025-02-11,Tuesday,62,Front Desk,3,3,750,0
2025-02-11,Tuesday,62,Housekeeping,5,5,900,0
2025-02-11,Tuesday,62,Restaurant,4,4,880,0
2025-02-11,Tuesday,62,Maintenance,2,3,600,0
2025-02-11,Tuesday,62,Security,2,4,600,1
2025-02-12,Wednesday,56,Front Desk,3,3,750,0
2025-02-12,Wednesday,56,Housekeeping,5,7,1260,1
2025-02-12,Wednesday,56,Restaurant,4,4,880,0
2025-02-12,Wednesday,56,Maintenance,2,2,400,0
2025-02-12,Wednesday,56,Security,2,2,300,0
2025-02-13,Thursday,57,Front Desk,3,5,1250,1
2025-02-13,Thursday,57,Housekeeping,5,6,1080,0
2025-02-13,Thursday,57,Restaurant,4,4,880,0
2025-02-13,Thursday,57,Maintenance,2,3,600,0
2025-02-13,Thursday,57,Security,2,4,600,1
2025-02-14,Friday,57,Front Desk,3,3,750,0
2025-02-14,Friday,57,Housekeeping,5,7,1260,1
2025-02-14,Friday,57,Restaurant,4,6,1320,1
2025-02-14,Friday,57,Maintenance,2,4,800,1
2025-02-14,Friday,57,Security,2,4,600,1
2025-02-15,Saturday,65,Front Desk,3,3,750,0
2025-02-15,Saturday,65,Housekeeping,5,5,900,0
2025-02-15,Saturday,65,Restaurant,4,4,880,0
2025-02-15,Saturday,65,Maintenance,2,4,800,1
2025-02-15,Saturday,65,Security,2,4,600,1
2025-02-16,Sunday,70,Front Desk,3,3,750,0
2025-02-16,Sunday,70,Housekeeping,5,6,1080,0
2025-02-16,Sunday,70,Restaurant,4,5,1100,0
2025-02-16,Sunday,70,Maintenance,2,3,600,0
2025-02-16,Sunday,70,Security,2,4,600,1
2025-02-17,Monday,62,Front Desk,3,3,750,0
2025-02-17,Monday,62,Housekeeping,5,5,900,0
2025-02-17,Monday,62,Restaurant,4,5,1100,0
2025-02-17,Monday,62,Maintenance,2,3,600,0
2025-02-17,Monday,62,Security,2,2,300,0
2025-02-18,Tuesday,52,Front Desk,3,5,1250,1
2025-02-18,Tuesday,52,Housekeeping,5,6,1080,0
2025-02-18,Tuesday,52,Restaurant,4,4,880,0
2025-02-18,Tuesday,52,Maintenance,2,2,400,0
2025-02-18,Tuesday,52,Security,2,2,300,0
2025-02-19,Wednesday,61,Front Desk,3,5,1250,1
2025-02-19,Wednesday,61,Housekeeping,5,5,900,0
2025-02-19,Wednesday,61,Restaurant,4,5,1100,0
2025-02-19,Wednesday,61,Maintenance,2,4,800,1
2025-02-19,Wednesday,61,Security,2,2,300,0
2025-02-20,Thursday,60,Front Desk,3,4,1000,0
2025-02-20,Thursday,60,Housekeeping,5,7,1260,1
2025-02-20,Thursday,60,Restaurant,4,4,880,0
2025-02-20,Thursday,60,Maintenance,2,4,800,1
2025-02-20,Thursday,60,Security,2,2,300,0
2025-02-21,Friday,59,Front Desk,3,3,750,0
2025-02-21,Friday,59,Housekeeping,5,5,900,0
2025-02-21,Friday,59,Restaurant,4,4,880,0
2025-02-21,Friday,59,Maintenance,2,2,400,0
2025-02-21,Friday,59,Security,2,2,300,0
2025-02-22,Saturday,69,Front Desk,3,5,1250,1
2025-02-22,Saturday,69,Housekeeping,5,7,1260,1
2025-02-22,Saturday,69,Restaurant,4,4,880,0
2025-02-22,Saturday,69,Maintenance,2,3,600,0
2025-02-22,Saturday,69,Security,2,4,600,1
2025-02-23,Sunday,66,Front Desk,3,5,1250,1
2025-02-23,Sunday,66,Housekeeping,5,5,900,0
2025-02-23,Sunday,66,Restaurant,4,4,880,0
2025-02-23,Sunday,66,Maintenance,2,3,600,0
2025-02-23,Sunday,66,Security,2,2,300,0
2025-02-24,Monday,52,Front Desk,3,4,1000,0
2025-02-24,Monday,52,Housekeeping,5,5,900,0
2025-02-24,Monday,52,Restaurant,4,6,1320,1
2025-02-24,Monday,52,Maintenance,2,2,400,0
2025-02-24,Monday,52,Security,2,2,300,0
2025-02-25,Tuesday,57,Front Desk,3,5,1250,1
2025-02-25,Tuesday,57,Housekeeping,5,5,900,0
2025-02-25,Tuesday,57,Restaurant,4,4,880,0
2025-02-25,Tuesday,57,Maintenance,2,2,400,0
2025-02-25,Tuesday,57,Security,2,2,300,0
2025-02-26,Wednesday,53,Front Desk,3,3,750,0
2025-02-26,Wednesday,53,Housekeeping,5,7,1260,1
2025-02-26,Wednesday,53,Restaurant,4,4,880,0
2025-02-26,Wednesday,53,Maintenance,2,4,800,1
2025-02-26,Wednesday,53,Security,2,2,300,0
2025-02-27,Thursday,59,Front Desk,3,3,750,0
2025-02-27,Thursday,59,Housekeeping,5,5,900,0
2025-02-27,Thursday,59,Restaurant,4,4,880,0
2025-02-27,Thursday,59,Maintenance,2,2,400,0
2025-02-27,Thursday,59,Security,2,2,300,0
2025-02-28,Friday,56,Front Desk,3,4,1000,0
2025-02-28,Friday,56,Housekeeping,5,5,900,0
2025-02-28,Friday,56,Restaurant,4,6,1320,1
2025-02-28,Friday,56,Maintenance,2,2,400,0
2025-02-28,Friday,56,Security,2,2,300,0
2025-03-01,Saturday,67,Front Desk,3,3,750,0
2025-03-01,Saturday,67,Housekeeping,5,5,900,0
2025-03-01,Saturday,67,Restaurant,4,6,1320,1
2025-03-01,Saturday,67,Maintenance,2,2,400,0
2025-03-01,Saturday,67,Security,2,2,300,0
2025-03-02,Sunday,71,Front Desk,3,3,750,0
2025-03-02,Sunday,71,Housekeeping,5,7,1260,1
2025-03-02,Sunday,71,Restaurant,4,5,1100,0
2025-03-02,Sunday,71,Maintenance,2,4,800,1
2025-03-02,Sunday,71,Security,2,3,450,0
2025-03-03,Monday,61,Front Desk,3,3,750,0
2025-03-03,Monday,61,Housekeeping,5,5,900,0
2025-03-03,Monday,61,Restaurant,4,5,1100,0
2025-03-03,Monday,61,Maintenance,2,2,400,0
2025-03-03,Monday,61,Security,2,2,300,0
2025-03-04,Tuesday,60,Front Desk,3,3,750,0
2025-03-04,Tuesday,60,Housekeeping,5,6,1080,0
2025-03-04,Tuesday,60,Restaurant,4,4,880,0
2025-03-04,Tuesday,60,Maintenance,2,2,400,0
2025-03-04,Tuesday,60,Security,2,3,450,0
2025-03-05,Wednesday,61,Front Desk,3,3,750,0
2025-03-05,Wednesday,61,Housekeeping,5,7,1260,1
2025-03-05,Wednesday,61,Restaurant,4,4,880,0
2025-03-05,Wednesday,61,Maintenance,2,3,600,0
2025-03-05,Wednesday,61,Security,2,2,300,0
2025-03-06,Thursday,59,Front Desk,3,5,1250,1
2025-03-06,Thursday,59,Housekeeping,5,5,900,0
2025-03-06,Thursday,59,Restaurant,4,4,880,0
2025-03-06,Thursday,59,Maintenance,2,2,400,0
2025-03-06,Thursday,59,Security,2,2,300,0
2025-03-07,Friday,56,Front Desk,3,5,1250,1
2025-03-07,Friday,56,Housekeeping,5,5,900,0
2025-03-07,Friday,56,Restaurant,4,4,880,0
2025-03-07,Friday,56,Maintenance,2,4,800,1
2025-03-07,Friday,56,Security,2,2,300,0
2025-03-08,Saturday,69,Front Desk,3,3,750,0
2025-03-08,Saturday,69,Housekeeping,5,5,900,0
2025-03-08,Saturday,69,Restaurant,4,4,880,0
2025-03-08,Saturday,69,Maintenance,2,2,400,0
2025-03-08,Saturday,69,Security,2,3,450,0
2025-03-09,Sunday,68,Front Desk,3,5,1250,1
2025-03-09,Sunday,68,Housekeeping,5,7,1260,1
2025-03-09,Sunday,68,Restaurant,4,4,880,0
2025-03-09,Sunday,68,Maintenance,2,2,400,0
2025-03-09,Sunday,68,Security,2,2,300,0
2025-03-10,Monday,62,Front Desk,3,4,1000,0
2025-03-10,Monday,62,Housekeeping,5,7,1260,1
2025-03-10,Monday,62,Restaurant,4,6,1320,1
2025-03-10,Monday,62,Maintenance,2,2,400,0
2025-03-10,Monday,62,Security,2,2,300,0
2025-03-11,Tuesday,57,Front Desk,3,3,750,0
2025-03-11,Tuesday,57,Housekeeping,5,5,900,0
2025-03-11,Tuesday,57,Restaurant,4,6,1320,1
2025-03-11,Tuesday,57,Maintenance,2,2,400,0
2025-03-11,Tuesday,57,Security,2,3,450,0
2025-03-12,Wednesday,54,Front Desk,3,4,1000,0
2025-03-12,Wednesday,54,Housekeeping,5,7,1260,1
2025-03-12,Wednesday,54,Restaurant,4,4,880,0
2025-03-12,Wednesday,54,Maintenance,2,2,400,0
2025-03-12,Wednesday,54,Security,2,2,300,0
2025-03-13,Thursday,56,Front Desk,3,3,750,0
2025-03-13,Thursday,56,Housekeeping,5,5,900,0
2025-03-13,Thursday,56,Restaurant,4,5,1100,0
2025-03-13,Thursday,56,Maintenance,2,2,400,0
2025-03-13,Thursday,56,Security,2,4,600,1
2025-03-14,Friday,54,Front Desk,3,3,750,0
2025-03-14,Friday,54,Housekeeping,5,6,1080,0
2025-03-14,Friday,54,Restaurant,4,4,880,0
2025-03-14,Friday,54,Maintenance,2,2,400,0
2025-03-14,Friday,54,Security,2,2,300,0
2025-03-15,Saturday,65,Front Desk,3,3,750,0
2025-03-15,Saturday,65,Housekeeping,5,7,1260,1
2025-03-15,Saturday,65,Restaurant,4,6,1320,1
2025-03-15,Saturday,65,Maintenance,2,2,400,0
2025-03-15,Saturday,65,Security,2,2,300,0
2025-03-16,Sunday,69,Front Desk,3,3,750,0
2025-03-16,Sunday,69,Housekeeping,5,5,900,0
2025-03-16,Sunday,69,Restaurant,4,5,1100,0
2025-03-16,Sunday,69,Maintenance,2,3,600,0
2025-03-16,Sunday,69,Security,2,2,300,0
2025-03-17,Monday,58,Front Desk,3,5,1250,1
2025-03-17,Monday,58,Housekeeping,5,6,1080,0
2025-03-17,Monday,58,Restaurant,4,5,1100,0
2025-03-17,Monday,58,Maintenance,2,4,800,1
2025-03-17,Monday,58,Security,2,2,300,0
2025-03-18,Tuesday,59,Front Desk,3,3,750,0
2025-03-18,Tuesday,59,Housekeeping,5,5,900,0
2025-03-18,Tuesday,59,Restaurant,4,4,880,0
2025-03-18,Tuesday,59,Maintenance,2,2,400,0
2025-03-18,Tuesday,59,Security,2,2,300,0
2025-03-19,Wednesday,63,Front Desk,3,5,1250,1
2025-03-19,Wednesday,63,Housekeeping,5,5,900,0
2025-03-19,Wednesday,63,Restaurant,4,4,880,0
2025-03-19,Wednesday,63,Maintenance,2,2,400,0
2025-03-19,Wednesday,63,Security,2,4,600,1
2025-03-20,Thursday,61,Front Desk,3,4,1000,0
2025-03-20,Thursday,61,Housekeeping,5,7,1260,1
2025-03-20,Thursday,61,Restaurant,4,4,880,0
2025-03-20,Thursday,61,Maintenance,2,3,600,0
2025-03-20,Thursday,61,Security,2,2,300,0
2025-03-21,Friday,56,Front Desk,3,3,750,0
2025-03-21,Friday,56,Housekeeping,5,6,1080,0
2025-03-21,Friday,56,Restaurant,4,4,880,0
2025-03-21,Friday,56,Maintenance,2,2,400,0
2025-03-21,Friday,56,Security,2,2,300,0
2025-03-22,Saturday,71,Front Desk,3,5,1250,1
2025-03-22,Saturday,71,Housekeeping,5,5,900,0
2025-03-22,Saturday,71,Restaurant,4,6,1320,1
2025-03-22,Saturday,71,Maintenance,2,2,400,0
2025-03-22,Saturday,71,Security,2,2,300,0
2025-03-23,Sunday,67,Front Desk,3,5,1250,1
2025-03-23,Sunday,67,Housekeeping,5,7,1260,1
2025-03-23,Sunday,67,Restaurant,4,4,880,0
2025-03-23,Sunday,67,Maintenance,2,4,800,1
2025-03-23,Sunday,67,Security,2,2,300,0
2025-03-24,Monday,55,Front Desk,3,3,750,0
2025-03-24,Monday,55,Housekeeping,5,7,1260,1
2025-03-24,Monday,55,Restaurant,4,4,880,0
2025-03-24,Monday,55,Maintenance,2,4,800,1
2025-03-24,Monday,55,Security,2,3,450,0
2025-03-25,Tuesday,60,Front Desk,3,3,750,0
2025-03-25,Tuesday,60,Housekeeping,5,7,1260,1
2025-03-25,Tuesday,60,Restaurant,4,4,880,0
2025-03-25,Tuesday,60,Maintenance,2,3,600,0
2025-03-25,Tuesday,60,Security,2,3,450,0
2025-03-26,Wednesday,55,Front Desk,3,3,750,0
2025-03-26,Wednesday,55,Housekeeping,5,6,1080,0
2025-03-26,Wednesday,55,Restaurant,4,4,880,0
2025-03-26,Wednesday,55,Maintenance,2,2,400,0
2025-03-26,Wednesday,55,Security,2,2,300,0
2025-03-27,Thursday,56,Front Desk,3,4,1000,0
2025-03-27,Thursday,56,Housekeeping,5,5,900,0
2025-03-27,Thursday,56,Restaurant,4,4,880,0
2025-03-27,Thursday,56,Maintenance,2,4,800,1
2025-03-27,Thursday,56,Security,2,4,600,1
2025-03-28,Friday,59,Front Desk,3,5,1250,1
2025-03-28,Friday,59,Housekeeping,5,5,900,0
2025-03-28,Friday,59,Restaurant,4,5,1100,0
2025-03-28,Friday,59,Maintenance,2,2,400,0
2025-03-28,Friday,59,Security,2,3,450,0
2025-03-29,Saturday,72,Front Desk,3,3,750,0
2025-03-29,Saturday,72,Housekeeping,5,5,900,0
2025-03-29,Saturday,72,Restaurant,4,4,880,0
2025-03-29,Saturday,72,Maintenance,2,2,400,0
2025-03-29,Saturday,72,Security,2,4,600,1
2025-03-30,Sunday,67,Front Desk,3,5,1250,1
2025-03-30,Sunday,67,Housekeeping,5,5,900,0
2025-03-30,Sunday,67,Restaurant,4,6,1320,1
2025-03-30,Sunday,67,Maintenance,2,4,800,1
2025-03-30,Sunday,67,Security,2,3,450,0
2025-03-31,Monday,56,Front Desk,3,3,750,0
2025-03-31,Monday,56,Housekeeping,5,7,1260,1
2025-03-31,Monday,56,Restaurant,4,4,880,0
2025-03-31,Monday,56,Maintenance,2,2,400,0
2025-03-31,Monday,56,Security,2,3,450,0
2025-04-01,Tuesday,53,Front Desk,3,5,1250,1
2025-04-01,Tuesday,53,Housekeeping,5,5,900,0
2025-04-01,Tuesday,53,Restaurant,4,4,880,0
2025-04-01,Tuesday,53,Maintenance,2,2,400,0
2025-04-01,Tuesday,53,Security,2,4,600,1
2025-04-02,Wednesday,63,Front Desk,3,3,750,0
2025-04-02,Wednesday,63,Housekeeping,5,5,900,0
2025-04-02,Wednesday,63,Restaurant,4,6,1320,1
2025-04-02,Wednesday,63,Maintenance,2,2,400,0
2025-04-02,Wednesday,63,Security,2,4,600,1
2025-04-03,Thursday,60,Front Desk,3,5,1250,1
2025-04-03,Thursday,60,Housekeeping,5,7,1260,1
2025-04-03,Thursday,60,Restaurant,4,4,880,0
2025-04-03,Thursday,60,Maintenance,2,4,800,1
2025-04-03,Thursday,60,Security,2,4,600,1
2025-04-04,Friday,56,Front Desk,3,3,750,0
2025-04-04,Friday,56,Housekeeping,5,5,900,0
2025-04-04,Friday,56,Restaurant,4,4,880,0
2025-04-04,Friday,56,Maintenance,2,4,800,1
2025-04-04,Friday,56,Security,2,2,300,0
2025-04-05,Saturday,62,Front Desk,3,3,750,0
2025-04-05,Saturday,62,Housekeeping,5,6,1080,0
2025-04-05,Saturday,62,Restaurant,4,5,1100,0
2025-04-05,Saturday,62,Maintenance,2,2,400,0
2025-04-05,Saturday,62,Security,2,2,300,0
2025-04-06,Sunday,62,Front Desk,3,3,750,0
2025-04-06,Sunday,62,Housekeeping,5,7,1260,1
2025-04-06,Sunday,62,Restaurant,4,5,1100,0
2025-04-06,Sunday,62,Maintenance,2,2,400,0
2025-04-06,Sunday,62,Security,2,4,600,1
2025-04-07,Monday,57,Front Desk,3,3,750,0
2025-04-07,Monday,57,Housekeeping,5,7,1260,1
2025-04-07,Monday,57,Restaurant,4,6,1320,1
2025-04-07,Monday,57,Maintenance,2,2,400,0
2025-04-07,Monday,57,Security,2,4,600,1
2025-04-08,Tuesday,61,Front Desk,3,3,750,0
2025-04-08,Tuesday,61,Housekeeping,5,6,1080,0
2025-04-08,Tuesday,61,Restaurant,4,6,1320,1
2025-04-08,Tuesday,61,Maintenance,2,2,400,0
2025-04-08,Tuesday,61,Security,2,2,300,0
2025-04-09,Wednesday,61,Front Desk,3,5,1250,1
2025-04-09,Wednesday,61,Housekeeping,5,6,1080,0
2025-04-09,Wednesday,61,Restaurant,4,4,880,0
2025-04-09,Wednesday,61,Maintenance,2,3,600,0
2025-04-09,Wednesday,61,Security,2,4,600,1
2025-04-10,Thursday,71,Front Desk,3,4,1000,0
2025-04-10,Thursday,71,Housekeeping,5,5,900,0
2025-04-10,Thursday,71,Restaurant,4,4,880,0
