date,day_of_week,month,is_weekend,rooms_occupied,occupancy_rate_pct,standard_occupied,deluxe_occupied,suite_occupied,family_occupied,daily_revenue_bwp,avg_room_rate_bwp,staff_on_duty,pricing_multiplier,event_boost
2025-02-02,Sunday,2,1,72,80.0,27,18,7,11,82765.26,1149.52,11,1.1,1.0
2025-02-03,Monday,2,0,55,61.1,28,18,4,8,66112.97,1202.05,8,1.0,1.0
2025-02-04,Tuesday,2,0,57,63.3,25,16,4,8,61620.64,1081.06,8,1.0,1.0
2025-02-05,Wednesday,2,0,57,63.3,26,17,5,8,67945.96,1192.03,8,1.0,1.0
2025-02-06,Thursday,2,0,58,64.4,26,17,5,7,64902.25,1119.0,8,1.0,1.0
2025-02-07,Friday,2,0,58,64.4,27,17,5,8,64934.8,1119.57,8,1.0,1.0
2025-02-08,Saturday,2,1,72,80.0,29,20,9,9,88177.28,1224.68,10,1.1,1.0
2025-02-09,Sunday,2,1,61,67.8,28,18,9,11,88085.53,1444.03,11,1.1,1.0
2025-02-10,Monday,2,0,63,70.0,25,17,8,8,69476.3,1102.8,8,1.0,1.0
2025-02-11,Tuesday,2,0,62,68.9,26,14,6,10,67113.68,1082.48,9,1.0,1.0
2025-02-12,Wednesday,2,0,56,62.2,27,15,6,7,64756.12,1156.36,8,1.0,1.0
2025-02-13,Thursday,2,0,57,63.3,27,18,7,8,72681.29,1275.11,8,1.0,1.0
2025-02-14,Friday,2,0,57,63.3,28,15,5,8,64351.96,1128.98,8,1.0,1.0
2025-02-15,Saturday,2,1,65,72.2,30,16,9,12,89548.01,1377.66,8,1.1,1.0
2025-02-16,Sunday,2,1,70,77.8,27,17,9,13,89496.52,1278.52,8,1.1,1.0
2025-02-17,Monday,2,0,62,68.9,27,17,8,10,75338.32,1215.13,11,1.0,1.0
2025-02-18,Tuesday,2,0,52,57.8,27,17,5,9,69259.23,1331.91,9,1.0,1.0
2025-02-19,Wednesday,2,0,61,67.8,27,16,6,9,68200.82,1118.05,11,1.0,1.0
2025-02-20,Thursday,2,0,60,66.7,27,15,7,10,70157.31,1169.29,8,1.0,1.0
2025-02-21,Friday,2,0,59,65.6,27,18,4,11,70658.85,1197.61,8,1.0,1.0
2025-02-22,Saturday,2,1,69,76.7,30,19,9,10,92610.92,1342.19,10,1.1,1.0
2025-02-23,Sunday,2,1,66,73.3,30,19,8,12,92543.9,1402.18,11,1.1,1.0
2025-02-24,Monday,2,0,52,57.8,28,14,7,10,68928.15,1325.54,8,1.0,1.0
2025-02-25,Tuesday,2,0,57,63.3,27,17,7,10,71950.65,1262.29,8,1.0,1.0
2025-02-26,Wednesday,2,0,53,58.9,24,16,4,7,59912.54,1130.43,8,1.0,1.0
2025-02-27,Thursday,2,0,59,65.6,25,18,5,7,64375.89,1091.12,8,1.0,1.0
2025-02-28,Friday,2,0,56,62.2,26,18,4,8,65681.64,1172.89,8,1.0,1.0
2025-03-01,Saturday,3,1,67,74.4,31,18,8,10,86110.51,1285.23,9,1.1,1.0
2025-03-02,Sunday,3,1,71,78.9,31,20,7,11,91159.5,1283.94,10,1.1,1.0
2025-03-03,Monday,3,0,61,67.8,24,17,6,10,69096.34,1132.73,10,1.0,1.0
2025-03-04,Tuesday,3,0,60,66.7,26,18,7,11,75659.99,1261.0,8,1.0,1.0
2025-03-05,Wednesday,3,0,61,67.8,24,17,7,10,69720.18,1142.95,10,1.0,1.0
2025-03-06,Thursday,3,0,59,65.6,25,16,8,9,70882.98,1201.41,10,1.0,1.0
2025-03-07,Friday,3,0,56,62.2,25,17,5,10,66720.15,1191.43,8,1.0,1.0
2025-03-08,Saturday,3,1,69,76.7,28,20,9,12,93757.29,1358.8,12,1.1,1.0
2025-03-09,Sunday,3,1,68,75.6,29,19,7,10,83629.78,1229.85,12,1.1,1.0
2025-03-10,Monday,3,0,62,68.9,25,17,8,11,75127.46,1211.73,8,1.0,1.0
2025-03-11,Tuesday,3,0,57,63.3,25,16,4,8,60088.84,1054.19,8,1.0,1.0
2025-03-12,Wednesday,3,0,54,60.0,25,17,4,10,64879.82,1201.48,8,1.0,1.0
2025-03-13,Thursday,3,0,56,62.2,25,16,7,7,67303.24,1201.84,8,1.0,1.0
2025-03-14,Friday,3,0,54,60.0,25,18,4,7,63038.91,1167.39,9,1.0,1.0
2025-03-15,Saturday,3,1,65,72.2,31,20,9,12,95302.7,1466.2,11,1.1,1.0
2025-03-16,Sunday,3,1,69,76.7,31,16,6,11,82555.46,1196.46,9,1.1,1.0
2025-03-17,Monday,3,0,58,64.4,25,14,7,11,67985.04,1172.16,8,1.0,1.0
2025-03-18,Tuesday,3,0,59,65.6,27,15,8,8,70094.64,1188.04,10,1.0,1.0
2025-03-19,Wednesday,3,0,63,70.0,25,16,4,9,63421.11,1006.68,11,1.0,1.0
2025-03-20,Thursday,3,0,61,67.8,27,17,8,10,76332.51,1251.35,8,1.0,1.0
2025-03-21,Friday,3,0,56,62.2,27,18,4,11,69687.84,1244.43,8,1.0,1.0
2025-03-22,Saturday,3,1,71,78.9,29,17,8,10,86619.32,1219.99,11,1.1,1.0
2025-03-23,Sunday,3,1,67,74.4,30,19,7,9,85842.68,1281.23,10,1.1,1.0
2025-03-24,Monday,3,0,55,61.1,27,18,4,9,65920.17,1198.55,9,1.0,1.0
2025-03-25,Tuesday,3,0,60,66.7,28,14,8,7,68918.25,1148.64,9,1.0,1.0
2025-03-26,Wednesday,3,0,55,61.1,27,15,5,10,67861.19,1233.84,9,1.0,1.0
2025-03-27,Thursday,3,0,56,62.2,24,18,5,7,63116.67,1127.08,8,1.0,1.0
2025-03-28,Friday,3,0,59,65.6,24,14,5,9,61639.72,1044.74,8,1.0,1.0
2025-03-29,Saturday,3,1,72,80.0,30,19,9,10,91118.49,1265.53,12,1.1,1.0
2025-03-30,Sunday,3,1,67,74.4,27,19,9,9,84736.03,1264.72,10,1.1,1.0
2025-03-31,Monday,3,0,56,62.2,28,17,7,9,73604.44,1314.37,10,1.0,1.0
2025-04-01,Tuesday,4,0,53,58.9,25,15,5,10,65868.37,1242.8,8,1.0,1.0
2025-04-02,Wednesday,4,0,63,70.0,27,15,4,11,65197.87,1034.89,8,1.0,1.0
2025-04-03,Thursday,4,0,60,66.7,28,14,7,8,69018.2,1150.3,9,1.0,1.0
2025-04-04,Friday,4,0,56,62.2,26,17,6,11,72743.37,1298.99,8,1.0,1.0
2025-04-05,Saturday,4,1,62,68.9,30,16,6,11,83812.47,1351.81,8,1.1,1.0
2025-04-06,Sunday,4,1,62,68.9,30,16,7,9,82193.06,1325.69,8,1.1,1.0
2025-04-07,Monday,4,0,57,63.3,25,17,5,7,62511.13,1096.69,9,1.0,1.0
2025-04-08,Tuesday,4,0,61,67.8,28,17,5,9,69579.16,1140.64,8,1.0,1.0
2025-04-09,Wednesday,4,0,61,67.8,26,15,6,9,66889.27,1096.55,10,1.0,1.0
2025-04-10,Thursday,4,0,71,78.9,32,20,9,10,93519.13,1317.17,12,1.1,1.25
2025-04-11,Friday,4,0,77,85.6,35,22,10,11,112295.0,1458.38,12,1.2,1.35
2025-04-12,Saturday,4,1,87,96.7,38,22,9,13,118118.24,1357.68,12,1.2,1.45
2025-04-13,Sunday,4,1,81,90.0,36,24,9,12,115280.81,1423.22,12,1.2,1.55
2025-04-14,Monday,4,0,80,88.9,39,22,9,14,120350.19,1504.38,12,1.2,1.65
2025-04-15,Tuesday,4,0,90,100.0,38,23,10,13,124826.65,1386.96,12,1.2,1.75
2025-04-16,Wednesday,4,0,81,90.0,39,25,10,15,127728.1,1576.89,12,1.2,1.65
2025-04-17,Thursday,4,0,83,92.2,40,23,8,15,120668.73,1453.84,14,1.2,1.55
2025-04-18,Friday,4,0,80,88.9,37,22,10,14,123749.63,1546.87,10,1.2,1.45
2025-04-19,Saturday,4,1,90,100.0,38,21,10,15,120958.58,1343.98,15,1.2,1.35
2025-04-20,Sunday,4,1,89,98.9,38,22,7,15,117459.21,1319.77,13,1.2,1.25
2025-04-21,Monday,4,0,61,67.8,27,15,4,9,64151.55,1051.66,9,1.0,1.0
2025-04-22,Tuesday,4,0,59,65.6,24,15,7,8,65684.23,1113.29,10,1.0,1.0
2025-04-23,Wednesday,4,0,59,65.6,26,15,5,11,66351.33,1124.6,8,1.0,1.0
2025-04-24,Thursday,4,0,58,64.4,25,15,8,8,68307.19,1177.71,10,1.0,1.0
2025-04-25,Friday,4,0,58,64.4,24,16,5,7,60641.5,1045.54,8,1.0,1.0
2025-04-26,Saturday,4,1,69,76.7,28,20,5,11,82341.14,1193.35,8,1.1,1.0
2025-04-27,Sunday,4,1,65,72.2,31,20,5,12,85463.41,1314.82,10,1.1,1.0
2025-04-28,Monday,4,0,59,65.6,24,17,4,8,60070.58,1018.15,8,1.0,1.0
2025-04-29,Tuesday,4,0,55,61.1,26,18,7,10,73032.52,1327.86,8,1.0,1.0
2025-04-30,Wednesday,4,0,55,61.1,28,15,5,10,67707.14,1231.04,8,1.0,1.0
2025-05-01,Thursday,5,0,57,63.3,26,15,7,7,64723.31,1135.5,8,1.0,1.0
2025-05-02,Friday,5,0,60,66.7,26,18,8,7,71262.07,1187.7,10,1.0,1.0
2025-05-03,Saturday,5,1,70,77.8,29,18,9,12,89961.16,1285.16,8,1.1,1.0
2025-05-04,Sunday,5,1,63,70.0,29,18,7,12,87938.77,1395.85,11,1.1,1.0
2025-05-05,Monday,5,0,55,61.1,24,16,6,9,66135.76,1202.47,8,1.0,1.0
2025-05-06,Tuesday,5,0,55,61.1,24,15,7,7,62427.34,1135.04,10,1.0,1.0
2025-05-07,Wednesday,5,0,59,65.6,26,16,8,7,68548.14,1161.83,10,1.0,1.0
2025-05-08,Thursday,5,0,61,67.8,24,16,7,10,69695.61,1142.55,8,1.0,1.0
2025-05-09,Friday,5,0,58,64.4,27,18,6,10,71756.59,1237.18,8,1.0,1.0
2025-05-10,Saturday,5,1,65,72.2,27,17,7,9,77976.63,1199.64,10,1.1,1.0
2025-05-11,Sunday,5,1,68,75.6,28,18,5,12,81294.01,1195.5,10,1.1,1.0
2025-05-12,Monday,5,0,61,67.8,28,17,7,10,73522.71,1205.29,9,1.0,1.0
2025-05-13,Tuesday,5,0,61,67.8,27,16,4,11,66863.86,1096.13,8,1.0,1.0
2025-05-14,Wednesday,5,0,64,71.1,27,16,5,7,63479.76,991.87,8,1.0,1.0
2025-05-15,Thursday,5,0,60,66.7,25,15,5,7,59411.83,990.2,10,1.0,1.0
2025-05-16,Friday,5,0,56,62.2,27,18,8,11,78627.23,1404.06,8,1.0,1.0
2025-05-17,Saturday,5,1,67,74.4,30,18,7,11,87054.54,1299.32,8,1.1,1.0
2025-05-18,Sunday,5,1,68,75.6,27,18,5,13,80794.35,1188.15,12,1.1,1.0
2025-05-19,Monday,5,0,53,58.9,24,18,6,11,71264.52,1344.61,8,1.0,1.0
2025-05-20,Tuesday,5,0,56,62.2,27,16,4,8,62474.03,1115.61,9,1.0,1.0
2025-05-21,Wednesday,5,0,62,68.9,28,16,7,9,71673.04,1156.02,8,1.0,1.0
2025-05-22,Thursday,5,0,58,64.4,26,14,7,11,69670.18,1201.21,8,1.0,1.0
2025-05-23,Friday,5,0,62,68.9,26,17,4,10,65090.25,1049.84,9,1.0,1.0
2025-05-24,Saturday,5,1,69,76.7,28,20,8,9,85660.81,1241.46,9,1.1,1.0
2025-05-25,Sunday,5,1,69,76.7,30,17,7,9,80847.49,1171.7,12,1.1,1.0
2025-05-26,Monday,5,0,57,63.3,28,16,8,10,73631.45,1291.78,8,1.0,1.0
2025-05-27,Tuesday,5,0,61,67.8,25,14,5,11,65664.04,1076.46,10,1.0,1.0
2025-05-28,Wednesday,5,0,54,60.0,25,16,7,8,68994.0,1277.67,10,1.0,1.0
2025-05-29,Thursday,5,0,61,67.8,26,18,5,11,71482.42,1171.84,9,1.0,1.0
2025-05-30,Friday,5,0,58,64.4,24,16,4,11,65884.77,1135.94,8,1.0,1.0
2025-05-31,Saturday,5,1,68,75.6,30,17,5,10,81856.45,1203.77,10,1.1,1.0
2025-06-01,Sunday,6,1,81,90.0,33,23,7,11,104220.25,1286.67,10,1.2,1.0
2025-06-02,Monday,6,0,69,76.7,31,18,8,10,88642.06,1284.67,11,1.1,1.0
2025-06-03,Tuesday,6,0,71,78.9,32,17,6,13,88487.86,1246.31,12,1.1,1.0
2025-06-04,Wednesday,6,0,68,75.6,31,17,8,13,89925.27,1322.43,8,1.1,1.0
2025-06-05,Thursday,6,0,69,76.7,32,17,9,10,89763.46,1300.92,8,1.1,1.0
2025-06-06,Friday,6,0,83,92.2,39,21,9,15,118024.66,1421.98,14,1.2,1.25
2025-06-07,Saturday,6,1,84,93.3,40,24,10,14,124574.37,1483.03,12,1.2,1.35
2025-06-08,Sunday,6,1,86,95.6,36,23,9,13,117103.9,1361.67,13,1.2,1.45
2025-06-09,Monday,6,0,82,91.1,39,22,10,13,117483.57,1432.73,11,1.2,1.55
2025-06-10,Tuesday,6,0,87,96.7,38,25,7,13,116442.86,1338.42,11,1.2,1.65
2025-06-11,Wednesday,6,0,83,92.2,38,23,10,15,123656.49,1489.84,11,1.2,1.55
2025-06-12,Thursday,6,0,81,90.0,40,21,7,13,112303.98,1386.47,12,1.2,1.45
2025-06-13,Friday,6,0,85,94.4,36,23,10,13,117808.18,1385.98,12,1.2,1.35
2025-06-14,Saturday,6,1,80,88.9,38,24,7,15,117027.18,1462.84,11,1.2,1.25
2025-06-15,Sunday,6,1,82,91.1,33,24,9,11,109358.33,1333.64,12,1.2,1.0
2025-06-16,Monday,6,0,65,72.2,29,20,7,9,86674.69,1333.46,11,1.1,1.0
2025-06-17,Tuesday,6,0,75,83.3,31,19,5,10,81111.22,1081.48,12,1.1,1.0
2025-06-18,Wednesday,6,0,71,78.9,31,18,7,12,90604.72,1276.12,9,1.1,1.0
2025-06-19,Thursday,6,0,69,76.7,29,20,7,9,86720.6,1256.82,10,1.1,1.0
2025-06-20,Friday,6,0,74,82.2,30,21,6,10,87630.51,1184.2,9,1.1,1.0
2025-06-21,Saturday,6,1,77,85.6,35,22,10,11,111361.16,1446.25,12,1.2,1.0
2025-06-22,Sunday,6,1,85,94.4,37,23,6,13,110514.33,1300.17,13,1.2,1.0
2025-06-23,Monday,6,0,70,77.8,32,19,9,10,93070.65,1329.58,9,1.1,1.0
2025-06-24,Tuesday,6,0,64,71.1,29,21,6,10,84982.54,1327.85,11,1.1,1.0
2025-06-25,Wednesday,6,0,72,80.0,31,19,9,11,93386.13,1297.03,8,1.1,1.0
2025-06-26,Thursday,6,0,68,75.6,33,21,9,13,99536.17,1463.77,8,1.1,1.0
2025-06-27,Friday,6,0,70,77.8,29,21,6,12,87674.03,1252.49,8,1.1,1.0
2025-06-28,Saturday,6,1,76,84.4,35,22,9,11,110871.91,1458.84,10,1.2,1.0
2025-06-29,Sunday,6,1,80,88.9,36,23,10,13,117340.85,1466.76,12,1.2,1.0
2025-06-30,Monday,6,0,71,78.9,31,17,8,12,88420.54,1245.36,8,1.1,1.0
2025-07-01,Tuesday,7,0,69,76.7,29,20,8,10,89512.41,1297.28,12,1.1,1.0
2025-07-02,Wednesday,7,0,69,76.7,30,21,7,9,87984.19,1275.13,12,1.1,1.0
2025-07-03,Thursday,7,0,68,75.6,32,18,5,12,86630.13,1273.97,11,1.1,1.0
2025-07-04,Friday,7,0,70,77.8,29,19,8,12,90160.24,1288.0,12,1.1,1.0
2025-07-05,Saturday,7,1,81,90.0,34,22,10,15,116395.85,1436.99,14,1.2,1.0
2025-07-06,Sunday,7,1,80,88.9,33,22,8,12,108261.68,1353.27,13,1.2,1.0
2025-07-07,Monday,7,0,68,75.6,33,17,7,13,89270.36,1312.8,12,1.1,1.0
2025-07-08,Tuesday,7,0,71,78.9,33,20,7,13,96881.53,1364.53,12,1.1,1.0
2025-07-09,Wednesday,7,0,69,76.7,32,19,5,9,83045.8,1203.56,12,1.1,1.0
2025-07-10,Thursday,7,0,67,74.4,29,19,9,9,90149.29,1345.51,9,1.1,1.0
2025-07-11,Friday,7,0,76,84.4,33,21,8,10,93952.98,1236.22,9,1.1,1.0
2025-07-12,Saturday,7,1,81,90.0,36,21,10,11,112451.31,1388.29,14,1.2,1.0
2025-07-13,Sunday,7,1,83,92.2,34,23,8,14,115923.66,1396.67,12,1.2,1.0
2025-07-14,Monday,7,0,65,72.2,31,18,7,10,88104.06,1355.45,9,1.1,1.0
2025-07-15,Tuesday,7,0,68,75.6,31,20,7,11,90016.25,1323.77,12,1.1,1.0
2025-07-16,Wednesday,7,0,68,75.6,32,18,7,9,86144.65,1266.83,11,1.1,1.0
2025-07-17,Thursday,7,0,82,91.1,38,22,10,15,122970.77,1499.64,11,1.2,1.25
2025-07-18,Friday,7,0,89,98.9,37,25,8,15,118154.19,1327.58,14,1.2,1.35
2025-07-19,Saturday,7,1,88,97.8,36,22,10,13,117566.2,1335.98,14,1.2,1.45
2025-07-20,Sunday,7,1,83,92.2,38,21,7,13,111460.02,1342.89,10,1.2,1.55
2025-07-21,Monday,7,0,85,94.4,37,22,7,15,117230.63,1379.18,11,1.2,1.65
2025-07-22,Tuesday,7,0,90,100.0,38,21,10,14,119130.78,1323.68,15,1.2,1.75
2025-07-23,Wednesday,7,0,82,91.1,40,22,10,12,120087.68,1464.48,13,1.2,1.85
2025-07-24,Thursday,7,0,82,91.1,36,23,8,15,118781.95,1448.56,14,1.2,1.95
2025-07-25,Friday,7,0,81,90.0,38,21,8,13,109284.25,1349.19,13,1.2,2.05
2025-07-26,Saturday,7,1,85,94.4,38,25,9,12,118007.76,1388.33,13,1.2,2.15
2025-07-27,Sunday,7,1,90,100.0,38,25,9,14,123676.63,1374.18,12,1.2,2.25
2025-07-28,Monday,7,0,85,94.4,37,25,10,15,127724.64,1502.64,11,1.2,2.35
2025-07-29,Tuesday,7,0,87,96.7,37,25,7,15,121636.69,1398.12,11,1.2,2.45
2025-07-30,Wednesday,7,0,86,95.6,40,22,8,15,121115.61,1408.32,11,1.2,2.55
2025-07-31,Thursday,7,0,84,93.3,40,25,7,15,121487.09,1446.27,14,1.2,2.65
2025-08-01,Friday,8,0,88,97.8,38,24,7,15,117800.69,1338.64,14,1.2,2.75
2025-08-02,Saturday,8,1,86,95.6,38,25,7,15,122265.03,1421.69,13,1.2,2.65
2025-08-03,Sunday,8,1,86,95.6,39,24,10,15,125124.07,1454.93,12,1.2,2.55
2025-08-04,Monday,8,0,86,95.6,36,25,8,13,116635.05,1356.22,10,1.2,2.45
2025-08-05,Tuesday,8,0,88,97.8,40,24,8,13,119847.68,1361.91,11,1.2,2.35
2025-08-06,Wednesday,8,0,85,94.4,36,24,7,12,111499.34,1311.76,10,1.2,2.25
2025-08-07,Thursday,8,0,81,90.0,36,21,8,12,107343.56,1325.23,12,1.2,2.15
2025-08-08,Friday,8,0,86,95.6,37,25,10,14,125358.56,1457.66,11,1.2,2.05
2025-08-09,Saturday,8,1,89,98.9,39,21,10,13,119726.93,1345.25,14,1.2,1.95
2025-08-10,Sunday,8,1,85,94.4,40,23,10,14,127564.04,1500.75,13,1.2,1.85
2025-08-11,Monday,8,0,87,96.7,40,22,8,12,114821.09,1319.78,14,1.2,1.75
2025-08-12,Tuesday,8,0,87,96.7,40,24,8,12,117576.08,1351.45,13,1.2,1.65
2025-08-13,Wednesday,8,0,89,98.9,37,24,10,12,116941.26,1313.95,15,1.2,1.55
2025-08-14,Thursday,8,0,88,97.8,40,22,9,12,116376.58,1322.46,12,1.2,1.45
2025-08-15,Friday,8,0,86,95.6,39,25,10,15,131573.31,1529.92,12,1.2,1.35
2025-08-16,Saturday,8,1,85,94.4,39,23,9,15,122205.14,1437.71,13,1.2,1.25
2025-08-17,Sunday,8,1,80,88.9,34,23,7,11,103912.01,1298.9,14,1.2,1.0
2025-08-18,Monday,8,0,67,74.4,33,19,7,13,93910.44,1401.65,11,1.1,1.0
2025-08-19,Tuesday,8,0,63,70.0,31,20,8,11,92436.85,1467.25,11,1.1,1.0
2025-08-20,Wednesday,8,0,67,74.4,32,21,5,9,85837.2,1281.15,8,1.1,1.0
2025-08-21,Thursday,8,0,70,77.8,30,18,9,9,85595.97,1222.8,12,1.1,1.0
2025-08-22,Friday,8,0,67,74.4,32,17,9,9,87621.19,1307.78,10,1.1,1.0
2025-08-23,Saturday,8,1,78,86.7,37,23,7,11,110611.58,1418.1,10,1.2,1.0
2025-08-24,Sunday,8,1,80,88.9,34,22,8,11,108787.22,1359.84,13,1.2,1.0
2025-08-25,Monday,8,0,68,75.6,30,17,5,12,81208.68,1194.25,11,1.1,1.0
2025-08-26,Tuesday,8,0,70,77.8,29,18,8,11,87611.27,1251.59,8,1.1,1.0
2025-08-27,Wednesday,8,0,75,83.3,30,21,5,11,86330.28,1151.07,13,1.1,1.0
2025-08-28,Thursday,8,0,66,73.3,29,19,6,12,85046.73,1288.59,9,1.1,1.0
2025-08-29,Friday,8,0,71,78.9,32,21,6,9,87457.58,1231.8,10,1.1,1.0
2025-08-30,Saturday,8,1,82,91.1,33,21,8,15,112531.84,1372.34,13,1.2,1.0
2025-08-31,Sunday,8,1,83,92.2,35,23,8,14,115640.75,1393.26,14,1.2,1.0
2025-09-01,Monday,9,0,69,76.7,32,21,6,9,85141.85,1233.94,11,1.1,1.0
2025-09-02,Tuesday,9,0,69,76.7,32,17,7,11,84719.43,1227.82,8,1.1,1.0
2025-09-03,Wednesday,9,0,66,73.3,30,21,8,9,88781.64,1345.18,8,1.1,1.0
2025-09-04,Thursday,9,0,65,72.2,32,20,5,13,89037.26,1369.8,8,1.1,1.0
2025-09-05,Friday,9,0,67,74.4,33,20,7,12,91822.0,1370.48,9,1.1,1.0
2025-09-06,Saturday,9,1,77,85.6,36,22,7,14,112556.74,1461.78,10,1.2,1.0
2025-09-07,Sunday,9,1,81,90.0,36,22,9,15,114735.12,1416.48,12,1.2,1.0
2025-09-08,Monday,9,0,67,74.4,33,19,6,10,86648.81,1293.27,10,1.1,1.0
2025-09-09,Tuesday,9,0,71,78.9,31,20,6,11,90171.1,1270.02,11,1.1,1.0
2025-09-10,Wednesday,9,0,65,72.2,30,21,9,12,96053.8,1477.75,8,1.1,1.0
2025-09-11,Thursday,9,0,75,83.3,32,17,8,10,89893.59,1198.58,10,1.1,1.0
2025-09-12,Friday,9,0,70,77.8,32,17,9,12,93993.47,1342.76,11,1.1,1.0
2025-09-13,Saturday,9,1,82,91.1,37,22,10,11,113485.9,1383.97,11,1.2,1.0
2025-09-14,Sunday,9,1,79,87.8,37,23,8,14,116629.64,1476.32,9,1.2,1.0
2025-09-15,Monday,9,0,67,74.4,31,21,9,11,94785.7,1414.71,12,1.1,1.0
2025-09-16,Tuesday,9,0,69,76.7,29,19,5,10,79788.41,1156.35,10,1.1,1.0
2025-09-17,Wednesday,9,0,68,75.6,32,21,8,12,96126.03,1413.62,10,1.1,1.0
2025-09-18,Thursday,9,0,74,82.2,29,17,6,10,82282.25,1111.92,13,1.1,1.0
2025-09-19,Friday,9,0,71,78.9,30,20,6,10,86059.17,1212.1,11,1.1,1.0
2025-09-20,Saturday,9,1,76,84.4,34,23,7,11,105030.66,1381.98,13,1.2,1.0
2025-09-21,Sunday,9,1,83,92.2,34,21,8,14,110512.5,1331.48,12,1.2,1.0
2025-09-22,Monday,9,0,66,73.3,33,19,9,11,95081.14,1440.62,11,1.1,1.0
2025-09-23,Tuesday,9,0,67,74.4,29,19,7,11,86143.33,1285.72,12,1.1,1.0
2025-09-24,Wednesday,9,0,67,74.4,33,18,9,10,92442.93,1379.75,11,1.1,1.0
2025-09-25,Thursday,9,0,72,80.0,31,19,9,11,93160.55,1293.9,11,1.1,1.0
2025-09-26,Friday,9,0,73,81.1,33,20,8,12,95564.35,1309.1,8,1.1,1.0
2025-09-27,Saturday,9,1,89,98.9,40,22,9,14,116807.51,1312.44,14,1.2,1.25
2025-09-28,Sunday,9,1,80,88.9,39,21,9,14,119473.23,1493.42,10,1.2,1.35
2025-09-29,Monday,9,0,83,92.2,39,24,8,12,115060.31,1386.27,12,1.2,1.45
2025-09-30,Tuesday,9,0,86,95.6,36,22,10,15,121897.87,1417.42,11,1.2,1.55
2025-10-01,Wednesday,10,0,83,92.2,39,22,7,15,115671.77,1393.64,14,1.2,1.45
2025-10-02,Thursday,10,0,83,92.2,35,21,10,11,112738.92,1358.3,13,1.2,1.35
