student_id,age,gender,campus,program,program_length_yrs,year_enrolled,semester_enrolled,expected_grad_year,enrollment_source,distance_from_campus_km,has_transport,parent_education,has_financial_aid,working_student,attendance_rate_pct,grade_average_pct,courses_failed,warnings_issued,status,at_risk
GTC-00018,29,Male,Main Campus - Gaborone,Certificate in Construction,1,2024,Semester 1,2025,Open Day,71.0,0,None,0,0,61.0,35.3,1,2,Dropped Out,0
GTC-00019,41,Male,Block 8 Campus,Diploma in Accounting,2,2025,Semester 1,2027,Website Form,17.7,1,Secondary,0,1,73.1,35.3,0,2,Dropped Out,0
GTC-00020,28,Male,Extension Campus - Mogoditshane,Diploma in Accounting,2,2023,Semester 2,2025,Agent,47.9,1,Primary,0,0,80.6,49.6,2,2,Graduated,0
GTC-00021,43,Male,Block 8 Campus,Certificate in Hospitality,1,2025,Semester 1,2026,Facebook Ad,30.4,1,Tertiary,0,0,82.3,72.3,1,0,Active,0
GTC-00022,23,Female,Block 8 Campus,Certificate in Hospitality,1,2024,Semester 1,2025,Facebook Ad,32.8,1,Tertiary,1,0,96.1,60.7,0,0,Dropped Out,0
GTC-00023,24,Female,Block 8 Campus,Diploma in Accounting,2,2023,Semester 2,2025,Website Form,54.7,1,Secondary,0,1,70.4,52.5,0,1,Graduated,0
GTC-00024,31,Female,Extension Campus - Mogoditshane,Certificate in Construction,1,2024,Semester 1,2025,Agent,76.5,1,None,0,1,56.2,33.6,0,2,Dropped Out,0
GTC-00025,29,Female,Main Campus - Gaborone,Certificate in Construction,1,2025,Semester 2,2026,Facebook Ad,61.3,1,Secondary,0,1,65.0,33.0,4,3,Dropped Out,0
GTC-00026,41,Male,Extension Campus - Mogoditshane,Diploma in Accounting,2,2024,Semester 1,2026,Referral,24.7,1,Secondary,0,0,89.5,73.2,0,0,Active,0
GTC-00027,34,Female,Main Campus - Gaborone,Certificate in Hospitality,1,2025,Semester 2,2026,School Fair,68.7,1,None,1,0,73.4,36.1,3,3,Dropped Out,0
GTC-00028,40,Female,Block 8 Campus,Diploma in Health Sciences,2,2023,Semester 1,2025,Walk-In,75.9,0,None,0,1,40.0,30.0,3,3,Dropped Out,0
GTC-00029,21,Female,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Open Day,52.3,0,Tertiary,0,0,64.0,46.2,1,2,Dropped Out,0
GTC-00030,38,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2025,Semester 1,2026,Referral,37.7,0,Primary,1,1,60.3,30.0,4,3,Active,1
GTC-00031,31,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2024,Semester 1,2025,School Fair,70.9,1,None,0,0,69.4,30.0,4,3,Dropped Out,0
GTC-00032,44,Female,Extension Campus - Mogoditshane,Certificate in Hospitality,1,2024,Semester 1,2025,Referral,37.3,1,Secondary,0,0,74.5,66.8,0,1,Graduated,0
GTC-00033,30,Male,Main Campus - Gaborone,Diploma in Health Sciences,2,2023,Semester 2,2025,Radio Ad,4.7,1,Primary,0,1,69.2,54.5,0,1,Graduated,0
GTC-00034,33,Male,Extension Campus - Mogoditshane,Diploma in IT,2,2024,Semester 1,2026,Facebook Ad,66.5,1,None,0,1,59.4,37.7,3,3,Dropped Out,0
GTC-00035,24,Female,Extension Campus - Mogoditshane,Diploma in Accounting,2,2024,Semester 1,2026,Facebook Ad,66.2,1,Secondary,1,1,84.0,47.8,1,1,Active,1
GTC-00036,40,Male,Main Campus - Gaborone,Diploma in Accounting,2,2025,Semester 1,2027,Walk-In,29.8,1,Secondary,1,0,90.4,71.3,0,0,Active,0
GTC-00037,32,Male,Block 8 Campus,Diploma in Engineering,2,2025,Semester 2,2027,Open Day,39.8,0,Secondary,1,1,66.4,31.0,3,3,Dropped Out,0
GTC-00038,39,Female,Block 8 Campus,Diploma in IT,2,2024,Semester 2,2026,Radio Ad,41.7,1,Secondary,1,0,86.2,78.3,0,0,Active,0
GTC-00039,33,Male,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Open Day,67.5,1,Primary,1,1,60.9,30.0,2,3,Active,1
GTC-00040,29,Female,Block 8 Campus,Diploma in Accounting,2,2024,Semester 1,2026,Facebook Ad,61.4,1,Primary,1,0,86.6,50.0,0,0,Active,1
GTC-00041,27,Male,Block 8 Campus,Diploma in Engineering,2,2024,Semester 1,2026,Radio Ad,23.7,0,Secondary,0,1,62.7,49.2,0,2,Dropped Out,0
GTC-00042,32,Female,Main Campus - Gaborone,Diploma in IT,2,2024,Semester 2,2026,Facebook Ad,70.0,1,None,0,0,76.4,56.6,0,0,Active,0
GTC-00043,31,Male,Extension Campus - Mogoditshane,Diploma in Health Sciences,2,2024,Semester 2,2026,Referral,73.2,0,Secondary,0,1,53.4,30.0,0,2,Dropped Out,0
GTC-00044,20,Male,Main Campus - Gaborone,Diploma in Engineering,2,2025,Semester 1,2027,Radio Ad,0.7,1,Tertiary,1,1,77.5,36.1,2,2,Active,1
GTC-00045,38,Male,Block 8 Campus,Certificate in Business Admin,1,2025,Semester 1,2026,Radio Ad,77.3,0,None,1,0,57.8,30.0,2,3,Dropped Out,0
GTC-00046,27,Female,Block 8 Campus,Certificate in Auto Mechanics,1,2024,Semester 1,2025,Walk-In,75.7,0,Secondary,1,1,56.2,30.0,2,3,Dropped Out,0
GTC-00047,44,Female,Extension Campus - Mogoditshane,Diploma in IT,2,2023,Semester 2,2025,Open Day,77.9,1,Tertiary,0,0,78.5,51.1,2,1,Graduated,0
GTC-00048,28,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2024,Semester 2,2025,Walk-In,38.9,1,Secondary,1,0,88.0,95.0,0,0,Graduated,0
GTC-00049,19,Male,Extension Campus - Mogoditshane,Certificate in Construction,1,2025,Semester 2,2026,Open Day,64.7,1,Primary,0,0,71.6,49.0,1,2,Dropped Out,0
GTC-00050,23,Female,Extension Campus - Mogoditshane,Diploma in IT,2,2025,Semester 2,2027,Facebook Ad,19.5,0,None,0,1,54.9,30.0,1,2,Dropped Out,0
GTC-00051,44,Female,Block 8 Campus,Certificate in Hospitality,1,2024,Semester 1,2025,Agent,16.6,1,Primary,0,1,62.0,42.4,1,2,Graduated,0
GTC-00052,27,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2023,Semester 2,2024,Open Day,29.7,1,Tertiary,0,1,86.2,54.9,0,0,Graduated,0
GTC-00053,19,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Agent,84.0,0,Primary,0,1,51.9,30.0,0,2,Dropped Out,0
GTC-00054,34,Female,Main Campus - Gaborone,Diploma in Engineering,2,2024,Semester 1,2026,Facebook Ad,40.2,0,Secondary,0,0,74.2,46.9,0,2,Active,1
GTC-00055,42,Female,Extension Campus - Mogoditshane,Diploma in IT,2,2025,Semester 1,2027,School Fair,53.8,0,Primary,0,0,61.1,42.8,0,2,Active,1
GTC-00056,19,Female,Main Campus - Gaborone,Diploma in Accounting,2,2024,Semester 2,2026,Agent,12.8,1,Primary,1,1,73.0,60.6,3,2,Dropped Out,0
GTC-00057,32,Female,Block 8 Campus,Diploma in Accounting,2,2025,Semester 1,2027,Open Day,76.7,1,Primary,1,0,74.7,67.4,0,1,Active,1
GTC-00058,30,Female,Main Campus - Gaborone,Certificate in Hospitality,1,2024,Semester 2,2025,Referral,84.4,1,Tertiary,1,0,79.4,57.4,1,0,Graduated,0
GTC-00059,27,Male,Extension Campus - Mogoditshane,Certificate in Construction,1,2023,Semester 1,2024,Referral,57.8,0,Primary,0,0,58.6,30.0,3,3,Dropped Out,0
GTC-00060,20,Female,Block 8 Campus,Diploma in Health Sciences,2,2023,Semester 1,2025,Radio Ad,67.0,0,Secondary,0,0,65.6,43.0,0,2,Dropped Out,0
GTC-00061,41,Female,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2023,Semester 1,2024,School Fair,73.2,0,Tertiary,0,0,70.6,30.0,2,3,Dropped Out,0
GTC-00062,39,Female,Extension Campus - Mogoditshane,Diploma in Health Sciences,2,2025,Semester 2,2027,Facebook Ad,57.5,1,Secondary,0,1,69.6,63.3,0,1,Active,1
GTC-00063,19,Female,Block 8 Campus,Certificate in Business Admin,1,2023,Semester 1,2024,Radio Ad,33.3,1,Tertiary,0,0,84.2,82.7,0,0,Graduated,0
GTC-00064,26,Male,Extension Campus - Mogoditshane,Certificate in Construction,1,2023,Semester 2,2024,Open Day,80.8,0,None,0,0,57.8,46.7,1,2,Graduated,0
GTC-00065,45,Female,Main Campus - Gaborone,Certificate in Hospitality,1,2025,Semester 1,2026,Walk-In,67.0,1,Primary,0,1,53.4,30.0,1,2,Dropped Out,0
GTC-00066,42,Male,Extension Campus - Mogoditshane,Diploma in IT,2,2024,Semester 1,2026,Radio Ad,46.1,0,None,0,1,55.8,42.2,2,3,Dropped Out,0
GTC-00067,19,Male,Extension Campus - Mogoditshane,Diploma in Health Sciences,2,2025,Semester 1,2027,Facebook Ad,40.7,0,None,0,1,54.7,30.0,1,2,Dropped Out,0
GTC-00068,38,Male,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2024,Semester 2,2025,Facebook Ad,41.9,0,None,0,1,57.1,30.0,1,2,Dropped Out,0
GTC-00069,30,Female,Block 8 Campus,Diploma in Health Sciences,2,2023,Semester 1,2025,School Fair,36.8,0,Tertiary,1,0,84.1,38.2,2,2,Dropped Out,0
GTC-00070,22,Female,Main Campus - Gaborone,Certificate in Business Admin,1,2023,Semester 1,2024,Agent,8.7,0,Primary,0,0,68.3,30.0,3,3,Dropped Out,0
GTC-00071,42,Female,Extension Campus - Mogoditshane,Diploma in IT,2,2024,Semester 2,2026,Website Form,9.3,1,Primary,0,1,73.1,47.6,2,3,Active,1
GTC-00072,45,Male,Extension Campus - Mogoditshane,Diploma in Accounting,2,2023,Semester 1,2025,Referral,59.9,1,Secondary,1,1,77.7,66.6,1,0,Graduated,0
GTC-00073,20,Male,Block 8 Campus,Diploma in Health Sciences,2,2024,Semester 2,2026,Radio Ad,31.8,0,None,0,1,58.4,30.0,3,3,Dropped Out,0
GTC-00074,37,Female,Block 8 Campus,Diploma in Accounting,2,2023,Semester 1,2025,Website Form,36.8,1,Tertiary,0,1,88.2,60.3,0,0,Graduated,0
GTC-00075,42,Male,Block 8 Campus,Diploma in Accounting,2,2024,Semester 1,2026,Walk-In,42.5,1,Primary,1,0,83.0,30.0,2,2,Active,1
GTC-00076,18,Female,Main Campus - Gaborone,Certificate in Construction,1,2025,Semester 2,2026,Agent,60.5,1,None,1,0,90.7,59.6,1,0,Active,0
GTC-00077,21,Male,Block 8 Campus,Diploma in Health Sciences,2,2025,Semester 1,2027,Agent,74.1,0,Primary,1,1,57.8,30.0,2,3,Dropped Out,0
GTC-00078,41,Male,Main Campus - Gaborone,Certificate in Business Admin,1,2023,Semester 2,2024,School Fair,15.2,1,None,1,0,83.3,30.0,1,1,Graduated,0
GTC-00079,36,Female,Extension Campus - Mogoditshane,Certificate in Construction,1,2023,Semester 2,2024,Facebook Ad,40.1,1,Secondary,0,0,86.5,79.0,0,0,Graduated,0
GTC-00080,38,Male,Extension Campus - Mogoditshane,Diploma in Health Sciences,2,2024,Semester 1,2026,Open Day,77.3,1,Primary,1,0,76.5,60.4,2,1,Active,1
GTC-00081,34,Male,Main Campus - Gaborone,Certificate in Hospitality,1,2025,Semester 2,2026,Open Day,44.8,1,Secondary,1,1,82.5,30.0,1,1,Active,1
GTC-00082,21,Female,Block 8 Campus,Diploma in Accounting,2,2025,Semester 1,2027,Website Form,7.4,1,Secondary,1,0,92.8,65.1,0,0,Active,0
GTC-00083,28,Male,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2025,Semester 2,2026,Website Form,2.0,1,Primary,1,0,100.0,94.5,0,0,Active,0
GTC-00084,35,Male,Extension Campus - Mogoditshane,Certificate in Construction,1,2025,Semester 1,2026,Agent,13.5,1,Primary,0,1,73.0,30.0,2,3,Active,1
GTC-00085,25,Male,Block 8 Campus,Certificate in Auto Mechanics,1,2023,Semester 2,2024,Open Day,39.5,1,Tertiary,0,0,91.8,56.1,0,0,Graduated,0
GTC-00086,33,Female,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2025,Semester 1,2026,Referral,7.6,1,Tertiary,0,1,78.6,30.0,3,2,Dropped Out,0
GTC-00087,18,Female,Main Campus - Gaborone,Diploma in Health Sciences,2,2025,Semester 2,2027,School Fair,33.1,1,Primary,1,0,81.9,71.4,0,0,Active,0
GTC-00088,40,Male,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2024,Semester 1,2025,Facebook Ad,2.1,1,Primary,0,0,76.6,36.9,3,2,Dropped Out,0
GTC-00089,31,Female,Main Campus - Gaborone,Certificate in Business Admin,1,2024,Semester 1,2025,School Fair,61.2,1,None,0,1,62.7,30.0,4,3,Dropped Out,0
GTC-00090,34,Male,Block 8 Campus,Certificate in Auto Mechanics,1,2023,Semester 2,2024,Website Form,21.9,1,None,1,0,76.8,33.2,1,1,Dropped Out,0
GTC-00091,35,Female,Extension Campus - Mogoditshane,Diploma in Engineering,2,2025,Semester 2,2027,Open Day,53.9,0,None,0,0,57.8,32.2,0,2,Dropped Out,0
GTC-00092,27,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2024,Semester 1,2025,School Fair,24.7,0,None,0,1,63.4,43.7,0,2,Dropped Out,0
GTC-00093,30,Female,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Website Form,78.6,1,None,0,1,58.4,30.0,2,3,Dropped Out,0
GTC-00094,39,Female,Block 8 Campus,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Radio Ad,58.8,1,None,0,0,65.5,30.0,1,2,Dropped Out,0
GTC-00095,39,Female,Block 8 Campus,Diploma in Engineering,2,2023,Semester 1,2025,Open Day,3.4,1,Secondary,1,0,90.6,65.4,0,0,Graduated,0
GTC-00096,20,Male,Extension Campus - Mogoditshane,Certificate in Construction,1,2024,Semester 2,2025,Referral,21.6,1,Primary,0,0,80.5,40.8,3,2,Graduated,0
GTC-00097,27,Female,Main Campus - Gaborone,Certificate in Business Admin,1,2023,Semester 1,2024,Open Day,15.1,0,None,0,0,69.4,55.4,0,1,Dropped Out,0
GTC-00098,27,Male,Extension Campus - Mogoditshane,Diploma in Engineering,2,2024,Semester 1,2026,Facebook Ad,83.7,0,Primary,0,1,50.4,30.0,1,2,Active,1
GTC-00099,27,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Agent,70.1,1,Secondary,0,0,76.8,53.9,0,0,Active,1
GTC-00100,22,Female,Extension Campus - Mogoditshane,Diploma in IT,2,2023,Semester 1,2025,Referral,14.4,1,Primary,1,0,82.1,81.7,1,0,Graduated,0
GTC-00101,22,Female,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2025,Semester 1,2026,Radio Ad,15.0,1,Secondary,0,0,87.9,74.8,0,0,Active,0
GTC-00102,42,Female,Extension Campus - Mogoditshane,Diploma in IT,2,2024,Semester 2,2026,Referral,41.3,0,Tertiary,1,1,70.0,43.6,1,2,Active,1
GTC-00103,40,Female,Extension Campus - Mogoditshane,Certificate in Construction,1,2024,Semester 1,2025,Website Form,44.0,1,Primary,0,1,69.3,30.8,3,3,Dropped Out,0
GTC-00104,25,Male,Block 8 Campus,Certificate in Construction,1,2023,Semester 1,2024,Open Day,84.7,1,Secondary,0,1,74.4,30.0,4,3,Dropped Out,0
GTC-00105,27,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2024,Semester 1,2025,Facebook Ad,36.9,0,Secondary,0,0,80.8,35.0,3,2,Dropped Out,0
GTC-00106,34,Female,Extension Campus - Mogoditshane,Diploma in Accounting,2,2025,Semester 1,2027,Radio Ad,82.9,1,Secondary,0,0,81.3,57.2,1,0,Dropped Out,0
GTC-00107,40,Female,Block 8 Campus,Certificate in Auto Mechanics,1,2023,Semester 1,2024,Website Form,79.2,1,Tertiary,0,0,80.3,46.6,0,1,Graduated,0
GTC-00108,27,Female,Main Campus - Gaborone,Certificate in Construction,1,2024,Semester 1,2025,Agent,49.8,0,None,0,1,48.9,30.0,2,3,Dropped Out,0
GTC-00109,33,Male,Extension Campus - Mogoditshane,Diploma in Health Sciences,2,2023,Semester 1,2025,Walk-In,48.9,0,Primary,1,1,67.2,30.0,3,3,Dropped Out,0
GTC-00110,45,Male,Extension Campus - Mogoditshane,Diploma in Engineering,2,2025,Semester 1,2027,Website Form,84.8,1,Tertiary,1,1,69.6,41.1,3,3,Active,1
GTC-00111,40,Female,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2023,Semester 1,2024,Referral,47.7,1,Secondary,0,0,78.6,36.9,2,2,Graduated,0
GTC-00112,41,Female,Block 8 Campus,Certificate in Business Admin,1,2025,Semester 2,2026,Agent,69.7,0,Primary,1,1,48.5,30.0,2,3,Dropped Out,0
GTC-00113,24,Female,Extension Campus - Mogoditshane,Diploma in Accounting,2,2023,Semester 1,2025,School Fair,21.0,1,Primary,0,1,76.1,31.1,3,2,Dropped Out,0
GTC-00114,35,Male,Block 8 Campus,Certificate in Auto Mechanics,1,2024,Semester 1,2025,Referral,27.6,1,None,0,1,57.3,43.4,2,3,Dropped Out,0
GTC-00115,44,Male,Main Campus - Gaborone,Diploma in Health Sciences,2,2024,Semester 1,2026,Referral,74.6,1,None,0,1,61.0,30.0,2,3,Dropped Out,0
GTC-00116,34,Female,Block 8 Campus,Certificate in Hospitality,1,2023,Semester 2,2024,Radio Ad,62.3,1,Primary,1,1,72.2,30.0,4,3,Dropped Out,0
GTC-00117,30,Female,Extension Campus - Mogoditshane,Certificate in Construction,1,2023,Semester 2,2024,Facebook Ad,16.1,1,Secondary,0,1,82.6,37.1,3,2,Dropped Out,0
GTC-00118,36,Male,Block 8 Campus,Certificate in Construction,1,2025,Semester 1,2026,Walk-In,56.9,1,Primary,1,0,70.2,58.1,1,1,Active,1
GTC-00119,37,Male,Main Campus - Gaborone,Diploma in Engineering,2,2024,Semester 1,2026,Open Day,63.7,1,Tertiary,0,0,67.0,48.2,0,2,Active,1
GTC-00120,43,Male,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Facebook Ad,78.0,1,Primary,0,1,64.3,30.0,3,3,Dropped Out,0
GTC-00121,20,Female,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2023,Semester 2,2024,Open Day,48.2,1,Secondary,0,0,81.4,67.5,0,0,Graduated,0
GTC-00122,20,Male,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2023,Semester 2,2024,Agent,15.7,1,Tertiary,1,0,98.5,38.3,2,2,Graduated,0
GTC-00123,45,Male,Extension Campus - Mogoditshane,Certificate in Construction,1,2023,Semester 1,2024,Agent,45.2,0,Primary,0,0,64.2,43.6,0,2,Dropped Out,0
GTC-00124,25,Male,Block 8 Campus,Certificate in Construction,1,2023,Semester 2,2024,School Fair,79.7,0,None,1,0,60.2,30.0,2,3,Dropped Out,0
GTC-00125,37,Male,Block 8 Campus,Diploma in IT,2,2023,Semester 1,2025,Agent,37.6,1,None,1,0,94.1,52.6,0,0,Graduated,0
GTC-00126,44,Female,Main Campus - Gaborone,Diploma in Accounting,2,2023,Semester 1,2025,Agent,25.9,1,Primary,0,0,77.4,30.0,2,2,Graduated,0
GTC-00127,28,Female,Block 8 Campus,Diploma in Engineering,2,2024,Semester 2,2026,Radio Ad,64.2,1,Primary,1,0,69.6,37.9,0,2,Active,1
GTC-00128,25,Female,Main Campus - Gaborone,Certificate in Construction,1,2025,Semester 1,2026,Open Day,72.1,1,Primary,1,0,79.1,59.2,1,0,Active,0
GTC-00129,24,Female,Main Campus - Gaborone,Certificate in Construction,1,2024,Semester 1,2025,School Fair,79.7,0,None,0,0,58.1,40.8,0,2,Dropped Out,0
GTC-00130,28,Female,Block 8 Campus,Certificate in Auto Mechanics,1,2025,Semester 2,2026,Referral,22.6,1,Tertiary,0,0,80.7,52.6,1,0,Active,1
GTC-00131,45,Male,Extension Campus - Mogoditshane,Diploma in Engineering,2,2023,Semester 2,2025,Agent,25.4,1,Primary,1,0,83.0,30.0,1,1,Graduated,0
GTC-00132,41,Female,Block 8 Campus,Diploma in Engineering,2,2025,Semester 2,2027,Radio Ad,12.3,1,Primary,0,0,75.6,57.1,1,0,Active,0
GTC-00133,42,Male,Block 8 Campus,Diploma in Engineering,2,2025,Semester 1,2027,Facebook Ad,60.3,1,Tertiary,1,0,76.0,30.8,2,2,Dropped Out,0
GTC-00134,35,Female,Main Campus - Gaborone,Diploma in IT,2,2025,Semester 2,2027,Referral,1.9,0,Tertiary,0,0,73.4,47.7,2,3,Active,1
GTC-00135,26,Female,Main Campus - Gaborone,Certificate in Construction,1,2024,Semester 2,2025,School Fair,84.2,1,None,0,0,71.8,33.8,3,3,Dropped Out,0
GTC-00136,18,Male,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2024,Semester 2,2025,Facebook Ad,76.1,0,Primary,1,0,64.3,47.7,1,2,Dropped Out,0
GTC-00137,35,Male,Main Campus - Gaborone,Certificate in Construction,1,2023,Semester 1,2024,Radio Ad,64.1,0,Tertiary,0,1,51.5,30.0,1,2,Dropped Out,0
GTC-00138,30,Male,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2025,Semester 2,2026,Walk-In,8.8,1,None,1,0,86.6,75.4,0,0,Active,0
GTC-00139,33,Male,Block 8 Campus,Diploma in Health Sciences,2,2024,Semester 1,2026,Agent,7.7,1,Primary,0,1,73.5,39.0,0,2,Dropped Out,0
GTC-00140,21,Male,Main Campus - Gaborone,Diploma in Accounting,2,2024,Semester 2,2026,Referral,9.1,1,Tertiary,1,0,95.6,66.2,0,0,Active,0
GTC-00141,30,Male,Block 8 Campus,Diploma in Health Sciences,2,2024,Semester 1,2026,School Fair,48.8,1,Tertiary,1,1,87.8,60.3,1,0,Active,0
GTC-00142,29,Female,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2025,Semester 1,2026,Open Day,9.5,1,Tertiary,1,0,90.8,66.3,2,1,Active,1
GTC-00143,22,Female,Block 8 Campus,Certificate in Hospitality,1,2024,Semester 2,2025,Radio Ad,82.0,0,Secondary,0,0,67.2,56.5,1,1,Graduated,0
GTC-00144,29,Male,Extension Campus - Mogoditshane,Certificate in Hospitality,1,2025,Semester 1,2026,Walk-In,81.0,1,Primary,1,1,61.3,30.0,1,2,Dropped Out,0
GTC-00145,38,Female,Main Campus - Gaborone,Diploma in Accounting,2,2025,Semester 1,2027,Agent,67.2,1,Tertiary,0,0,71.3,67.5,0,1,Active,1
GTC-00146,43,Male,Main Campus - Gaborone,Certificate in Hospitality,1,2025,Semester 2,2026,Radio Ad,55.2,1,Tertiary,0,1,63.7,36.1,2,3,Active,1
GTC-00147,40,Male,Block 8 Campus,Certificate in Construction,1,2024,Semester 2,2025,Radio Ad,29.6,1,None,1,0,87.8,79.5,0,0,Graduated,0
GTC-00148,43,Male,Extension Campus - Mogoditshane,Certificate in Auto Mechanics,1,2024,Semester 2,2025,Facebook Ad,37.5,1,Secondary,1,1,79.0,46.7,2,2,Graduated,0
GTC-00149,41,Male,Extension Campus - Mogoditshane,Diploma in Engineering,2,2025,Semester 1,2027,Website Form,47.8,0,Primary,0,0,71.7,30.0,3,3,Active,1
GTC-00150,31,Female,Main Campus - Gaborone,Certificate in Hospitality,1,2023,Semester 2,2024,Facebook Ad,49.3,0,Primary,1,1,65.9,30.0,2,3,Dropped Out,0
GTC-00151,30,Female,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2024,Semester 2,2025,Open Day,52.7,0,Secondary,0,0,65.2,30.0,3,3,Dropped Out,0
GTC-00152,22,Female,Block 8 Campus,Diploma in Engineering,2,2025,Semester 2,2027,Agent,16.2,1,Primary,0,0,85.4,59.9,0,0,On Leave,0
GTC-00153,22,Male,Block 8 Campus,Certificate in Auto Mechanics,1,2024,Semester 2,2025,Agent,60.5,1,Primary,1,1,65.9,33.7,3,3,Dropped Out,0
GTC-00154,32,Female,Extension Campus - Mogoditshane,Certificate in Business Admin,1,2025,Semester 1,2026,Referral,66.0,0,Secondary,0,0,58.6,30.0,3,3,Active,1
GTC-00155,25,Female,Main Campus - Gaborone,Certificate in Auto Mechanics,1,2024,Semester 2,2025,Facebook Ad,37.6,0,Primary,1,0,66.8,30.0,1,2,Dropped Out,0
