machine_id,machine_type,site,age_years,cumulative_hours,days_since_maintenance,engine_temp_c,vibration,oil_pressure_psi,fail_prob,risk_level,idle_hours,fuel_cost_bwp,safety_risk
KMS-019,Haul Truck,Processing Plant,13,2782.6,54,84.3,1.64,61.5,9.689293364742314e-07,Low,1.98,8088.1,Low
KMS-020,Haul Truck,Open Pit,13,4636.0,66,69.3,2.06,62.7,9.689293364742314e-07,Low,0.31,6501.8,Low
KMS-021,Haul Truck,Waste Dump,9,4683.7,87,84.8,2.35,69.2,9.689293364742314e-07,Low,0.31,4695.1,Low
KMS-022,Haul Truck,Shaft A,10,6264.3,19,114.7,4.06,66.8,0.9998551379110613,Critical,0.9,4901.0,High
KMS-023,Haul Truck,Waste Dump,7,3775.4,262,70.2,1.91,66.3,9.689293364742314e-07,Low,0.8,7964.85,Low
KMS-024,Haul Truck,Processing Plant,13,3137.7,206,80.1,1.88,56.2,9.689293364742314e-07,Low,0.51,6394.5,Low
KMS-025,Haul Truck,Waste Dump,13,4967.1,6,78.5,2.13,65.0,9.689293364742314e-07,Low,0.83,7883.65,Low
KMS-026,Haul Truck,Waste Dump,10,5324.8,64,69.0,2.19,70.5,9.689293364742314e-07,Low,1.61,7202.15,Low
KMS-027,Haul Truck,Waste Dump,9,1806.6,82,74.5,2.26,62.0,9.689293364742314e-07,Low,0.84,7515.35,Low
KMS-028,Haul Truck,Shaft A,11,1858.1,98,77.7,1.63,64.6,9.689293364742314e-07,Low,0.87,4486.3,Low
KMS-029,Haul Truck,Shaft B,14,4236.6,227,79.7,1.93,68.5,9.689293364742314e-07,Low,0.06,5557.85,Low
KMS-030,Haul Truck,Shaft A,10,4787.3,73,84.4,2.15,75.9,9.689293364742314e-07,Low,0.01,6024.75,Low
KMS-031,Haul Truck,Shaft A,11,6143.0,83,79.4,1.94,74.8,9.689293364742314e-07,Low,0.28,7460.25,Low
KMS-032,Haul Truck,Open Pit,8,3317.9,3,83.7,1.87,66.3,9.689293364742314e-07,Low,0.51,4990.9,Low
KMS-033,Drill Rig,Open Pit,7,2733.1,275,75.4,3.68,75.3,9.689293364742314e-07,Low,0.07,3683.0,Low
KMS-034,Drill Rig,Open Pit,12,2687.6,157,78.6,3.68,57.9,9.689293364742314e-07,Low,1.26,4229.65,Low
KMS-035,Drill Rig,Shaft B,9,2357.3,97,81.9,4.06,77.6,9.689293364742314e-07,Low,0.52,3567.0,Medium
KMS-036,Drill Rig,Shaft A,10,3147.2,200,84.9,3.77,71.5,9.689293364742314e-07,Low,0.99,3514.8,Low
KMS-037,Drill Rig,Shaft B,5,3818.0,272,83.6,3.58,61.0,9.689293364742314e-07,Low,1.08,3400.25,Low
KMS-038,Drill Rig,Shaft B,6,3604.8,88,80.0,3.29,67.1,9.689293364742314e-07,Low,0.4,4612.45,Low
KMS-039,Drill Rig,Processing Plant,12,4012.5,13,82.3,3.91,68.5,9.689293364742314e-07,Low,0.29,2942.05,Low
KMS-040,Drill Rig,Open Pit,8,3100.6,272,71.2,3.92,63.9,9.689293364742314e-07,Low,1.05,2871.0,Low
KMS-041,Loader,Shaft B,6,5063.8,93,68.4,1.82,67.0,9.689293364742314e-07,Low,1.1,3652.55,Low
KMS-042,Loader,Shaft A,9,4966.5,38,79.1,1.72,61.4,9.689293364742314e-07,Low,0.16,3857.0,Low
KMS-043,Loader,Shaft A,11,4977.7,14,79.5,2.58,63.8,9.689293364742314e-07,Low,0.23,3639.5,Low
KMS-044,Loader,Processing Plant,9,3068.3,232,81.1,2.18,56.7,9.689293364742314e-07,Low,3.33,3320.5,Low
KMS-045,Loader,Shaft A,10,3720.3,208,83.9,1.86,56.7,9.689293364742314e-07,Low,1.0,4554.45,Low
KMS-046,Loader,Waste Dump,11,2298.8,240,72.1,2.49,61.6,9.689293364742314e-07,Low,1.11,3471.3,Low
KMS-047,Loader,Shaft B,9,3063.7,103,78.3,2.62,64.4,9.689293364742314e-07,Low,4.42,3973.0,Low
KMS-048,Loader,Processing Plant,7,4353.0,16,77.6,2.62,58.4,9.689293364742314e-07,Low,1.34,4898.1,Low
KMS-049,Loader,Shaft B,7,2351.3,126,75.2,2.17,60.5,9.689293364742314e-07,Low,0.73,5035.85,Low
KMS-050,Loader,Shaft B,10,3667.5,255,76.0,2.05,54.8,9.689293364742314e-07,Low,0.88,4522.55,Low
KMS-051,Crusher,Waste Dump,11,3347.5,1,66.7,4.77,74.8,9.689293364742314e-07,Low,1.01,4441.35,Medium
KMS-052,Crusher,Open Pit,6,5647.6,213,69.9,3.95,65.4,9.689293364742314e-07,Low,1.21,6978.85,Low
KMS-053,Crusher,Processing Plant,5,2129.7,269,82.8,4.47,61.3,9.689293364742314e-07,Low,0.26,5019.9,Medium
KMS-054,Crusher,Processing Plant,5,2154.4,177,71.3,4.66,64.5,9.689293364742314e-07,Low,0.16,4590.7,Medium
KMS-055,Dozer,Shaft B,9,2048.8,276,86.4,3.07,64.1,9.689293364742314e-07,Low,0.24,4863.3,Low
KMS-056,Dozer,Waste Dump,12,3543.4,229,82.1,2.58,67.2,9.689293364742314e-07,Low,0.18,4062.9,Low
KMS-057,Dozer,Shaft A,7,4542.3,18,70.5,2.84,77.1,9.689293364742314e-07,Low,0.53,5006.85,Low
KMS-058,Dozer,Shaft A,14,2833.4,17,67.0,2.58,76.1,9.689293364742314e-07,Low,0.98,3942.55,Low
KMS-059,Dozer,Shaft B,12,4458.1,40,86.4,2.58,57.9,9.689293364742314e-07,Low,0.28,4042.6,Low
KMS-060,Dozer,Waste Dump,8,1856.3,42,70.7,2.76,61.5,9.689293364742314e-07,Low,0.46,3266.85,Low
KMS-061,Dozer,Processing Plant,13,3890.0,210,80.7,2.56,62.1,9.689293364742314e-07,Low,1.65,2730.35,Low
KMS-062,Dozer,Waste Dump,8,3485.2,17,76.6,2.69,52.6,9.689293364742314e-07,Low,0.11,3356.75,Low
KMS-063,Grader,Waste Dump,7,3449.5,219,72.8,1.48,66.6,9.689293364742314e-07,Low,0.5,2069.15,Low
KMS-064,Grader,Waste Dump,10,3245.2,46,86.4,1.42,58.4,9.689293364742314e-07,Low,0.47,2380.9,Low
KMS-065,Grader,Shaft A,14,3551.4,132,73.3,1.75,65.0,9.689293364742314e-07,Low,0.26,2871.0,Low
KMS-066,Grader,Open Pit,6,2152.1,265,79.5,2.08,59.4,9.689293364742314e-07,Low,0.72,2965.25,Low
KMS-067,Grader,Shaft A,9,4355.7,36,118.0,3.53,50.0,0.9999159387776336,Critical,0.34,2376.55,Critical
KMS-068,Grader,Processing Plant,10,3126.2,171,80.1,1.36,59.3,9.689293364742314e-07,Low,1.11,2656.4,Low
KMS-069,Water Truck,Processing Plant,12,2698.4,34,84.6,1.71,60.4,9.689293364742314e-07,Low,0.19,2900.0,Low
KMS-070,Water Truck,Open Pit,14,2162.2,133,80.9,1.83,55.6,9.689293364742314e-07,Low,0.49,2540.4,Low
KMS-071,Water Truck,Shaft B,6,2945.7,242,82.1,1.51,76.6,9.689293364742314e-07,Low,1.0,2243.15,Low
KMS-072,Water Truck,Shaft A,6,2472.3,257,83.0,1.96,72.7,9.689293364742314e-07,Low,0.68,2253.3,Low
KMS-073,Water Truck,Waste Dump,10,4684.7,240,77.8,1.5,63.5,9.689293364742314e-07,Low,0.76,3297.3,Low
KMS-074,Water Truck,Shaft B,5,1822.4,72,76.5,2.11,57.4,9.689293364742314e-07,Low,0.65,3855.55,Low
KMS-075,Compressor,Open Pit,12,3405.7,54,75.7,4.0,60.9,9.689293364742314e-07,Low,0.7,1944.45,Low
KMS-076,Compressor,Waste Dump,12,1929.8,65,69.3,4.45,63.6,9.689293364742314e-07,Low,2.09,1880.65,Medium
KMS-077,Compressor,Shaft A,6,1762.1,106,67.2,3.95,65.8,9.689293364742314e-07,Low,0.6,1697.95,Low
KMS-078,Compressor,Open Pit,5,2359.5,42,66.0,4.38,63.4,9.689293364742314e-07,Low,0.82,2095.25,Medium
KMS-079,Conveyor Belt,Shaft A,7,2923.7,201,72.8,3.4,57.1,9.689293364742314e-07,Low,0.74,836.65,Low
KMS-080,Conveyor Belt,Open Pit,13,4871.7,101,75.3,3.39,54.1,9.689293364742314e-07,Low,1.72,1113.6,Low
