request_id,department,service_type,channel,district,officer_id,submit_date,resolution_date,sla_target_days,actual_days,within_sla,sla_breach_days,escalated,status,complexity,citizen_satisfaction
BPS-02516,Social Welfare,Social Grant,Digital,Gaborone,SWL-007,2023-06-24,2023-07-06,21,12.0,1,0.0,0,Resolved,1.0,3.9
BPS-03586,Land Board,Consent to Transfer,In-Person,Maun,LBD-001,2023-08-06,2023-09-09,21,34.0,0,13.0,0,Resolved,1.3,
BPS-04316,Works,Infrastructure Defect,Digital,Molepolole,WRK-001,2024-02-24,2024-03-11,14,16.3,0,2.3,0,Resolved,1.2,3.2
BPS-04967,Motor Registry,Roadworthy Certificate,Digital,Serowe,MTR-014,2022-09-24,2022-09-25,5,1.0,1,0.0,0,Resolved,1.0,
BPS-02100,BURS,Tax Registration,In-Person,Palapye,BRS-011,2022-05-29,2022-06-07,10,9.2,1,0.0,0,Resolved,0.9,4.5
BPS-03600,Land Board,Consent to Transfer,In-Person,Kanye,LBD-003,2024-05-30,2024-07-27,21,58.0,0,37.0,1,Resolved,1.3,1.0
BPS-04122,Works,Utility Request,In-Person,Lobatse,WRK-005,2022-01-09,2022-01-19,14,10.3,1,0.0,0,Resolved,0.9,
BPS-00030,Health,Medical Certificate,In-Person,Maun,HLT-008,2022-04-27,2022-05-01,7,4.7,1,0.0,0,Resolved,0.8,
BPS-00066,Health,Patient Query,Phone,Lobatse,HLT-007,2024-05-13,2024-05-19,7,6.5,1,0.0,0,Resolved,0.7,
BPS-00839,Education,Student Enrollment,Phone,Gaborone,EDU-003,2022-06-16,2022-06-27,14,11.4,1,0.0,0,Resolved,0.9,4.3
BPS-03907,Works,Infrastructure Defect,Digital,Palapye,WRK-006,2024-08-10,2024-08-27,14,17.2,0,3.2,0,Resolved,1.2,
BPS-03774,Land Board,Land Allocation,In-Person,Francistown,LBD-005,2023-12-10,2024-01-31,21,52.3,0,31.3,1,Resolved,1.5,1.8
BPS-04636,Motor Registry,Roadworthy Certificate,In-Person,Gaborone,MTR-014,2023-12-22,2023-12-23,5,1.0,1,0.0,0,Resolved,1.0,5.0
BPS-03162,Immigration,Citizenship Application,Phone,Maun,IMG-007,2023-06-21,2023-08-05,30,45.8,0,15.8,0,Resolved,1.6,2.3
BPS-02660,Social Welfare,Destitute Support,Digital,Molepolole,SWL-001,2024-09-25,2024-10-16,21,21.6,0,0.6,0,Resolved,1.3,2.9
BPS-04616,Motor Registry,Number Plate,In-Person,Gaborone,MTR-004,2022-03-25,2022-03-26,5,1.9,1,0.0,0,Resolved,0.8,
BPS-04629,Motor Registry,Number Plate,Digital,Kanye,MTR-005,2023-06-11,2023-06-14,5,3.6,1,0.0,0,Resolved,0.8,5.0
BPS-02452,BURS,Compliance Certificate,Digital,Gaborone,BRS-005,2022-11-02,2022-11-06,10,4.1,1,0.0,0,Resolved,0.85,
BPS-02847,Social Welfare,Social Grant,In-Person,Serowe,SWL-007,2024-01-19,2024-02-01,21,13.3,1,0.0,0,Resolved,1.0,4.1
BPS-01145,Education,Student Enrollment,In-Person,Kanye,EDU-007,2023-09-01,2023-09-11,14,10.1,1,0.0,0,Resolved,0.9,4.4
BPS-03079,Social Welfare,Social Grant,Post,Lobatse,SWL-001,2022-07-31,2022-08-24,21,24.5,0,3.5,0,Resolved,1.0,2.7
BPS-01104,Education,Student Enrollment,In-Person,Francistown,EDU-001,2025-01-20,2025-01-29,14,9.4,1,0.0,0,Resolved,0.9,4.6
BPS-00169,Health,Facility Request,In-Person,Lobatse,HLT-004,2024-08-18,2024-08-24,7,6.6,1,0.0,0,Resolved,1.1,3.9
BPS-01671,Police,Protection Service,In-Person,Francistown,POL-008,2022-07-27,2022-08-01,5,5.1,0,0.1,0,Resolved,1.3,2.8
BPS-02571,Social Welfare,Social Grant,Digital,Molepolole,SWL-006,2023-07-30,2023-08-10,21,11.1,1,0.0,0,Resolved,1.0,4.5
BPS-02378,BURS,Tax Registration,In-Person,Gaborone,BRS-006,2022-02-16,2022-02-19,10,3.0,1,0.0,0,Resolved,0.9,3.6
BPS-04396,Motor Registry,Driver Licence,In-Person,Molepolole,MTR-008,2025-01-26,2025-01-29,5,3.9,1,0.0,0,Resolved,0.95,
BPS-04258,Works,Utility Request,In-Person,Palapye,WRK-008,2024-07-20,2024-08-07,14,18.0,0,4.0,0,Resolved,0.9,2.9
BPS-03863,Land Board,Land Certificate,In-Person,Gaborone,LBD-002,2023-06-28,2023-08-25,21,58.0,0,37.0,1,Resolved,1.2,1.0
BPS-00024,Health,Medical Certificate,Digital,Francistown,HLT-011,2022-05-05,2022-05-06,7,1.0,1,0.0,0,Resolved,0.8,4.5
BPS-02634,Social Welfare,Destitute Support,In-Person,Palapye,SWL-001,2024-03-27,2024-04-23,21,27.3,0,6.3,0,Resolved,1.3,
BPS-03341,Immigration,Border Documentation,In-Person,Molepolole,IMG-007,2022-09-04,2022-10-03,30,29.6,1,0.0,0,Resolved,0.9,3.3
BPS-02216,BURS,Tax Registration,In-Person,Gaborone,BRS-002,2024-07-29,2024-08-06,10,8.7,1,0.0,0,Resolved,0.9,4.3
BPS-03683,Land Board,Consent to Transfer,In-Person,Serowe,LBD-006,2023-08-07,2023-10-13,21,67.9,0,46.9,1,Resolved,1.3,1.0
BPS-04725,Motor Registry,Vehicle Licensing,In-Person,Palapye,MTR-004,2023-06-19,2023-06-22,5,3.6,1,0.0,0,Resolved,0.9,5.0
BPS-01908,Police,Clearance Certificate,Digital,Francistown,POL-014,2024-03-26,2024-03-27,5,1.0,1,0.0,0,Resolved,0.85,
BPS-00085,Health,Medical Certificate,In-Person,Lobatse,HLT-010,2022-06-24,2022-06-27,7,3.5,1,0.0,0,Resolved,0.8,4.0
BPS-00228,Health,Patient Query,Post,Maun,HLT-005,2022-08-12,2022-08-13,7,1.6,1,0.0,0,Resolved,0.7,
BPS-00297,Health,Specialist Referral,In-Person,Palapye,HLT-001,2022-08-03,2022-08-13,7,10.0,0,3.0,1,Resolved,1.2,3.1
BPS-01002,Education,Teacher Posting,In-Person,Molepolole,EDU-002,2024-03-25,2024-04-13,14,19.6,0,5.6,1,Resolved,1.3,1.3
BPS-02139,BURS,Assessment Dispute,Digital,Francistown,BRS-004,2022-04-09,2022-04-13,10,4.9,1,0.0,0,Resolved,1.5,4.5
BPS-00712,Health,Specialist Referral,Post,Gaborone,HLT-010,2023-01-04,2023-01-12,7,8.6,0,1.6,1,Resolved,1.2,1.7
BPS-02802,Social Welfare,Old Age Pension,Digital,Kanye,SWL-001,2024-02-13,2024-03-12,21,28.7,0,7.7,0,Resolved,1.1,2.8
BPS-02528,Social Welfare,Destitute Support,Phone,Molepolole,SWL-002,2023-02-02,2023-02-26,21,24.6,0,3.6,0,Resolved,1.3,2.6
BPS-03753,Land Board,Land Use Approval,In-Person,Kanye,LBD-001,2023-04-10,2023-08-01,21,113.5,0,92.5,1,Resolved,1.6,1.4
BPS-03322,Immigration,Permanent Residency,In-Person,Gaborone,IMG-005,2022-12-12,2023-01-07,30,26.6,1,0.0,0,Resolved,1.4,
BPS-03182,Immigration,Border Documentation,In-Person,Francistown,IMG-007,2022-08-30,2022-09-27,30,28.4,1,0.0,0,Resolved,0.9,3.0
BPS-04184,Works,Asset Management,In-Person,Serowe,WRK-006,2022-02-17,2022-02-27,14,10.6,1,0.0,0,Resolved,1.1,4.4
BPS-01616,Police,Clearance Certificate,Phone,Serowe,POL-011,2022-09-04,2022-09-12,5,8.0,0,3.0,0,Resolved,0.85,2.7
BPS-03025,Social Welfare,Destitute Support,In-Person,Gaborone,SWL-004,2023-06-05,2023-06-11,21,6.6,1,0.0,0,Resolved,1.3,3.8
BPS-01414,Education,Teacher Posting,In-Person,Maun,EDU-006,2023-05-13,2023-06-09,14,27.8,0,13.8,1,Resolved,1.3,2.0
BPS-00764,Health,Specialist Referral,In-Person,Lobatse,HLT-009,2024-02-03,2024-02-10,7,7.3,0,0.3,0,Resolved,1.2,
BPS-00656,Health,Facility Request,In-Person,Palapye,HLT-008,2022-12-16,2022-12-22,7,6.8,1,0.0,0,Resolved,1.1,4.4
BPS-04798,Motor Registry,Driver Licence,In-Person,Kanye,MTR-010,2024-11-05,2024-11-06,5,1.8,1,0.0,0,Resolved,0.95,4.6
BPS-03850,Land Board,Land Allocation,Digital,Serowe,LBD-002,2023-03-21,2023-04-14,21,24.6,0,3.6,0,Resolved,1.5,
BPS-04154,Works,Utility Request,In-Person,Serowe,WRK-005,2024-06-02,2024-06-11,14,9.8,1,0.0,0,Resolved,0.9,3.5
BPS-00469,Health,Medical Certificate,In-Person,Palapye,HLT-006,2023-05-08,2023-05-12,7,4.8,1,0.0,0,Resolved,0.8,3.7
BPS-00158,Health,Patient Query,In-Person,Molepolole,HLT-002,2024-08-05,2024-08-08,7,3.2,1,0.0,0,Resolved,0.7,3.5
BPS-01296,Education,Teacher Posting,In-Person,Kanye,EDU-005,2022-07-23,2022-08-06,14,14.0,1,0.0,0,Resolved,1.3,4.3
BPS-00498,Health,Facility Request,In-Person,Maun,HLT-010,2024-04-21,2024-04-27,7,6.5,1,0.0,0,Resolved,1.1,4.0
BPS-04741,Motor Registry,Number Plate,In-Person,Kanye,MTR-014,2023-10-04,2023-10-06,5,2.4,1,0.0,0,Resolved,0.8,5.0
BPS-02941,Social Welfare,Orphan Welfare,In-Person,Molepolole,SWL-008,2023-02-11,2023-03-14,21,31.6,0,10.6,1,Resolved,1.2,1.9
BPS-03457,Land Board,Land Allocation,Post,Lobatse,LBD-006,2024-10-14,2025-02-18,21,127.9,0,106.9,1,Resolved,1.5,1.1
BPS-00374,Health,Facility Request,Phone,Kanye,HLT-008,2022-12-23,2022-12-31,7,8.6,0,1.6,0,Resolved,1.1,2.2
BPS-00080,Health,Medical Certificate,Digital,Francistown,HLT-006,2025-01-02,2025-01-04,7,2.0,1,0.0,0,Resolved,0.8,
BPS-01554,Police,Document Request,Phone,Palapye,POL-006,2023-02-15,2023-02-17,5,2.0,1,0.0,0,Resolved,0.75,3.8
BPS-01670,Police,Clearance Certificate,In-Person,Maun,POL-013,2024-02-11,2024-02-16,5,5.1,0,0.1,0,Resolved,0.85,2.7
BPS-02132,BURS,Tax Registration,Post,Molepolole,BRS-008,2022-07-14,2022-07-22,10,8.0,1,0.0,0,Resolved,0.9,
BPS-04440,Motor Registry,Driver Licence,Phone,Francistown,MTR-006,2024-09-10,2024-09-12,5,2.3,1,0.0,0,Resolved,0.95,4.2
BPS-00466,Health,Patient Query,In-Person,Kanye,HLT-010,2022-05-30,2022-06-03,7,4.1,1,0.0,0,Resolved,0.7,
BPS-00249,Health,Specialist Referral,Digital,Francistown,HLT-006,2023-01-01,2023-01-11,7,10.7,0,3.7,1,Resolved,1.2,2.5
BPS-00932,Education,Scholarship Application,In-Person,Maun,EDU-009,2022-10-29,2022-11-24,14,26.6,0,12.6,1,Resolved,1.4,2.4
BPS-01336,Education,Teacher Posting,In-Person,Serowe,EDU-009,2023-12-08,2023-12-19,14,11.4,1,0.0,0,Resolved,1.3,3.4
BPS-04525,Motor Registry,Roadworthy Certificate,In-Person,Palapye,MTR-002,2022-11-15,2022-11-19,5,4.3,1,0.0,0,Resolved,1.0,4.8
BPS-01339,Education,School Admin,In-Person,Palapye,EDU-005,2023-03-05,2023-03-13,14,8.7,1,0.0,0,Resolved,0.8,4.7
BPS-01407,Education,Teacher Posting,In-Person,Maun,EDU-004,2024-08-25,2024-09-02,14,8.7,1,0.0,0,Resolved,1.3,3.8
BPS-01091,Education,Teacher Posting,Digital,Palapye,EDU-001,2024-10-28,2024-11-06,14,9.9,1,0.0,0,Resolved,1.3,3.9
BPS-04210,Works,Utility Request,In-Person,Gaborone,WRK-005,2022-08-27,2022-09-02,14,6.3,1,0.0,0,Resolved,0.9,
BPS-00743,Health,Specialist Referral,In-Person,Gaborone,HLT-002,2023-10-11,2023-10-15,7,4.2,1,0.0,0,Resolved,1.2,3.8
BPS-02324,BURS,Tax Registration,Digital,Palapye,BRS-008,2024-04-19,2024-04-29,10,10.5,0,0.5,0,Resolved,0.9,3.8
BPS-03602,Land Board,Land Use Approval,In-Person,Molepolole,LBD-001,2023-03-04,2023-04-28,21,55.7,0,34.7,1,Resolved,1.6,1.4
BPS-02124,BURS,Compliance Certificate,In-Person,Francistown,BRS-003,2024-08-17,2024-08-23,10,6.6,1,0.0,0,Resolved,0.85,4.0
BPS-02095,BURS,Assessment Dispute,In-Person,Molepolole,BRS-001,2024-01-30,2024-02-16,10,17.5,0,7.5,1,Resolved,1.5,2.6
BPS-00241,Health,Patient Query,In-Person,Palapye,HLT-009,2025-01-05,2025-01-08,7,3.3,1,0.0,0,Resolved,0.7,3.3
BPS-02352,BURS,Tax Registration,Phone,Serowe,BRS-008,2022-10-21,2022-10-28,10,7.6,1,0.0,0,Resolved,0.9,
BPS-01371,Education,Teacher Posting,Digital,Gaborone,EDU-006,2024-09-04,2024-09-14,14,10.0,1,0.0,0,Resolved,1.3,4.6
BPS-01058,Education,Teacher Posting,In-Person,Palapye,EDU-006,2024-10-25,2024-11-15,14,21.2,0,7.2,0,Resolved,1.3,3.8
BPS-04817,Motor Registry,Vehicle Licensing,Post,Serowe,MTR-010,2022-06-02,2022-06-06,5,4.3,1,0.0,0,Resolved,0.9,5.0
BPS-00200,Health,Patient Query,In-Person,Maun,HLT-009,2022-09-22,2022-09-23,7,1.0,1,0.0,0,Resolved,0.7,
BPS-02281,BURS,VAT Filing,Post,Serowe,BRS-008,2023-01-20,2023-01-21,10,1.0,1,0.0,0,Resolved,1.0,
BPS-04750,Motor Registry,Driver Licence,Digital,Serowe,MTR-014,2023-06-08,2023-06-09,5,1.7,1,0.0,0,Resolved,0.95,4.9
BPS-02221,BURS,Assessment Dispute,In-Person,Kanye,BRS-003,2022-11-12,2022-11-22,10,10.0,1,0.0,0,Resolved,1.5,3.6
BPS-04772,Motor Registry,Vehicle Licensing,In-Person,Kanye,MTR-002,2022-02-14,2022-02-15,5,1.0,1,0.0,0,Resolved,0.9,5.0
BPS-02820,Social Welfare,Destitute Support,Digital,Molepolole,SWL-003,2023-07-18,2023-07-21,21,3.8,1,0.0,0,Resolved,1.3,3.9
BPS-03151,Immigration,Permanent Residency,In-Person,Francistown,IMG-003,2023-01-12,2023-02-28,30,47.3,0,17.3,1,Resolved,1.4,1.6
BPS-04257,Works,Infrastructure Defect,Digital,Gaborone,WRK-002,2023-05-08,2023-05-16,14,8.3,1,0.0,0,Resolved,1.2,3.9
BPS-03108,Immigration,Border Documentation,Digital,Serowe,IMG-001,2022-01-04,2022-01-24,30,20.0,1,0.0,0,Resolved,0.9,3.2
BPS-01974,Police,Clearance Certificate,In-Person,Francistown,POL-001,2022-10-03,2022-10-07,5,4.2,1,0.0,0,Resolved,0.85,3.5
BPS-01376,Education,School Admin,Phone,Maun,EDU-004,2024-10-20,2024-10-27,14,7.9,1,0.0,0,Resolved,0.8,4.4
BPS-03969,Works,Utility Request,In-Person,Lobatse,WRK-009,2023-08-02,2023-08-21,14,19.8,0,5.8,0,Resolved,0.9,2.0
BPS-04063,Works,Asset Management,In-Person,Maun,WRK-008,2023-05-24,2023-05-31,14,7.8,1,0.0,0,Resolved,1.1,4.2
BPS-04446,Motor Registry,Vehicle Licensing,In-Person,Molepolole,MTR-002,2024-03-23,2024-03-25,5,2.4,1,0.0,0,Resolved,0.9,
BPS-03558,Land Board,Consent to Transfer,Phone,Palapye,LBD-002,2022-07-06,2022-09-03,21,59.4,0,38.4,1,Resolved,1.3,1.1
BPS-00965,Education,Teacher Posting,In-Person,Maun,EDU-008,2023-09-28,2023-10-11,14,13.4,1,0.0,0,Resolved,1.3,3.9
BPS-00180,Health,Patient Query,In-Person,Kanye,HLT-001,2022-05-19,2022-05-28,7,9.1,0,2.1,0,Resolved,0.7,3.2
BPS-03699,Land Board,Consent to Transfer,Digital,Molepolole,LBD-006,2023-10-04,2023-12-03,21,60.5,0,39.5,1,Resolved,1.3,1.3
BPS-03822,Land Board,Land Certificate,In-Person,Maun,LBD-003,2023-02-15,2023-04-21,21,65.9,0,44.9,1,Resolved,1.2,
BPS-04879,Motor Registry,Vehicle Licensing,In-Person,Molepolole,MTR-008,2023-06-23,2023-06-24,5,1.0,1,0.0,0,Resolved,0.9,
BPS-03900,Works,Asset Management,Digital,Molepolole,WRK-001,2023-12-19,2023-12-29,14,10.8,1,0.0,0,Resolved,1.1,3.4
BPS-04488,Motor Registry,Driver Licence,Digital,Kanye,MTR-010,2024-01-14,2024-01-15,5,1.0,1,0.0,0,Resolved,0.95,5.0
BPS-03239,Immigration,Permanent Residency,Digital,Serowe,IMG-002,2023-05-13,2023-06-08,30,26.4,1,0.0,0,Resolved,1.4,4.8
BPS-02975,Social Welfare,Old Age Pension,In-Person,Palapye,SWL-008,2024-08-10,2024-09-06,21,27.5,0,6.5,0,Resolved,1.1,2.7
BPS-03581,Land Board,Land Certificate,Phone,Francistown,LBD-003,2023-04-05,2023-07-06,21,92.7,0,71.7,1,Resolved,1.2,
BPS-02888,Social Welfare,Social Grant,In-Person,Lobatse,SWL-002,2023-11-10,2023-12-07,21,27.1,0,6.1,0,Resolved,1.0,
BPS-02576,Social Welfare,Social Grant,In-Person,Francistown,SWL-005,2023-02-07,2023-02-16,21,9.3,1,0.0,0,Resolved,1.0,3.8
BPS-01420,Education,Teacher Posting,Post,Kanye,EDU-003,2024-12-07,2024-12-28,14,21.0,0,7.0,0,Resolved,1.3,
BPS-03908,Works,Utility Request,In-Person,Maun,WRK-007,2022-07-25,2022-07-30,14,5.9,1,0.0,0,Resolved,0.9,4.0
BPS-04674,Motor Registry,Roadworthy Certificate,Digital,Molepolole,MTR-010,2023-06-26,2023-06-27,5,1.5,1,0.0,0,Resolved,1.0,5.0
BPS-04903,Motor Registry,Driver Licence,Digital,Maun,MTR-014,2023-02-17,2023-02-18,5,1.8,1,0.0,0,Resolved,0.95,5.0
BPS-01861,Police,Case Registration,In-Person,Serowe,POL-003,2022-02-24,2022-02-28,5,4.6,1,0.0,0,Resolved,1.1,
BPS-00009,Health,Patient Query,Post,Serowe,HLT-011,2023-10-27,2023-11-01,7,5.1,1,0.0,0,Resolved,0.7,
BPS-02895,Social Welfare,Orphan Welfare,Digital,Maun,SWL-002,2024-02-15,2024-03-04,21,18.8,1,0.0,0,Resolved,1.2,3.6
BPS-02848,Social Welfare,Old Age Pension,In-Person,Palapye,SWL-002,2022-11-16,2022-11-29,21,13.2,1,0.0,0,Resolved,1.1,3.8
BPS-03665,Land Board,Land Allocation,In-Person,Gaborone,LBD-004,2023-07-02,2023-10-14,21,104.4,0,83.4,1,Resolved,1.5,1.2
BPS-00145,Health,Patient Query,Phone,Francistown,HLT-010,2022-04-18,2022-04-23,7,5.3,1,0.0,0,Resolved,0.7,
BPS-02105,BURS,Assessment Dispute,Digital,Maun,BRS-011,2024-09-26,2024-09-29,10,3.7,1,0.0,0,Resolved,1.5,5.0
BPS-03144,Immigration,Work Permit,Digital,Francistown,IMG-002,2023-06-13,2023-07-01,30,18.1,1,0.0,0,Resolved,1.2,
BPS-00842,Education,Student Enrollment,In-Person,Serowe,EDU-003,2024-03-27,2024-04-10,14,14.7,0,0.7,1,Resolved,0.9,2.7
BPS-01129,Education,School Admin,Phone,Francistown,EDU-009,2024-10-25,2024-11-02,14,8.3,1,0.0,0,Resolved,0.8,3.9
BPS-00152,Health,Facility Request,Phone,Francistown,HLT-006,2024-06-13,2024-06-20,7,7.6,0,0.6,0,Resolved,1.1,2.5
BPS-03592,Land Board,Consent to Transfer,Phone,Molepolole,LBD-004,2022-06-28,2022-09-06,21,70.9,0,49.9,1,Resolved,1.3,
BPS-01053,Education,Scholarship Application,In-Person,Lobatse,EDU-004,2022-01-21,2022-02-11,14,21.5,0,7.5,1,Resolved,1.4,2.9
BPS-01591,Police,Case Registration,In-Person,Serowe,POL-011,2024-09-01,2024-09-03,5,2.9,1,0.0,0,Resolved,1.1,3.3
BPS-03009,Social Welfare,Old Age Pension,Phone,Francistown,SWL-005,2022-12-22,2023-01-16,21,25.5,0,4.5,1,Resolved,1.1,
BPS-02030,BURS,Tax Registration,Phone,Francistown,BRS-007,2023-12-28,2024-01-01,10,4.1,1,0.0,0,Resolved,0.9,4.4
BPS-03419,Immigration,Citizenship Application,Phone,Molepolole,IMG-001,2023-03-13,2023-04-03,30,21.4,1,0.0,0,Resolved,1.6,3.0
BPS-01808,Police,Document Request,In-Person,Maun,POL-004,2024-10-14,2024-10-18,5,4.0,1,0.0,0,Resolved,0.75,3.9
BPS-02697,Social Welfare,Destitute Support,Digital,Gaborone,SWL-003,2024-09-16,2024-10-09,21,23.0,0,2.0,1,Resolved,1.3,2.5
BPS-03040,Social Welfare,Social Grant,Digital,Molepolole,SWL-002,2022-10-17,2022-10-29,21,12.2,1,0.0,0,Resolved,1.0,3.8
BPS-00473,Health,Facility Request,Phone,Molepolole,HLT-004,2022-05-28,2022-05-29,7,1.6,1,0.0,0,Resolved,1.1,3.8
BPS-03290,Immigration,Border Documentation,In-Person,Molepolole,IMG-001,2022-01-18,2022-02-08,30,21.7,1,0.0,0,Resolved,0.9,4.2
BPS-04075,Works,Utility Request,Phone,Molepolole,WRK-003,2022-10-13,2022-10-21,14,8.6,1,0.0,0,Resolved,0.9,3.0
BPS-03497,Land Board,Land Certificate,Post,Gaborone,LBD-006,2024-03-31,2024-07-04,21,95.8,0,74.8,1,Resolved,1.2,1.5
BPS-00280,Health,Facility Request,Post,Gaborone,HLT-006,2023-07-14,2023-07-21,7,7.2,0,0.2,0,Resolved,1.1,2.3
BPS-01742,Police,Case Registration,Phone,Molepolole,POL-001,2024-04-11,2024-04-15,5,4.1,1,0.0,0,Resolved,1.1,3.7
BPS-04625,Motor Registry,Number Plate,In-Person,Serowe,MTR-015,2023-03-28,2023-03-31,5,3.4,1,0.0,0,Resolved,0.8,5.0
BPS-02887,Social Welfare,Old Age Pension,In-Person,Kanye,SWL-005,2023-03-21,2023-04-06,21,16.4,1,0.0,0,Resolved,1.1,3.9
BPS-01942,Police,Case Registration,In-Person,Serowe,POL-006,2022-08-08,2022-08-11,5,3.9,1,0.0,0,Resolved,1.1,4.1
BPS-00101,Health,Patient Query,In-Person,Palapye,HLT-008,2023-05-15,2023-05-16,7,1.0,1,0.0,0,Resolved,0.7,
BPS-02805,Social Welfare,Social Grant,Digital,Maun,SWL-006,2023-03-20,2023-03-31,21,11.9,1,0.0,0,Resolved,1.0,4.4
