property_id,city,suburb,property_type,transaction_type,agent,bedrooms,bathrooms,floor_area_sqm,plot_size_sqm,age_years,has_pool,has_garage,is_gated_community,true_market_value,listed_price,sale_price,monthly_rent_bwp,rental_yield_pct,pricing_error_pct,commission_earned_bwp,commission_lost_bwp,listing_date,closed_date,days_on_market,viewings_count,referral_source,client_satisfaction,deal_status
PPG-00022,Maun,Boseja,Commercial Office,Rental,Agent_Lesego,0,0,394,1124,18,0,0,1,7697142.857142856,44900.0,44900.0,44900.0,7.0,0.0,44900.0,0.0,2025-01-23,2025-02-06,14,5,Cold Call,4.1,Closed
PPG-00023,Gaborone,Phase 2,Townhouse,Rental,Agent_Mpho,5,4,389,1252,28,0,1,0,2897142.857142857,16900.0,16900.0,16900.0,7.0,0.0,16900.0,0.0,2024-06-22,2024-08-06,45,6,Walk-in,4.3,Closed
PPG-00024,Francistown,Monarch,Retail Space,Sale,Agent_Gomolemo,0,0,377,760,12,0,1,1,4125000.0,4087000.0,3993000.0,0.0,0.0,-0.92,199650.0,1900.0,2024-05-31,2024-11-21,174,17,Walk-in,3.4,Closed
PPG-00025,Maun,Sedie Ward,Plot,Sale,Agent_Kabo,0,0,0,548,29,0,0,1,90000.0,87000.0,87000.0,0.0,0.0,-3.33,4350.0,150.0,2025-04-01,2025-05-18,47,7,Agent Network,,Closed
PPG-00026,Gaborone,Phase 2,Retail Space,Rental,Agent_Gomolemo,0,0,304,862,28,0,1,1,3599999.9999999995,21000.0,21000.0,21000.0,7.0,0.0,21000.0,0.0,2024-11-23,2024-12-30,37,4,Walk-in,,Closed
PPG-00027,Francistown,Somerset,Warehouse,Sale,Agent_Mpho,0,0,484,1134,21,0,1,0,6386000.0,6569000.0,6005000.0,0.0,0.0,2.87,300250.0,0.0,2024-12-26,2025-03-19,83,11,Agent Network,4.5,Closed
PPG-00028,Maun,Matlapana,Plot,Sale,Agent_Mpho,0,0,0,1192,31,0,0,1,126000.0,126000.0,126000.0,0.0,0.0,0.0,6300.0,0.0,2025-02-18,2025-04-08,49,5,Agent Network,4.1,Closed
PPG-00029,Francistown,Monarch,House,Rental,Agent_Boago,2,1,532,672,3,0,1,0,2348571.428571428,13700.0,13700.0,13700.0,7.0,0.0,13700.0,0.0,2025-01-23,2025-02-12,20,4,Agent Network,3.9,Closed
PPG-00030,Maun,Sedie Ward,House,Sale,Agent_Lesego,1,1,101,1844,1,0,1,1,187000.0,188000.0,184000.0,0.0,0.0,0.53,9200.0,0.0,2024-04-27,2024-06-14,48,4,Online Listing,4.9,Closed
PPG-00031,Maun,Sedie Ward,Plot,Sale,Agent_Tshepho,0,0,0,455,15,0,0,1,109000.0,112000.0,105000.0,0.0,0.0,2.75,5250.0,0.0,2024-12-15,2024-12-25,10,4,Agent Network,,Closed
PPG-00032,Francistown,Tati Siding,Warehouse,Rental,Agent_Mpho,0,0,240,1802,33,0,0,1,11742857.142857142,68500.0,68500.0,68500.0,7.0,0.0,68500.0,0.0,2025-05-10,2025-06-11,32,8,Agent Network,3.6,Closed
PPG-00033,Gaborone,Tlokweng,Townhouse,Sale,Agent_Tshepho,4,3,448,988,1,0,1,0,1707000.0,1746000.0,1633000.0,0.0,0.0,2.28,81650.0,0.0,2025-02-20,,132,14,Cold Call,4.3,Active
PPG-00034,Francistown,Tati Siding,Retail Space,Sale,Agent_Kabo,0,0,361,753,25,0,0,1,3164000.0,3039000.0,3030000.0,0.0,0.0,-3.95,151500.0,6250.0,2024-05-03,2024-06-28,56,5,Online Listing,4.9,Closed
PPG-00035,Maun,Matlapana,Apartment,Rental,Agent_Mpho,3,2,597,1522,18,0,0,0,2142857.1428571427,12500.0,12500.0,12500.0,7.0,0.0,12500.0,0.0,2024-10-30,2024-11-16,17,2,Online Listing,4.4,Closed
PPG-00036,Gaborone,Phase 2,House,Rental,Agent_Kabo,2,1,562,510,0,0,1,0,1902857.1428571427,11100.0,11100.0,11100.0,7.0,0.0,11100.0,0.0,2024-02-22,2024-03-12,19,1,Agent Network,3.8,Closed
PPG-00037,Gaborone,Phakalane,Apartment,Rental,Agent_Mpho,1,1,314,542,35,0,0,0,1799999.9999999998,10500.0,10500.0,10500.0,7.0,0.0,10500.0,0.0,2024-08-19,2024-09-24,36,6,Agent Network,3.6,Closed
PPG-00038,Maun,Boseja,Townhouse,Sale,Agent_Neo,5,4,161,1862,13,0,1,1,292000.0,285000.0,280000.0,0.0,0.0,-2.4,14000.0,350.0,2025-04-09,2025-05-04,25,4,Referral,4.3,Closed
PPG-00039,Maun,Matlapana,Plot,Sale,Agent_Kabo,0,0,0,1626,9,0,0,0,127000.0,113000.0,126000.0,0.0,0.0,-11.02,6300.0,700.0,2025-02-16,2025-06-10,114,14,Agent Network,,Closed
PPG-00040,Gaborone,CBD,Warehouse,Rental,Agent_Lesego,0,0,86,487,14,0,0,0,9342857.142857142,54500.0,54500.0,54500.0,7.0,0.0,54500.0,0.0,2024-01-22,2024-02-11,20,2,Cold Call,3.4,Closed
PPG-00041,Maun,Sedie Ward,Plot,Sale,Agent_Lesego,0,0,0,1498,27,0,0,0,90000.0,88000.0,86000.0,0.0,0.0,-2.22,4300.0,100.0,2025-02-14,,147,17,Walk-in,,Active
PPG-00042,Francistown,Gerald Estate,House,Rental,Agent_Gomolemo,5,4,61,1646,34,0,1,0,3188571.428571428,18600.0,18600.0,18600.0,7.0,0.0,18600.0,0.0,2025-05-25,,43,4,Agent Network,,Active
PPG-00043,Maun,Matlapana,Townhouse,Rental,Agent_Tshepho,1,1,89,1590,15,0,1,1,1971428.5714285711,11500.0,11500.0,11500.0,7.0,0.0,11500.0,0.0,2024-08-18,2024-08-28,10,1,Agent Network,3.3,Closed
PPG-00044,Maun,Boseja,Commercial Office,Rental,Agent_Boago,0,0,485,1288,30,0,1,0,5537142.857142856,32300.0,32300.0,32300.0,7.0,0.0,32300.0,0.0,2024-05-19,2024-05-26,7,3,Online Listing,4.6,Closed
PPG-00045,Francistown,Monarch,Townhouse,Rental,Agent_Boago,5,4,561,604,28,0,1,0,2228571.428571428,13000.0,13000.0,13000.0,7.0,0.0,13000.0,0.0,2025-04-11,2025-05-04,23,7,Referral,,Closed
PPG-00046,Francistown,Somerset,Retail Space,Rental,Agent_Gomolemo,0,0,104,951,30,0,0,0,4234285.714285714,24700.0,24700.0,24700.0,7.0,0.0,24700.0,0.0,2024-06-04,2024-07-08,34,4,Walk-in,4.2,Closed
PPG-00047,Gaborone,Riverwalk,House,Rental,Agent_Neo,1,1,207,1139,9,1,0,1,3188571.428571428,18600.0,18600.0,18600.0,7.0,0.0,18600.0,0.0,2025-02-11,2025-03-27,44,6,Walk-in,4.7,Closed
PPG-00048,Francistown,Gerald Estate,Warehouse,Rental,Agent_Boago,0,0,96,1564,4,0,1,0,6377142.857142856,37200.0,37200.0,37200.0,7.0,0.0,37200.0,0.0,2024-08-20,2024-08-28,8,1,Agent Network,4.4,Closed
PPG-00049,Gaborone,Riverwalk,Apartment,Rental,Agent_Boago,1,1,107,964,3,0,0,1,1439999.9999999998,8400.0,8400.0,8400.0,7.0,0.0,8400.0,0.0,2024-05-29,2024-06-16,18,4,Cold Call,4.6,Closed
PPG-00050,Gaborone,Mogoditshane,House,Rental,Agent_Neo,5,4,306,1319,9,1,0,0,3308571.428571428,19300.0,19300.0,19300.0,7.0,0.0,19300.0,0.0,2025-04-21,2025-05-12,21,3,Cold Call,,Closed
PPG-00051,Francistown,Gerald Estate,Warehouse,Rental,Agent_Tshepho,0,0,527,918,12,0,0,0,4525714.285714285,26400.0,26400.0,26400.0,7.0,0.0,26400.0,0.0,2025-01-25,2025-03-05,39,7,Online Listing,,Closed
PPG-00052,Maun,Boseja,House,Rental,Agent_Gomolemo,3,2,68,1459,3,0,0,0,3994285.714285714,23300.0,23300.0,23300.0,7.0,0.0,23300.0,0.0,2024-08-23,2024-10-03,41,5,Online Listing,4.2,Closed
PPG-00053,Maun,Sedie Ward,Retail Space,Sale,Agent_Boago,0,0,159,1585,2,0,1,0,1730000.0,1634000.0,1744000.0,0.0,0.0,-5.55,87200.0,4800.0,2025-05-28,,129,15,Online Listing,3.6,Active
PPG-00054,Francistown,Monarch,Plot,Sale,Agent_Kabo,0,0,0,1844,14,0,0,0,166000.0,174000.0,161000.0,0.0,0.0,4.82,8050.0,0.0,2024-09-25,2025-02-28,156,20,Agent Network,3.2,Closed
PPG-00055,Gaborone,Riverwalk,House,Rental,Agent_Neo,5,4,286,1626,4,0,1,0,3257142.857142857,19000.0,19000.0,19000.0,7.0,0.0,19000.0,0.0,2024-04-29,2024-05-10,11,1,Walk-in,4.0,Closed
PPG-00056,Gaborone,Broadhurst,Commercial Office,Rental,Agent_Mpho,0,0,524,1059,34,0,1,0,3771428.571428571,22000.0,22000.0,22000.0,7.0,0.0,22000.0,0.0,2025-02-28,2025-04-13,44,7,Walk-in,4.9,Closed
PPG-00057,Francistown,Monarch,Warehouse,Sale,Agent_Lesego,0,0,514,1210,15,0,0,1,7676000.0,7568000.0,7460000.0,0.0,0.0,-1.41,373000.0,5400.0,2024-08-05,2025-01-23,171,17,Cold Call,,Closed
PPG-00058,Francistown,Somerset,Apartment,Sale,Agent_Gomolemo,1,1,272,1500,13,0,0,0,392000.0,393000.0,390000.0,0.0,0.0,0.26,19500.0,0.0,2024-04-22,2024-10-15,176,18,Walk-in,,Closed
PPG-00059,Gaborone,Block 9,House,Rental,Agent_Mpho,1,1,189,1819,26,0,0,0,3634285.714285714,21200.0,21200.0,21200.0,7.0,0.0,21200.0,0.0,2024-04-21,2024-05-22,31,4,Cold Call,3.1,Closed
PPG-00060,Maun,Sedie Ward,Townhouse,Sale,Agent_Tshepho,1,1,550,1122,27,0,1,0,562000.0,554000.0,567000.0,0.0,0.0,-1.42,28350.0,400.0,2024-10-28,2025-02-28,123,16,Cold Call,4.6,Closed
PPG-00061,Gaborone,Extension 14,Warehouse,Sale,Agent_Gomolemo,0,0,500,1224,14,0,1,0,7268000.0,7253000.0,6878000.0,0.0,0.0,-0.21,343900.0,750.0,2024-03-28,2024-04-27,30,3,Agent Network,3.7,Closed
PPG-00062,Gaborone,Extension 14,House,Rental,Agent_Neo,1,1,480,1024,27,0,0,0,3119999.9999999995,18200.0,18200.0,18200.0,7.0,0.0,18200.0,0.0,2024-12-26,2025-01-04,9,4,Cold Call,,Closed
PPG-00063,Maun,Boseja,Apartment,Sale,Agent_Gomolemo,3,2,436,535,17,0,0,0,514000.0,532000.0,513000.0,0.0,0.0,3.5,25650.0,0.0,2024-09-30,2024-10-14,14,3,Referral,3.6,Closed
PPG-00064,Francistown,Gerald Estate,House,Sale,Agent_Mpho,5,4,470,442,9,0,0,1,1885000.0,1837000.0,1888000.0,0.0,0.0,-2.55,94400.0,2400.0,2024-06-08,2024-07-25,47,4,Cold Call,3.5,Closed
PPG-00065,Maun,Boseja,Plot,Sale,Agent_Neo,0,0,0,1148,17,0,0,1,120000.0,120000.0,120000.0,0.0,0.0,0.0,6000.0,0.0,2024-12-19,2025-04-15,117,13,Walk-in,4.2,Closed
PPG-00066,Maun,Sedie Ward,Townhouse,Sale,Agent_Kabo,4,3,116,315,13,0,1,1,185000.0,173000.0,185000.0,0.0,0.0,-6.49,9250.0,600.0,2024-12-28,2025-02-01,35,6,Walk-in,,Closed
PPG-00067,Gaborone,Block 9,Commercial Office,Rental,Agent_Tshepho,0,0,487,892,7,0,1,0,3891428.571428571,22700.0,22700.0,22700.0,7.0,0.0,22700.0,0.0,2025-04-16,2025-05-12,26,5,Walk-in,3.5,Closed
PPG-00068,Maun,Boseja,Commercial Office,Rental,Agent_Kabo,0,0,377,1827,21,0,1,0,3154285.714285714,18400.0,18400.0,18400.0,7.0,0.0,18400.0,0.0,2024-04-26,2024-06-01,36,4,Cold Call,3.7,Closed
PPG-00069,Maun,Sedie Ward,Retail Space,Sale,Agent_Mpho,0,0,165,599,16,0,1,0,1637000.0,1541000.0,1645000.0,0.0,0.0,-5.86,82250.0,4800.0,2024-11-26,,232,23,Agent Network,4.3,Active
PPG-00070,Francistown,Monarch,Townhouse,Sale,Agent_Neo,3,2,532,1225,2,1,0,1,1463000.0,1446000.0,1421000.0,0.0,0.0,-1.16,71050.0,850.0,2024-07-11,2024-10-08,89,11,Cold Call,4.9,Closed
PPG-00071,Francistown,Monarch,Retail Space,Rental,Agent_Gomolemo,0,0,146,1333,11,0,1,0,7662857.142857142,44700.0,44700.0,44700.0,7.0,0.0,44700.0,0.0,2024-06-11,2024-07-07,26,4,Online Listing,4.5,Closed
PPG-00072,Maun,Sedie Ward,House,Rental,Agent_Gomolemo,1,1,397,493,35,0,1,0,3291428.571428571,19200.0,19200.0,19200.0,7.0,0.0,19200.0,0.0,2024-06-02,2024-06-26,24,6,Walk-in,4.8,Closed
PPG-00073,Francistown,Tati Siding,Apartment,Sale,Agent_Neo,3,2,445,1617,21,0,0,0,628000.0,630000.0,606000.0,0.0,0.0,0.32,30300.0,0.0,2024-07-03,2024-09-02,61,9,Online Listing,,Closed
PPG-00074,Gaborone,Mogoditshane,House,Sale,Agent_Lesego,5,4,599,377,21,0,0,0,2321000.0,2350000.0,2299000.0,0.0,0.0,1.25,114950.0,0.0,2025-03-30,,163,21,Online Listing,3.5,Active
PPG-00075,Gaborone,Phase 2,Retail Space,Rental,Agent_Gomolemo,0,0,258,1053,28,0,1,1,4217142.857142856,24600.0,24600.0,24600.0,7.0,0.0,24600.0,0.0,2025-03-04,2025-03-17,13,5,Referral,,Closed
PPG-00076,Francistown,Monarch,Warehouse,Rental,Agent_Tshepho,0,0,165,1756,33,0,0,1,11279999.999999998,65800.0,65800.0,65800.0,7.0,0.0,65800.0,0.0,2024-10-06,2024-11-06,31,4,Cold Call,3.2,Closed
PPG-00077,Gaborone,Riverwalk,Townhouse,Rental,Agent_Kabo,1,1,465,1328,23,1,0,1,1251428.5714285714,7300.0,7300.0,7300.0,7.0,0.0,7300.0,0.0,2024-04-11,2024-05-25,44,5,Online Listing,,Closed
PPG-00078,Francistown,Tati Siding,Warehouse,Sale,Agent_Gomolemo,0,0,540,1218,0,0,0,1,8494000.0,8237000.0,8126000.0,0.0,0.0,-3.03,406300.0,12850.0,2025-04-13,2025-05-06,23,5,Walk-in,3.0,Closed
PPG-00079,Maun,Sedie Ward,Apartment,Sale,Agent_Boago,3,2,499,303,22,0,0,1,522000.0,515000.0,511000.0,0.0,0.0,-1.34,25550.0,350.0,2025-02-03,2025-06-10,127,17,Walk-in,3.7,Closed
PPG-00080,Maun,Matlapana,Townhouse,Sale,Agent_Gomolemo,3,2,306,1801,6,0,0,1,501000.0,506000.0,499000.0,0.0,0.0,1.0,24950.0,0.0,2024-03-05,2024-07-07,124,14,Walk-in,,Closed
PPG-00081,Gaborone,Phakalane,Townhouse,Rental,Agent_Lesego,5,4,544,818,2,0,1,1,2674285.714285714,15600.0,15600.0,15600.0,7.0,0.0,15600.0,0.0,2024-12-05,2024-12-25,20,4,Walk-in,3.8,Closed
PPG-00082,Francistown,Tati Siding,Townhouse,Rental,Agent_Mpho,4,3,436,1932,33,0,1,0,2005714.2857142854,11700.0,11700.0,11700.0,7.0,0.0,11700.0,0.0,2024-07-03,2024-08-09,37,5,Online Listing,,Closed
PPG-00083,Francistown,Gerald Estate,Townhouse,Rental,Agent_Tshepho,2,1,514,1019,28,1,0,1,3085714.2857142854,18000.0,18000.0,18000.0,7.0,0.0,18000.0,0.0,2024-10-08,2024-11-20,43,4,Walk-in,3.8,Closed
PPG-00084,Maun,Sedie Ward,Warehouse,Sale,Agent_Mpho,0,0,206,1544,28,0,1,1,2859000.0,2762000.0,2840000.0,0.0,0.0,-3.39,142000.0,4850.0,2024-05-20,2024-10-09,142,17,Online Listing,3.6,Closed
PPG-00085,Gaborone,Phakalane,Warehouse,Rental,Agent_Mpho,0,0,590,1092,35,0,1,0,10662857.142857142,62200.0,62200.0,62200.0,7.0,0.0,62200.0,0.0,2024-08-07,2024-09-18,42,9,Online Listing,4.0,Closed
PPG-00086,Gaborone,Mogoditshane,Retail Space,Rental,Agent_Kabo,0,0,236,1760,28,0,0,0,7525714.285714285,43900.0,43900.0,43900.0,7.0,0.0,43900.0,0.0,2024-11-23,2025-01-07,45,9,Online Listing,,Closed
PPG-00087,Maun,Boseja,Townhouse,Sale,Agent_Gomolemo,2,1,430,1341,14,1,1,1,712000.0,688000.0,685000.0,0.0,0.0,-3.37,34250.0,1200.0,2025-05-05,,141,17,Agent Network,3.1,Active
PPG-00088,Francistown,Monarch,Plot,Sale,Agent_Tshepho,0,0,0,562,35,0,0,0,169000.0,169000.0,169000.0,0.0,0.0,0.0,8450.0,0.0,2024-05-12,2024-09-06,117,11,Cold Call,4.0,Closed
PPG-00089,Francistown,Somerset,Apartment,Sale,Agent_Lesego,3,2,591,881,5,0,0,1,1194000.0,1170000.0,1135000.0,0.0,0.0,-2.01,56750.0,1200.0,2024-12-11,2025-05-11,151,15,Walk-in,,Closed
PPG-00090,Maun,Sedie Ward,Townhouse,Sale,Agent_Boago,5,4,486,1565,1,0,0,1,989000.0,926000.0,963000.0,0.0,0.0,-6.37,48150.0,3150.0,2024-07-27,2024-12-21,147,19,Online Listing,5.0,Closed
PPG-00091,Francistown,Tati Siding,Apartment,Rental,Agent_Gomolemo,5,4,168,953,15,0,0,0,1268571.4285714284,7400.0,7400.0,7400.0,7.0,0.0,7400.0,0.0,2024-09-10,2024-09-22,12,1,Walk-in,,Closed
PPG-00092,Francistown,Tati Siding,Apartment,Sale,Agent_Gomolemo,3,2,380,688,10,0,0,0,578000.0,565000.0,558000.0,0.0,0.0,-2.25,27900.0,650.0,2024-02-21,2024-05-10,79,11,Agent Network,4.3,Closed
PPG-00093,Francistown,Gerald Estate,Commercial Office,Sale,Agent_Kabo,0,0,501,574,16,0,0,0,5344000.0,5067000.0,5128000.0,0.0,0.0,-5.18,256400.0,13850.0,2024-05-01,2024-07-09,69,8,Agent Network,3.7,Closed
PPG-00094,Francistown,Somerset,Apartment,Rental,Agent_Neo,5,4,101,392,2,0,0,1,1371428.5714285714,8000.0,8000.0,8000.0,7.0,0.0,8000.0,0.0,2025-04-30,2025-06-05,36,4,Agent Network,4.0,Closed
PPG-00095,Francistown,Gerald Estate,Apartment,Rental,Agent_Tshepho,5,4,404,1338,32,0,0,0,1954285.714285714,11400.0,11400.0,11400.0,7.0,0.0,11400.0,0.0,2024-11-02,2024-12-05,33,5,Walk-in,3.2,Closed
PPG-00096,Francistown,Gerald Estate,Retail Space,Sale,Agent_Boago,0,0,545,843,14,0,0,0,4814000.0,4494000.0,4562000.0,0.0,0.0,-6.65,228100.0,16000.0,2024-01-20,2024-07-03,165,19,Referral,3.8,Closed
PPG-00097,Maun,Boseja,Retail Space,Sale,Agent_Gomolemo,0,0,201,1362,13,0,0,0,1884000.0,1939000.0,1861000.0,0.0,0.0,2.92,93050.0,0.0,2024-09-27,2025-03-09,163,17,Agent Network,3.6,Closed
PPG-00098,Francistown,Somerset,Townhouse,Rental,Agent_Gomolemo,2,1,560,949,30,0,0,0,1714285.714285714,10000.0,10000.0,10000.0,7.0,0.0,10000.0,0.0,2024-05-04,2024-06-12,39,6,Cold Call,3.8,Closed
PPG-00099,Francistown,Somerset,Townhouse,Rental,Agent_Kabo,1,1,414,1205,16,0,1,0,1714285.714285714,10000.0,10000.0,10000.0,7.0,0.0,10000.0,0.0,2024-10-05,2024-10-16,11,5,Walk-in,3.5,Closed
PPG-00100,Gaborone,Extension 14,Apartment,Sale,Agent_Boago,1,1,162,1146,21,0,0,0,360000.0,372000.0,350000.0,0.0,0.0,3.33,17500.0,0.0,2024-07-23,2024-10-11,80,10,Online Listing,4.8,Closed
PPG-00101,Gaborone,Broadhurst,Commercial Office,Sale,Agent_Boago,0,0,239,1155,11,0,0,1,2957000.0,2762000.0,2904000.0,0.0,0.0,-6.59,145200.0,9750.0,2024-12-09,2025-04-04,116,15,Cold Call,4.9,Closed
PPG-00102,Maun,Boseja,Townhouse,Sale,Agent_Mpho,3,2,226,1797,29,0,0,1,296000.0,296000.0,285000.0,0.0,0.0,0.0,14250.0,0.0,2025-02-14,,178,18,Walk-in,4.0,Active
PPG-00103,Gaborone,Phakalane,Townhouse,Sale,Agent_Tshepho,4,3,333,975,19,0,0,1,1842000.0,1804000.0,1831000.0,0.0,0.0,-2.06,91550.0,1900.0,2024-04-30,2024-10-17,170,19,Online Listing,3.4,Closed
PPG-00104,Gaborone,Riverwalk,Apartment,Rental,Agent_Tshepho,4,3,542,1851,34,0,0,0,2125714.2857142854,12400.0,12400.0,12400.0,7.0,0.0,12400.0,0.0,2024-09-10,2024-10-21,41,8,Walk-in,4.4,Closed
PPG-00105,Gaborone,Tlokweng,House,Sale,Agent_Gomolemo,5,4,213,636,20,0,1,0,1061000.0,1066000.0,1039000.0,0.0,0.0,0.47,51950.0,0.0,2024-11-11,2024-11-23,12,3,Agent Network,4.5,Closed
PPG-00106,Maun,Matlapana,House,Rental,Agent_Tshepho,1,1,121,441,30,1,1,0,3599999.9999999995,21000.0,21000.0,21000.0,7.0,0.0,21000.0,0.0,2025-03-06,2025-04-01,26,5,Agent Network,4.8,Closed
PPG-00107,Francistown,Monarch,Warehouse,Sale,Agent_Boago,0,0,416,542,11,0,0,1,5880000.0,5934000.0,5683000.0,0.0,0.0,0.92,284150.0,0.0,2024-08-23,2024-11-01,70,9,Agent Network,,Closed
PPG-00108,Gaborone,Tlokweng,House,Rental,Agent_Gomolemo,5,4,76,792,13,1,0,0,3325714.2857142854,19400.0,19400.0,19400.0,7.0,0.0,19400.0,0.0,2024-02-19,2024-03-08,18,4,Walk-in,4.1,Closed
PPG-00109,Gaborone,Mogoditshane,Commercial Office,Sale,Agent_Lesego,0,0,386,1482,20,0,1,0,4543000.0,4441000.0,4486000.0,0.0,0.0,-2.25,224300.0,5100.0,2025-05-22,2025-06-10,19,6,Online Listing,4.6,Closed
PPG-00110,Francistown,Tati Siding,Plot,Sale,Agent_Mpho,0,0,0,1070,11,0,0,0,154000.0,154000.0,154000.0,0.0,0.0,0.0,7700.0,0.0,2024-08-18,2024-11-09,83,11,Referral,4.1,Closed
PPG-00111,Francistown,Somerset,Plot,Sale,Agent_Mpho,0,0,0,716,21,0,0,0,211000.0,211000.0,211000.0,0.0,0.0,0.0,10550.0,0.0,2025-01-14,2025-02-13,30,8,Cold Call,3.1,Closed
